date,Return10,Return15,Return20
1989-01-01,9.29187,5.29107,3.13073
1989-02-01,9.82487,5.73724,3.31089
1989-03-01,9.61043,5.47112,3.41182
1989-04-01,9.77834,6.02555,3.46924
1989-05-01,10.4821,6.53178,3.48364
1989-06-01,10.6763,6.76778,3.91912
1989-07-01,10.9124,7.82283,4.28722
1989-08-01,10.9649,8.47817,4.55063
1989-09-01,10.9322,9.30645,4.53964
1989-10-01,11.3627,9.19804,4.48986
1989-11-01,11.2761,8.85222,4.36327
1989-12-01,11.2002,9.52407,4.77691
1990-01-01,10.657,8.7448,4.65596
1990-02-01,10.0283,7.87649,4.6936
1990-03-01,11.3955,7.71467,4.72682
1990-04-01,11.6466,7.64211,4.90869
1990-05-01,11.6064,7.47813,5.70247
1990-06-01,11.2894,7.51109,5.87386
1990-07-01,10.7487,7.5435,5.8627
1990-08-01,9.49521,7.42909,5.23839
1990-09-01,8.73598,7.16395,4.68923
1990-10-01,8.18647,6.66828,4.44355
1990-11-01,8.08541,6.76555,4.59518
1990-12-01,8.7818,7.17882,4.49863
1991-01-01,8.73106,6.48004,4.23235
1991-02-01,10.3117,6.96491,4.58435
1991-03-01,10.2559,7.11779,4.5999
1991-04-01,10.4134,7.21059,4.536
1991-05-01,10.6205,7.25311,4.59315
1991-06-01,10.6302,7.23143,4.71396
1991-07-01,11.0333,7.13031,4.78149
1991-08-01,11.2821,7.36626,4.98942
1991-09-01,12.2426,7.17375,4.82828
1991-10-01,12.0854,7.42852,4.93723
1991-11-01,11.7675,7.44646,5.14899
1991-12-01,11.7692,7.27334,4.8678
1992-01-01,13.0952,7.82485,5.00032
1992-02-01,13.2378,7.99443,4.87208
1992-03-01,13.3665,7.93962,4.67752
1992-04-01,12.8455,8.08888,4.6328
1992-05-01,13.0964,8.25089,4.77988
1992-06-01,13.6428,8.11706,4.68075
1992-07-01,13.86,8.17942,4.81483
1992-08-01,13.87,8.39333,4.67279
1992-09-01,12.6532,8.50487,4.75077
1992-10-01,11.5974,8.57487,4.67596
1992-11-01,11.38,8.72043,4.55997
1992-12-01,11.5467,8.97832,4.62218
1993-01-01,11.1174,9.24057,4.56696
1993-02-01,11.049,9.44966,4.84076
1993-03-01,10.8338,9.61217,5.04554
1993-04-01,10.2965,9.22217,5.08125
1993-05-01,9.96256,8.95369,5.27692
1993-06-01,9.88731,9.03318,5.44973
1993-07-01,9.862,9.09567,5.40326
1993-08-01,10.3111,8.73618,5.65219
1993-09-01,10.1385,8.84089,5.62091
1993-10-01,10.1897,9.15864,5.49673
1993-11-01,10.3276,9.57908,5.88748
1993-12-01,10.4471,9.53913,6.3252
1994-01-01,10.4987,9.41509,6.35707
1994-02-01,11.0709,9.54294,6.5294
1994-03-01,10.8545,9.3268,6.27441
1994-04-01,10.4736,8.99037,6.3672
1994-05-01,10.6382,9.28282,6.62177
1994-06-01,10.9528,9.24728,6.67963
1994-07-01,11.0086,9.17039,7.30071
1994-08-01,10.3877,9.079,7.69789
1994-09-01,10.3485,9.08604,8.33703
1994-10-01,10.3693,9.34644,8.2396
1994-11-01,10.1795,9.39945,8.063
1994-12-01,10.146,9.09828,8.37753
1995-01-01,9.89261,9.11178,8.07165
1995-02-01,9.70097,9.14386,7.75235
1995-03-01,10.027,10.0538,7.63431
1995-04-01,10.2722,10.4182,7.72466
1995-05-01,10.3556,10.3597,7.57787
1995-06-01,10.4349,10.175,7.62095
1995-07-01,10.5914,10.079,7.8375
1995-08-01,10.8395,9.90452,8.23793
1995-09-01,11.4492,10.0111,8.49215
1995-10-01,11.3928,9.88851,8.29822
1995-11-01,11.01,9.79764,8.35609
1995-12-01,10.8508,10.1941,8.61511
1996-01-01,10.7551,10.2215,8.12663
1996-02-01,10.7128,10.904,8.21448
1996-03-01,9.944,10.6124,8.14511
1996-04-01,9.6163,10.5563,8.09734
1996-05-01,9.82186,10.8821,8.26599
1996-06-01,9.68064,10.9718,8.31003
1996-07-01,9.47781,10.9302,8.00607
1996-08-01,9.55999,11.1319,8.21083
1996-09-01,10.055,11.9487,8.1915
1996-10-01,10.4743,12.1109,8.5782
1996-11-01,10.6212,12.2617,8.85513
1996-12-01,10.5777,12.2877,8.7408
1997-01-01,10.2627,12.8812,8.9481
1997-02-01,10.0545,13.3368,9.33662
1997-03-01,9.55144,13.471,9.32917
1997-04-01,9.31795,12.8514,9.2476
1997-05-01,10.2869,13.5311,9.74018
1997-06-01,10.3978,14.3989,9.99731
1997-07-01,10.6828,14.8263,10.2462
1997-08-01,10.0848,14.7975,10.3847
1997-09-01,10.5728,14.0382,10.5158
1997-10-01,12.1207,13.5377,10.7266
1997-11-01,13.4543,13.1209,10.6423
1997-12-01,13.9068,13.1938,10.8104
1998-01-01,13.4818,12.9321,11.0333
1998-02-01,13.8164,13.2279,11.4448
1998-03-01,14.067,13.3176,11.7437
1998-04-01,14.5782,13.302,11.7033
1998-05-01,14.8203,13.0006,11.4436
1998-06-01,14.2176,12.8965,11.4663
1998-07-01,14.7758,13.187,11.7414
1998-08-01,14.1971,12.8504,10.9897
1998-09-01,13.4891,12.2745,10.7336
1998-10-01,13.2293,12.326,10.9894
1998-11-01,14.6259,13.1875,11.8779
1998-12-01,14.8463,13.5061,12.0214
1999-01-01,15.042,13.7813,12.1019
1999-02-01,14.7045,14.1938,12.2139
1999-03-01,15.0785,14.3688,12.2843
1999-04-01,15.1465,14.6249,12.4039
1999-05-01,14.7476,14.66,12.573
1999-06-01,14.3337,14.777,12.4712
1999-07-01,14.5148,15.1844,12.6806
1999-08-01,13.567,14.2535,12.244
