date,Consumer debt service ratio,Debt service ratio,Mortgage debt service ratio,Rent,FOR
2015-10-01,5.712082,11.738949,6.026867,3.2920698028664175,15.031018802866416
2016-01-01,5.672473,11.763221,6.090748,3.307791951108268,15.071012951108267
2016-04-01,5.698555,11.766084,6.067528,3.307791951108268,15.073875951108267
2016-07-01,5.778721,11.769825,5.991104,3.307791951108268,15.077616951108268
2016-10-01,5.88048,11.865788,5.985307,3.307791951108268,15.173579951108268
2017-01-01,5.744363,11.723732,5.979369,3.196101910184716,14.919833910184716
2017-04-01,5.787625,11.756954,5.969329,3.196101910184716,14.953055910184716
2017-07-01,5.841381,11.818405,5.977025,3.196101910184716,15.014506910184716
2017-10-01,5.873738,11.816674,5.942936,3.196101910184716,15.012775910184716
2018-01-01,5.720522,11.644543,5.924021,3.173468114063902,14.818011114063903
2018-04-01,5.714089,11.598347,5.884257,3.173468114063902,14.771815114063902
2018-07-01,5.706173,11.619544,5.913372,3.173468114063902,14.793012114063902
2018-10-01,5.750996,11.666352,5.915357,3.173468114063902,14.839820114063901
2019-01-01,5.65819,11.499875,5.841685,3.222784895639815,14.722659895639815
2019-04-01,5.693599,11.626957,5.933358,3.222784895639815,14.849741895639816
2019-07-01,5.749379,11.646529,5.897151,3.222784895639815,14.869313895639815
2019-10-01,5.80925,11.727526,5.918276,3.222784895639815,14.950310895639815
2020-01-01,5.673133,11.587379,5.914246,3.0895540985927608,14.67693309859276
2020-04-01,4.711226,9.739372,5.028147,3.0895540985927608,12.82892609859276
2020-07-01,4.845571,10.067065,5.221495,3.0895540985927608,13.15661909859276
2020-10-01,4.996644,10.404484,5.407841,3.0895540985927608,13.49403809859276
2021-01-01,4.305925,9.084982,4.779057,3.043442482793998,12.128424482793998
2021-04-01,4.66461,9.889169,5.224558,3.043442482793998,12.932611482793998
2021-07-01,4.738679,10.057423,5.318745,3.043442482793998,13.100865482793997
2021-10-01,4.823878,10.281331,5.457454,3.043442482793998,13.324773482793997
2022-01-01,4.862815,10.512948,5.650133,3.3028898886877234,13.815837888687723
2022-04-01,5.007681,10.719184,5.711503,3.3028898886877234,14.022073888687723
2022-07-01,5.003457,10.598597,5.59514,3.3028898886877234,13.901486888687723
2022-10-01,5.133796,10.78019,5.646393,3.3028898886877234,14.083079888687722
2023-01-01,5.019171,10.635346,5.616176,3.2883222691611347,13.923668269161135
2023-04-01,5.083486,10.675248,5.591763,3.2883222691611347,13.963570269161135
2023-07-01,5.187938,10.86617,5.678232,3.2883222691611347,14.154492269161135
2023-10-01,5.526218,11.230811,5.704593,3.2883222691611347,14.519133269161134
2024-01-01,5.445662,11.160293,5.714631,3.3097635160121293,14.470056516012129
2024-04-01,5.385716,11.159186,5.773469,3.3097635160121293,14.46894951601213
2024-07-01,5.478779,11.31315,5.834372,3.3097635160121293,14.62291351601213
2024-10-01,5.513069,11.286829,5.77376,3.3097635160121293,14.596592516012128
2025-01-01,5.416663,11.257759,5.841096,3.3097635160121293,14.56752251601213
2025-04-01,5.357441,11.249194,5.891753,3.3097635160121293,14.558957516012129
