date,Consumer debt service ratio,Debt service ratio,Mortgage debt service ratio,Rent,FOR
2005-01-01,7.303833,14.799802,7.49597,3.01835959923914,17.81816159923914
2005-04-01,7.239296,14.828576,7.58928,3.01835959923914,17.84693559923914
2005-07-01,7.258264,15.139959,7.881696,3.01835959923914,18.158318599239138
2005-10-01,7.306876,15.02855,7.721674,3.01835959923914,18.04690959923914
2006-01-01,7.090829,14.989443,7.898613,2.9315940932523805,17.92103709325238
2006-04-01,6.93645,15.044255,8.107804,2.9315940932523805,17.97584909325238
2006-07-01,7.028664,15.367228,8.338563,2.9315940932523805,18.298822093252383
2006-10-01,7.052577,15.509711,8.457133,2.9315940932523805,18.44130509325238
2007-01-01,6.978163,15.526607,8.548444,2.958217867874628,18.48482486787463
2007-04-01,6.916833,15.63251,8.715677,2.958217867874628,18.590727867874627
2007-07-01,6.859151,15.712123,8.852972,2.958217867874628,18.67034086787463
2007-10-01,6.894569,15.846367,8.951798,2.958217867874628,18.804584867874627
2008-01-01,6.864136,15.775857,8.911721,3.0237917879895537,18.799648787989554
2008-04-01,6.702785,15.326612,8.623828,3.0237917879895537,18.350403787989556
2008-07-01,6.788641,15.546547,8.757906,3.0237917879895537,18.570338787989556
2008-10-01,6.895996,15.72136,8.825364,3.0237917879895537,18.745151787989556
2009-01-01,6.861352,15.5975,8.736148,3.173264485255794,18.770764485255793
2009-04-01,6.70505,15.251967,8.546917,3.173264485255794,18.425231485255793
2009-07-01,6.679269,15.08588,8.406611,3.173264485255794,18.259144485255792
2009-10-01,6.597484,14.896385,8.298902,3.173264485255794,18.069649485255795
2010-01-01,6.375334,14.51494,8.139607,3.1898378373793888,17.70477783737939
2010-04-01,6.139001,14.069775,7.930774,3.1898378373793888,17.25961283737939
2010-07-01,6.069181,13.917807,7.848625,3.1898378373793888,17.10764483737939
2010-10-01,6.012881,13.580863,7.567982,3.1898378373793888,16.77070083737939
2011-01-01,5.808322,13.30846,7.500138,3.190847073350945,16.499307073350945
2011-04-01,5.680167,13.057706,7.377539,3.190847073350945,16.248553073350944
2011-07-01,5.738914,12.944597,7.205684,3.190847073350945,16.135444073350946
2011-10-01,5.694596,12.749684,7.055088,3.190847073350945,15.940531073350945
2012-01-01,5.431999,12.237059,6.805059,3.219382541335302,15.456441541335302
2012-04-01,5.353789,12.034065,6.680276,3.219382541335302,15.253447541335301
2012-07-01,5.461713,12.083107,6.621394,3.219382541335302,15.302489541335301
2012-10-01,5.34876,11.754033,6.405273,3.219382541335302,14.973415541335301
2013-01-01,5.486141,12.006598,6.520457,3.3366246383028,15.3432226383028
2013-04-01,5.388403,11.794391,6.405988,3.3366246383028,15.131015638302799
2013-07-01,5.465768,11.837713,6.371945,3.3366246383028,15.1743376383028
2013-10-01,5.581301,11.985283,6.403982,3.3366246383028,15.3219076383028
2014-01-01,5.501079,11.883752,6.382673,3.304115877699968,15.187867877699968
2014-04-01,5.398771,11.62113,6.222359,3.304115877699968,14.925245877699968
2014-07-01,5.416575,11.646935,6.230359,3.304115877699968,14.951050877699966
2014-10-01,5.4857,11.631979,6.14628,3.304115877699968,14.936094877699968
2015-01-01,5.440553,11.556607,6.116055,3.2920698028664175,14.848676802866418
2015-04-01,5.462124,11.485107,6.022983,3.2920698028664175,14.777176802866418
2015-07-01,5.552776,11.606456,6.05368,3.2920698028664175,14.898525802866416
