date,p50uwe,nuwe,p10uwe,p25uwe,p75uwe,p90uwe
1988-01-01,385.0,80178.0,,,,
1988-04-01,382.0,82731.0,,,,
1988-07-01,381.0,84894.0,,,,
1988-10-01,392.0,82964.0,,,,
1989-01-01,397.0,82276.0,,,,
1989-04-01,398.0,84359.0,,,,
1989-07-01,395.0,86631.0,,,,
1989-10-01,408.0,84823.0,,,,
1990-01-01,413.0,84529.0,,,,
1990-04-01,411.0,86021.0,,,,
1990-07-01,406.0,87907.0,,,,
1990-10-01,419.0,84757.0,,,,
1991-01-01,432.0,83149.0,,,,
1991-04-01,422.0,84314.0,,,,
1991-07-01,421.0,85746.0,,,,
1991-10-01,432.0,83522.0,,,,
1992-01-01,443.0,83061.0,,,,
1992-04-01,436.0,85134.0,,,,
1992-07-01,437.0,86511.0,,,,
1992-10-01,445.0,84638.0,,,,
1993-01-01,456.0,83593.0,,,,
1993-04-01,455.0,85992.0,,,,
1993-07-01,456.0,87624.0,,,,
1993-10-01,467.0,86472.0,,,,
1994-01-01,469.0,84587.0,,,,
1994-04-01,465.0,87112.0,,,,
1994-07-01,462.0,89568.0,,,,
1994-10-01,472.0,88247.0,,,,
1995-01-01,478.0,87336.0,,,,
1995-04-01,475.0,89505.0,,,,
1995-07-01,479.0,90686.0,,,,
1995-10-01,484.0,89603.0,,,,
1996-01-01,489.0,88699.0,,,,
1996-04-01,486.0,90956.0,,,,
1996-07-01,488.0,92703.0,,,,
1996-10-01,499.0,91313.0,,,,
1997-01-01,504.0,90734.0,,,,
1997-04-01,499.0,93387.0,,,,
1997-07-01,499.0,95837.0,,,,
1997-10-01,511.0,94355.0,,,,
1998-01-01,521.0,93183.0,,,,
1998-04-01,515.0,95548.0,,,,
1998-07-01,520.0,97437.0,,,,
1998-10-01,541.0,96213.0,,,,
1999-01-01,538.0,95648.0,,,,
1999-04-01,543.0,97585.0,,,,
1999-07-01,546.0,99052.0,,,,
1999-10-01,568.0,98217.0,,,,
2000-01-01,573.0,99453.0,281.0,381.0,852.0,1240.0
2000-04-01,569.0,101424.0,279.0,376.0,850.0,1250.0
2000-07-01,574.0,102799.0,278.0,376.0,852.0,1276.0
2000-10-01,585.0,101165.0,285.0,385.0,874.0,1281.0
2001-01-01,589.0,100427.0,287.0,393.0,888.0,1333.0
2001-04-01,592.0,101362.0,288.0,396.0,889.0,1335.0
2001-07-01,596.0,102431.0,289.0,394.0,898.0,1354.0
2001-10-01,606.0,99942.0,295.0,401.0,905.0,1348.0
2002-01-01,611.0,98809.0,295.0,406.0,923.0,1373.0
2002-04-01,605.0,100482.0,296.0,403.0,920.0,1368.0
2002-07-01,603.0,101459.0,293.0,399.0,919.0,1376.0
2002-10-01,613.0,99575.0,298.0,410.0,928.0,1388.0
