date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1989-01-01,74.42179,71.95239,77.565094,78.06686,79.47708,78.580734,85.758804,83.02387,83.672325,80.454834,80.99854,80.96098,86.618484,78.84396,79.11383,80.040344,83.68815,74.12852,67.24887,83.19994,84.93035,78.73149,76.96606,84.51564,79.95903,74.347626,79.13296,82.84663,81.641014,82.778915,85.143326,81.00021,72.50259,80.98946,77.06142,78.269745,75.794044,81.962204,78.14799,84.359535,79.810974,83.82466,78.34245,79.89692,80.83094,82.25435,82.59776,78.76572,84.87113,68.2865,77.861046
1989-02-01,74.94764,73.730225,76.56346,77.92381,79.456215,79.158066,89.784584,83.06354,83.11716,79.47623,80.58059,78.61891,86.73983,83.46857,79.369835,80.23978,83.229256,73.918434,66.84855,83.48513,83.68891,78.66294,77.92943,84.74353,81.396545,75.07509,78.35022,82.58231,81.609856,82.3071,83.425644,82.5602,73.53906,80.60524,76.05459,78.0866,75.780716,81.65635,77.57254,83.86226,78.872894,84.99289,77.8595,78.65525,79.61206,83.0851,83.564606,79.62951,84.64236,67.126945,78.56506
1989-03-01,75.23049,76.92859,77.20252,76.48791,79.860016,80.39996,87.30117,84.09455,84.15647,80.91328,79.289246,77.60471,86.972824,82.38749,79.26844,80.65856,85.139465,74.48402,70.04287,82.68828,82.98194,78.94008,76.99038,85.13788,80.06136,74.568565,79.35729,83.08211,82.62001,83.53302,83.4218,82.516884,71.845505,82.76986,75.3157,77.64683,76.09703,79.79602,78.55139,81.16312,81.69617,84.60328,77.69815,78.51872,79.854164,82.97006,82.5405,80.63495,84.372406,69.29049,81.266716
1989-04-01,75.966354,77.35016,78.14485,78.36608,79.31787,79.730354,86.96984,82.315704,84.22324,81.11626,78.47748,80.732346,87.645134,81.751526,79.587166,82.57793,84.766846,76.44948,70.906685,83.14654,83.48353,79.58901,76.50279,84.207,81.88575,74.733055,81.59264,84.141174,83.965485,85.07772,81.8206,82.09766,72.6506,83.49916,75.858925,77.93368,77.4665,82.00192,78.656044,80.82212,82.20199,85.202965,77.88425,78.44573,79.39194,83.463356,82.80328,81.84514,86.88034,67.83756,84.17802
1989-05-01,76.52639,79.05364,80.008896,79.27192,80.22852,80.74106,85.49869,84.46105,83.643654,79.92724,80.35399,82.53896,85.595024,81.53764,79.99379,83.39589,85.40901,74.11958,71.38582,83.150085,81.94902,81.123436,76.42886,85.14496,82.321396,76.78502,82.41121,84.33934,84.53071,85.844086,82.13001,81.45195,75.22536,83.07007,76.31734,78.64542,77.69707,82.69133,79.252716,83.5471,80.497345,86.86776,75.29269,79.029854,79.66133,82.191956,85.207275,83.97085,86.087105,67.32119,82.21888
1989-06-01,79.727455,75.89696,78.39144,78.72525,79.38829,81.11872,85.60517,83.76067,81.52412,81.305534,79.853264,82.990395,83.13568,80.98403,81.165344,82.953705,85.180115,73.12541,72.39127,82.846466,82.5566,79.924484,75.191444,85.82484,80.711815,75.71775,79.52421,83.23459,84.398026,83.89861,84.70533,80.74429,72.81399,81.030525,77.501396,79.32387,77.77109,80.65383,79.73682,82.81457,81.3053,84.24218,76.14765,78.291626,80.26023,82.18718,84.09667,81.681564,85.51924,66.97455,79.76778
1989-07-01,79.881744,74.18846,79.01547,77.928406,79.41128,83.4176,84.124664,82.85318,83.64979,79.891495,79.42574,81.49403,81.8683,80.12821,79.60457,79.393616,84.46872,75.35752,72.7323,81.78727,84.81,81.40701,75.205734,85.488495,79.249565,75.51337,81.45121,84.23631,85.30245,85.63863,85.16176,79.38106,74.85197,79.806435,76.411964,79.42045,78.29151,80.61835,78.78509,82.21887,79.514275,85.01902,76.83674,79.2113,82.075096,83.36702,82.805214,81.223854,85.28536,65.17802,78.49496
1989-08-01,78.27079,76.432396,79.26857,76.681725,79.259796,82.369705,81.57294,83.629974,84.4512,80.090294,79.2216,83.16469,80.48966,79.42776,79.86754,79.09696,83.747795,76.62389,71.65395,82.80118,83.94642,82.33816,76.29378,86.12984,80.66882,74.142975,81.05107,83.37734,84.688446,84.78949,85.58752,80.04449,75.998924,80.037796,76.20438,79.2306,79.03839,79.76887,79.515564,83.03362,79.99356,83.17862,76.80908,79.97124,81.14457,82.441765,83.26873,82.31202,84.89774,66.09121,78.40177
1989-09-01,77.41316,78.31393,78.0273,78.332504,79.45476,82.89513,82.083855,83.3236,85.75027,80.45168,80.370316,82.16393,85.35605,83.47504,80.4838,81.90126,84.20065,77.89211,72.674706,82.997765,86.55124,83.88396,77.02584,86.698,80.06474,74.86023,82.00615,84.36756,84.32501,86.029976,87.392715,81.065254,74.939835,80.23297,76.64365,79.5925,78.82289,80.06773,80.11205,81.848076,81.771484,86.1852,80.06534,79.453316,82.31237,82.43521,84.98616,81.90925,86.71786,67.80071,81.28603
1989-10-01,78.85194,78.6649,78.57283,81.26145,79.366516,83.18691,80.24261,85.289566,86.38294,80.171844,81.61219,79.96182,86.69856,82.83311,80.13781,79.56514,82.77215,80.40115,74.88206,82.89966,85.05482,82.379135,78.743416,86.606575,80.426476,76.32825,81.40121,84.63688,86.307465,86.24166,87.4202,80.324486,77.43212,82.20163,77.56801,79.80152,79.369644,83.116486,80.368164,82.47513,82.498375,85.62547,80.14244,81.17509,81.443886,82.60298,83.91618,82.06146,86.92173,67.056694,82.08402
