date,RESPPMA_N.WW
2002-12-01,0.7258
2003-01-01,0.724718
2003-02-01,0.721326
2003-03-01,0.723651
2003-04-01,0.736926
2003-05-01,0.738358
2003-06-01,0.738712
2003-07-01,0.741656
2003-08-01,0.740217
2003-09-01,0.743207
2003-10-01,0.747068
2003-11-01,0.747801
2003-12-01,0.75981
2004-01-01,0.759938
2004-02-01,0.753644
2004-03-01,0.755538
2004-04-01,0.762182
2004-05-01,0.762914
2004-06-01,0.77059
2004-07-01,0.776095
2004-08-01,0.771096
2004-09-01,0.786291
2004-10-01,0.788388
2004-11-01,0.798768
2004-12-01,0.808973
2005-01-01,0.807095
2005-02-01,0.800557
2005-03-01,0.802472
2005-04-01,0.803656
2005-05-01,0.805624
2005-06-01,0.812643
2005-07-01,0.81537
2005-08-01,0.815142
2005-09-01,0.820697
2005-10-01,0.819207
2005-11-01,0.826202
2005-12-01,0.840054
2006-01-01,0.836539
2006-02-01,0.833804
2006-03-01,0.838656
2006-04-01,0.838094
2006-05-01,0.842451
2006-06-01,0.846038
2006-07-01,0.846874
2006-08-01,0.844411
2006-09-01,0.844411
2006-10-01,0.849621
2006-11-01,0.858303
2006-12-01,0.862757
2007-01-01,0.861259
2007-02-01,0.867225
2007-03-01,0.868371
2007-04-01,0.867195
2007-05-01,0.875321
2007-06-01,0.867222
2007-07-01,0.870706
2007-08-01,0.867259
2007-09-01,0.878776
2007-10-01,0.877941
2007-11-01,0.886427
2007-12-01,0.88579
2008-01-01,0.894808
2008-02-01,0.8817
2008-03-01,0.890096
2008-04-01,0.886511
2008-05-01,0.892986
2008-06-01,0.895392
2008-07-01,0.905993
2008-08-01,0.906234
2008-09-01,1.00947
2008-10-01,1.72762
2008-11-01,2.14508
2008-12-01,2.22274
2009-01-01,2.03383
2009-02-01,1.88163
2009-03-01,1.98483
2009-04-01,2.12351
2009-05-01,2.13447
2009-06-01,2.05702
2009-07-01,2.02207
2009-08-01,2.03491
2009-09-01,2.12222
2009-10-01,2.17339
2009-11-01,2.1788
2009-12-01,2.21922
2010-01-01,2.25643
2010-02-01,2.26742
2010-03-01,2.29818
2010-04-01,2.32874
2010-05-01,2.3368
2010-06-01,2.33748
2010-07-01,2.33259
2010-08-01,2.31717
2010-09-01,2.30195
2010-10-01,2.30465
2010-11-01,2.31847
2010-12-01,2.39269
2011-01-01,2.44322
2011-02-01,2.503
2011-03-01,2.58582
2011-04-01,2.67271
2011-05-01,2.74907
2011-06-01,2.82983
2011-07-01,2.87076
2011-08-01,2.86217
2011-09-01,2.85772
2011-10-01,2.85465
2011-11-01,2.82592
2011-12-01,2.89134
2012-01-01,2.91395
2012-02-01,2.92993
2012-03-01,2.88727
2012-04-01,2.86868
2012-05-01,2.85631
2012-06-01,2.86387
2012-07-01,2.85868
2012-08-01,2.83582
2012-09-01,2.81791
2012-10-01,2.82623
2012-11-01,2.85764
2012-12-01,2.90115
2013-01-01,2.96603
2013-02-01,3.06874
2013-03-01,3.17084
2013-04-01,3.26424
2013-05-01,3.35598
2013-06-01,3.44006
2013-07-01,3.53621
2013-08-01,3.63045
2013-09-01,3.69311
2013-10-01,3.80042
2013-11-01,3.89789
2013-12-01,3.99181
2014-01-01,4.06468
2014-02-01,4.13448
2014-03-01,4.20054
2014-04-01,4.2714
2014-05-01,4.3225
2014-06-01,4.35208
2014-07-01,4.3952
2014-08-01,4.41717
2014-09-01,4.43641
2014-10-01,4.46968
2014-11-01,4.48854
2014-12-01,4.49688
2015-01-01,4.50715
2015-02-01,4.4964
2015-03-01,4.48834
2015-04-01,4.48236
2015-05-01,4.47956
2015-06-01,4.47906
2015-07-01,4.488
2015-08-01,4.48447
2015-09-01,4.4847
2015-10-01,4.4954
2015-11-01,4.48638
2015-12-01,4.48624
2016-01-01,4.48987
2016-02-01,4.4858
2016-03-01,4.48432
2016-04-01,4.48715
2016-05-01,4.47263
2016-06-01,4.46925
2016-07-01,4.47207
2016-08-01,4.46679
2016-09-01,4.46652
2016-10-01,4.4597
2016-11-01,4.45478
2016-12-01,4.46003
2017-01-01,4.4548
2017-02-01,4.45838
2017-03-01,4.46706
2017-04-01,4.47713
2017-05-01,4.46852
2017-06-01,4.46908
2017-07-01,4.46904
2017-08-01,4.463
2017-09-01,4.45972
2017-10-01,4.46267
2017-11-01,4.45039
2017-12-01,4.44651
2018-01-01,4.43789
2018-02-01,4.41517
2018-03-01,4.39919
2018-04-01,4.38214
2018-05-01,4.34335
2018-06-01,4.31637
2018-07-01,4.28756
2018-08-01,4.23807
2018-09-01,4.20507
2018-10-01,4.16797
2018-11-01,4.1228
2018-12-01,4.08357
2019-01-01,4.05034
2019-02-01,4.0027
2019-03-01,3.96476
2019-04-01,3.9331
2019-05-01,3.87171
2019-06-01,3.84211
2019-07-01,3.80378
2019-08-01,3.7731
2019-09-01,3.8084
2019-10-01,3.97016
2019-11-01,4.04261
2019-12-01,4.11596
2020-01-01,4.15931
2020-02-01,4.1699
2020-03-01,4.61898
2020-04-01,6.29834
2020-05-01,6.94756
2020-06-01,7.12779
2020-07-01,6.96043
2020-08-01,6.9759
2020-09-01,7.04837
2020-10-01,7.13741
2020-11-01,7.19811
2020-12-01,7.31901
2021-01-01,7.37216
2021-02-01,7.50008
2021-03-01,7.64791
2021-04-01,7.77597
2021-05-01,7.86689
2021-06-01,8.02655
2021-07-01,8.19036
2021-08-01,8.29189
2021-09-01,8.41861
2021-10-01,8.51652
2021-11-01,8.64868
2021-12-01,8.72391
2022-01-01,8.82058
2022-02-01,8.8976
2022-03-01,8.93383
2022-04-01,8.94953
2022-05-01,8.93554
2022-06-01,8.92272
2022-07-01,8.89423
2022-08-01,8.85621
2022-09-01,8.81688
2022-10-01,8.74626
2022-11-01,8.63747
2022-12-01,8.57043
2023-01-01,8.4939
2023-02-01,8.40898
2023-03-01,8.5522
2023-04-01,8.6008
2023-05-01,8.45718
2023-06-01,8.37015
2023-07-01,8.27828
2023-08-01,8.16422
2023-09-01,8.05656
2023-10-01,7.9372
2023-11-01,7.82986
2023-12-01,7.72845
2024-01-01,7.66976
2024-02-01,7.60367
2024-03-01,7.51998
2024-04-01,7.42142
2024-05-01,7.32081
2024-06-01,7.24959
2024-07-01,7.20754
2024-08-01,7.15404
2024-09-01,7.10419
2024-10-01,7.03519
2024-11-01,6.94757
2024-12-01,6.89215
2025-01-01,6.83801
2025-02-01,6.79322
2025-03-01,6.75314
2025-04-01,6.72284
2025-05-01,6.69653
2025-06-01,6.67333
2025-07-01,6.65622
2025-08-01,6.62657
2025-09-01,6.60626
2025-10-01,6.59019
2025-11-01,6.56522
2025-12-01,6.57076
2026-01-01,6.58186
2026-02-01,6.61387
2026-03-01,6.64708
2026-04-01,6.69646
2026-05-13,6.7285
