date,IndexWS,DPCERG,REAL,Quarter
2023-01-01,4.3786,3.8316,0.547,Q1\\2023
2023-04-01,4.3312,2.9571,1.3742,Q2
2023-07-01,4.5369,2.6924,1.8445,Q3
2023-10-01,3.9875,1.8083,2.1793,Q4
2024-01-01,4.4417,3.541,0.9007,Q1\\2024
2024-04-01,3.6608,2.5672,1.0935,Q2
2024-07-01,3.1439,1.6887,1.4552,Q3
2024-10-01,3.8392,2.495,1.3443,Q4
2025-01-01,3.0897,3.3872,-0.2975,Q1\\2025
2025-04-01,4.0142,2.1152,1.899,Q2
2025-07-01,3.1687,2.7495,0.4192,Q3
2025-10-01,2.9793,2.8501,0.1292,Q4
2026-01-01,3.0193,4.4743,-1.4549,Q1\\2026
