date,LPC
1989-01-01,92.79307576868041
1989-04-01,93.15254947125953
1989-07-01,93.36660500936493
1989-10-01,93.37009504531231
1990-01-01,93.64348119452298
1990-04-01,93.23747367931223
1990-07-01,92.76166544515408
1990-10-01,92.36380134715387
1991-01-01,91.45988203678496
1991-04-01,90.88518945078467
1991-07-01,90.78048837236358
1991-10-01,90.62576344536349
1992-01-01,90.09178794541583
1992-04-01,90.44311823078444
1992-07-01,90.59551646715293
1992-10-01,91.17835247036378
1993-01-01,91.98687746483787
1993-04-01,93.02690817715423
1993-07-01,93.58298723810188
1993-10-01,94.4729464046813
1994-01-01,95.06508917041845
1994-04-01,96.60652171384032
1994-07-01,97.74078339673564
1994-10-01,98.15377098384113
1995-01-01,98.62259914610453
1995-04-01,98.48067101757815
1995-07-01,99.61260600984191
1995-10-01,99.86621528868413
1996-01-01,100.06398399236845
1996-04-01,100.99931362626369
1996-07-01,101.84390232552727
1996-10-01,103.00375760537
1997-01-01,103.87859328284415
1997-04-01,104.38115845926545
1997-07-01,105.00238485789737
1997-10-01,105.50262334368709
1998-01-01,106.16456682837165
1998-04-01,106.70901243616142
1998-07-01,106.85792063658255
1998-10-01,108.17366418874114
1999-01-01,108.0235926430042
1999-04-01,108.61806209937295
1999-07-01,109.316069288847
1999-10-01,109.77791737921567
2000-01-01,110.2781558650054
2000-04-01,110.59458579090031
2000-07-01,110.55386870484767
2000-10-01,110.17810816784745
2001-01-01,110.114124175479
2001-04-01,109.06362335532056
2001-07-01,107.71181609837245
2001-10-01,106.51124373247711
2002-01-01,105.61081445805559
2002-04-01,105.88536395258204
2002-07-01,105.49913330773974
2002-10-01,105.62826463779243
2003-01-01,105.08032899405528
2003-04-01,104.77436917600251
2003-07-01,104.92444072173943
2003-10-01,105.42933258879232
2004-01-01,105.8795472260031
2004-04-01,105.97145150595051
2004-07-01,106.63688502658243
2004-10-01,107.20110750474063
2005-01-01,107.41981642410916
2005-04-01,108.04685954932003
2005-07-01,108.3888830721623
2005-10-01,109.04151979432054
2006-01-01,110.11296083016322
2006-04-01,110.45731104363708
2006-07-01,110.91683244337416
2006-10-01,111.38682395095336
2007-01-01,111.54620225921661
2007-04-01,112.10577135611162
2007-07-01,111.67649693458507
2007-10-01,111.28793959911121
2008-01-01,110.93544596842679
2008-04-01,110.33399644016333
2008-07-01,109.07176677253109
2008-10-01,106.04590560616107
2009-01-01,103.35857792668597
2009-04-01,100.93998301515839
2009-07-01,99.82898823857886
2009-10-01,99.70916367105248
2010-01-01,100.0
2010-04-01,100.84691538989519
2010-07-01,101.24826952384277
2010-10-01,101.75316139089566
2011-01-01,101.94395002268521
2011-04-01,103.02702451168582
2011-07-01,103.34461778289649
2011-10-01,104.22759687758116
2012-01-01,105.09545248316057
2012-04-01,105.2804243883712
2012-07-01,105.84464686652939
2012-10-01,106.48448679021394
2013-01-01,106.98588862131946
2013-04-01,107.46286020079339
2013-07-01,108.05849300247792
2013-10-01,108.38190300026757
2014-01-01,108.95543224095208
2014-04-01,109.84771809816307
2014-07-01,110.69696017868984
2014-10-01,111.96500657290103
2015-01-01,112.31401016763805
2015-04-01,112.77469491269092
2015-07-01,112.81657534405937
2015-10-01,113.57391314463871
2016-01-01,114.04506799753369
2016-04-01,114.41617515327074
2016-07-01,114.74540187763932
2016-10-01,114.88965669679729
2017-01-01,115.34219802463966
2017-04-01,116.17980665200851
2017-07-01,116.30777463674542
2017-10-01,117.22798078153538
2018-01-01,117.83059365511464
2018-04-01,118.26452145790437
2018-07-01,118.85433753300991
2018-10-01,119.26267173885223
2019-01-01,119.15331727916798
2019-04-01,119.1835642573785
2019-07-01,119.76756360590512
2019-10-01,119.61865540548399
2020-01-01,117.71542246885143
2020-04-01,101.66940052815877
2020-07-01,110.18974162100537
2020-10-01,112.60717318721716
2021-01-01,113.94967368163893
2021-04-01,115.73191870542934
2021-07-01,117.40248257890389
2021-10-01,119.10911015716796
2022-01-01,120.19916471806327
2022-04-01,120.96464593585314
2022-07-01,121.6847566863272
2022-10-01,122.0721506764853
2023-01-01,122.86206214590678
2023-04-01,122.38625391174863
2023-07-01,122.71431729080142
