date,NFPsa,EMPsa,label
0,163.25,168.08333333333334,2019 Average
2023-07-01 00:00:00,236.0,268.0,Jul 2023
2023-08-01 00:00:00,227.0,222.0,Aug 2023
2023-09-01 00:00:00,336.0,86.0,Sep 2023
