date,Corporate Assets,Corporate Debt,Corporate Liabilities,Corporate Net Worth,Corporate GVA,Noncorporate Assets,Noncorporate Debt,Noncorporate Liabilities,Noncorporate Net Worth,Noncorporate GVA
1988-01-01,9317657.0,2122837.0,4276780.0,5040877.0,2785600.0,4071920.0,1083586.0,1298154.0,2773767.0,740560.0
1988-04-01,9467962.0,2182160.0,4343329.0,5124633.0,2846592.0,4135331.0,1109191.0,1326524.0,2808808.0,743929.0
1988-07-01,9591774.0,2213941.0,4427726.0,5164048.0,2895161.0,4195187.0,1133922.0,1356385.0,2838802.0,766621.0
1988-10-01,9978107.0,2284954.0,4651438.0,5326669.0,2968280.0,4259500.0,1149256.0,1383590.0,2875911.0,772345.0
1989-01-01,10384608.0,2345525.0,4818829.0,5565779.0,2979796.0,4319656.0,1160370.0,1402560.0,2917096.0,811258.0
1989-04-01,10449612.0,2408070.0,4856330.0,5593282.0,3003512.0,4377962.0,1175608.0,1424315.0,2953647.0,806455.0
1989-07-01,10495978.0,2428595.0,4872792.0,5623186.0,3034939.0,4412833.0,1187455.0,1444067.0,2968766.0,809015.0
1989-10-01,10591417.0,2476971.0,4939697.0,5651720.0,3062604.0,4459886.0,1197882.0,1460969.0,2998918.0,808902.0
1990-01-01,10619364.0,2533775.0,5026441.0,5592923.0,3110445.0,4484113.0,1201249.0,1465272.0,3018841.0,845794.0
1990-04-01,10652478.0,2573753.0,5013195.0,5639283.0,3169061.0,4513689.0,1202302.0,1465094.0,3048594.0,843997.0
1990-07-01,10765304.0,2593220.0,5193762.0,5571542.0,3180009.0,4544002.0,1202731.0,1462755.0,3081247.0,849734.0
1990-10-01,10734098.0,2608065.0,5221738.0,5512360.0,3183273.0,4550518.0,1197957.0,1457105.0,3093414.0,850080.0
1991-01-01,10779421.0,2601435.0,5188936.0,5590485.0,3190708.0,4534767.0,1191103.0,1453630.0,3081137.0,845278.0
1991-04-01,10798012.0,2604604.0,5219127.0,5578885.0,3219004.0,4537950.0,1194246.0,1454357.0,3083593.0,851485.0
1991-07-01,10773159.0,2582754.0,5257293.0,5515866.0,3245506.0,4513994.0,1178338.0,1439544.0,3074450.0,863689.0
1991-10-01,10752506.0,2550259.0,5234988.0,5517518.0,3269731.0,4485075.0,1169744.0,1434291.0,3050784.0,869988.0
1992-01-01,10829399.0,2572108.0,5510123.0,5319276.0,3316422.0,4470191.0,1162451.0,1433693.0,3036498.0,905183.0
1992-04-01,10809240.0,2574551.0,5520805.0,5288435.0,3360177.0,4462542.0,1158199.0,1432026.0,3030516.0,924438.0
1992-07-01,10779852.0,2571240.0,5550733.0,5229119.0,3380679.0,4467456.0,1150049.0,1426822.0,3040635.0,928528.0
1992-10-01,10687119.0,2568239.0,5555813.0,5131306.0,3448709.0,4459094.0,1143421.0,1428852.0,3030242.0,903242.0
1993-01-01,10792530.0,2612911.0,5616647.0,5175883.0,3432290.0,4487976.0,1131448.0,1421076.0,3066900.0,964707.0
1993-04-01,10902225.0,2654475.0,5684371.0,5217854.0,3512974.0,4521409.0,1130991.0,1419334.0,3102075.0,943469.0
1993-07-01,11012150.0,2682597.0,5720652.0,5291498.0,3548487.0,4563289.0,1126103.0,1414190.0,3149099.0,932476.0
1993-10-01,11315602.0,2716210.0,5786061.0,5529541.0,3645996.0,4603081.0,1123465.0,1414031.0,3189050.0,938601.0
1994-01-01,11436538.0,2795209.0,5876479.0,5560059.0,3697055.0,4664348.0,1122256.0,1417905.0,3246443.0,986817.0
1994-04-01,11606148.0,2842531.0,5928689.0,5677459.0,3791407.0,4743967.0,1129433.0,1429074.0,3314893.0,991734.0
1994-07-01,11760762.0,2877172.0,5923675.0,5837087.0,3848882.0,4805913.0,1135530.0,1441224.0,3364689.0,1005712.0
1994-10-01,11998546.0,2924442.0,5995855.0,6002691.0,3928954.0,4867712.0,1138806.0,1454047.0,3413665.0,1028416.0
1995-01-01,12159794.0,2995817.0,6019392.0,6140402.0,3957567.0,4922743.0,1147745.0,1472403.0,3450341.0,1032272.0
1995-04-01,12372687.0,3063873.0,6057958.0,6314729.0,3998954.0,4979975.0,1160622.0,1488325.0,3491650.0,1033160.0
1995-07-01,12600241.0,3084542.0,6128057.0,6472184.0,4080662.0,5057550.0,1174014.0,1507467.0,3550083.0,1047317.0
1995-10-01,12998314.0,3135127.0,6252446.0,6745868.0,4128761.0,5123329.0,1185165.0,1527838.0,3595491.0,1062206.0
1996-01-01,13208963.0,3183934.0,6350998.0,6857965.0,4190575.0,5184036.0,1198507.0,1558625.0,3625411.0,1084001.0
1996-04-01,13387510.0,3243614.0,6423017.0,6964493.0,4264160.0,5258847.0,1220295.0,1595308.0,3663539.0,1120375.0
1996-07-01,13548436.0,3275463.0,6507960.0,7040476.0,4326562.0,5324805.0,1240931.0,1629253.0,3695552.0,1130055.0
1996-10-01,14079809.0,3296802.0,6570956.0,7508853.0,4404125.0,5444858.0,1258226.0,1664691.0,3780167.0,1171803.0
1997-01-01,14462226.0,3368894.0,6680058.0,7782168.0,4485021.0,5585687.0,1279069.0,1711171.0,3874515.0,1178524.0
1997-04-01,14634239.0,3443704.0,6617077.0,8017162.0,4557056.0,5704998.0,1306894.0,1763681.0,3941316.0,1192516.0
1997-07-01,14999066.0,3529018.0,6657561.0,8341505.0,4661070.0,5842656.0,1333581.0,1812410.0,4030246.0,1214444.0
1997-10-01,15619487.0,3610193.0,6758636.0,8860851.0,4734267.0,6021564.0,1362776.0,1861452.0,4160112.0,1229163.0
1998-01-01,15967700.0,3739423.0,6856082.0,9111618.0,4762026.0,6142061.0,1403132.0,1935131.0,4206930.0,1260961.0
1998-04-01,16369243.0,3874428.0,7095350.0,9273893.0,4835559.0,6312093.0,1454989.0,2013916.0,4298177.0,1293091.0
1998-07-01,16490808.0,3959131.0,7398199.0,9092609.0,4926388.0,6445067.0,1499548.0,2093106.0,4351961.0,1322663.0
1998-10-01,17461522.0,4055553.0,7623464.0,9838058.0,4976733.0,6550974.0,1545465.0,2170617.0,4380357.0,1344239.0
1999-01-01,17707922.0,4193849.0,7885074.0,9822848.0,5082087.0,6581036.0,1590849.0,2238657.0,4342379.0,1362498.0
1999-04-01,18149908.0,4267349.0,8055493.0,10094415.0,5134172.0,6746448.0,1631353.0,2315164.0,4431285.0,1362333.0
1999-07-01,18626378.0,4405377.0,8423695.0,10202683.0,5176664.0,6991098.0,1684180.0,2396694.0,4594404.0,1390489.0
1999-10-01,19598912.0,4460365.0,8494180.0,11104732.0,5280215.0,7132431.0,1742734.0,2485050.0,4647382.0,1425620.0
2000-01-01,19776916.0,4594478.0,8694853.0,11082063.0,5444014.0,7181099.0,1786736.0,2567321.0,4613778.0,1436398.0
2000-04-01,20540677.0,4715251.0,9118296.0,11422381.0,5487782.0,7447560.0,1850255.0,2665707.0,4781852.0,1487549.0
2000-07-01,21324457.0,4762543.0,9473670.0,11850787.0,5558861.0,7704635.0,1887939.0,2735223.0,4969412.0,1521865.0
2000-10-01,21989161.0,4810362.0,9887652.0,12101509.0,5552490.0,7869888.0,1938642.0,2819941.0,5049948.0,1546448.0
2001-01-01,21992222.0,4831366.0,10194205.0,11798017.0,5502646.0,7963874.0,1975208.0,2870062.0,5093812.0,1719617.0
2001-04-01,22184180.0,4922443.0,10251688.0,11932492.0,5501712.0,8130858.0,2021773.0,2928994.0,5201864.0,1753296.0
2001-07-01,22204886.0,4941476.0,10474720.0,11730166.0,5457246.0,8258005.0,2058413.0,2979772.0,5278234.0,1747350.0
2001-10-01,21593833.0,4950373.0,10394501.0,11199332.0,5419021.0,8264922.0,2102417.0,3038258.0,5226664.0,1689256.0
2002-01-01,21804441.0,4957899.0,10482734.0,11321707.0,5463955.0,8363779.0,2138106.0,3085250.0,5278529.0,1764471.0
2002-04-01,21777691.0,4958151.0,10625207.0,11152484.0,5523269.0,8484544.0,2180948.0,3138859.0,5345685.0,1798897.0
2002-07-01,21833572.0,4949811.0,10748494.0,11085078.0,5556629.0,8637726.0,2219549.0,3189301.0,5448425.0,1827246.0
2002-10-01,21802181.0,4965634.0,10750445.0,11051736.0,5630354.0,8546768.0,2259770.0,3241283.0,5305486.0,1853455.0
2003-01-01,22078430.0,4959069.0,10780386.0,11298044.0,5611591.0,8683368.0,2276204.0,3259903.0,5423465.0,1876301.0
2003-04-01,22102606.0,4972010.0,10576646.0,11525960.0,5679641.0,8841693.0,2295825.0,3276505.0,5565187.0,1884440.0
2003-07-01,22010502.0,4995283.0,10530265.0,11480237.0,5778879.0,8973066.0,2313293.0,3292252.0,5680814.0,1926943.0
