date,LT,MT,LF
2000-07-01,0.502537,0.917218,100
2000-08-01,0.504512,0.905174,100
2000-09-01,0.441348,0.845507,100
2000-10-01,0.423497,0.879948,100
2000-11-01,0.391013,0.853374,100
2000-12-01,0.439797,0.86982,100
2001-01-01,0.5,0.995828,100
2001-02-01,0.510087,1.135,100
2001-03-01,0.503043,1.20272,100
2001-04-01,0.506377,1.13883,100
2001-05-01,0.428418,1.07523,100
2001-06-01,0.487594,1.04006,100
2001-07-01,0.492155,1.10752,100
2001-08-01,0.602998,1.19832,100
2001-09-01,0.550042,1.25565,100
2001-10-01,0.605194,1.36169,100
2001-11-01,0.730033,1.50582,100
2001-12-01,0.767818,1.60147,100
2002-01-01,0.869456,1.87513,100
2002-02-01,0.864137,1.97161,100
2002-03-01,0.963448,2.147,100
2002-04-01,1.04336,2.14545,100
2002-05-01,1.07425,2.08365,100
2002-06-01,1.11389,2.03027,100
2002-07-01,1.0939,1.953,100
2002-08-01,1.08821,1.84333,100
2002-09-01,1.06422,1.89073,100
2002-10-01,1.09969,1.97503,100
2002-11-01,1.15278,1.99599,100
2002-12-01,1.28562,2.14592,100
2003-01-01,1.2526,2.27495,100
2003-02-01,1.32991,2.3614,100
2003-03-01,1.29843,2.46401,100
2003-04-01,1.36884,2.49191,100
2003-05-01,1.30034,2.30102,100
2003-06-01,1.37907,2.34469,100
2003-07-01,1.33529,2.34563,100
2003-08-01,1.36775,2.26023,100
2003-09-01,1.34648,2.21115,100
2003-10-01,1.2882,2.21039,100
2003-11-01,1.31905,2.21429,100
2003-12-01,1.27105,2.18634,100
2004-01-01,1.35384,2.3985,100
2004-02-01,1.31894,2.41294,100
2004-03-01,1.40938,2.55471,100
2004-04-01,1.27749,2.20565,100
2004-05-01,1.20831,2.13171,100
2004-06-01,1.20507,2.04055,100
2004-07-01,1.11516,1.85995,100
2004-08-01,1.11342,1.81277,100
2004-09-01,1.13218,1.85327,100
2004-10-01,1.14146,1.92973,100
2004-11-01,1.12782,1.91952,100
2004-12-01,1.08605,1.89722,100
2005-01-01,1.14842,2.00569,100
2005-02-01,1.13707,2.11102,100
2005-03-01,1.15708,2.12951,100
2005-04-01,1.12606,1.96071,100
2005-05-01,1.01567,1.81293,100
2005-06-01,0.891864,1.55121,100
2005-07-01,0.909444,1.54853,100
2005-08-01,0.944725,1.63441,100
2005-09-01,0.950958,1.60583,100
2005-10-01,0.923994,1.56399,100
2005-11-01,0.89961,1.59331,100
2005-12-01,0.873159,1.54902,100
2006-01-01,0.79886,1.55977,100
2006-02-01,0.926707,1.81557,100
2006-03-01,0.896474,1.74653,100
2006-04-01,0.925232,1.70068,100
2006-05-01,0.871787,1.53903,100
2006-06-01,0.734701,1.34387,100
2006-07-01,0.849535,1.43747,100
2006-08-01,0.860819,1.45865,100
2006-09-01,0.813651,1.40839,100
2006-10-01,0.690603,1.28123,100
2006-11-01,0.732255,1.36609,100
2006-12-01,0.688788,1.30752,100
2007-01-01,0.760069,1.44178,100
2007-02-01,0.836041,1.53416,100
2007-03-01,0.837629,1.61449,100
2007-04-01,0.827238,1.62823,100
2007-05-01,0.734918,1.47835,100
2007-06-01,0.723989,1.42184,100
2007-07-01,0.83696,1.48248,100
2007-08-01,0.817027,1.48544,100
2007-09-01,0.821959,1.48031,100
2007-10-01,0.829727,1.43489,100
2007-11-01,0.882764,1.48926,100
2007-12-01,0.828363,1.56122,100
2008-01-01,0.915859,1.67659,100
2008-02-01,0.88381,1.6726,100
2008-03-01,0.881696,1.7517,100
2008-04-01,0.935819,1.8931,100
2008-05-01,1.00905,1.82692,100
2008-06-01,0.990843,1.80801,100
2008-07-01,1.0753,1.95573,100
2008-08-01,1.20925,2.15855,100
2008-09-01,1.30556,2.26952,100
2008-10-01,1.43986,2.47747,100
2008-11-01,1.41749,2.46122,100
2008-12-01,1.62426,2.83276,100
2009-01-01,1.77809,3.1308,100
2009-02-01,1.98204,3.67094,100
2009-03-01,2.16307,4.09062,100
2009-04-01,2.52477,4.4444,100
2009-05-01,2.56483,4.61915,100
2009-06-01,2.72629,4.87862,100
2009-07-01,3.19349,4.95398,100
2009-08-01,3.27983,4.94663,100
2009-09-01,3.55074,5.28711,100
2009-10-01,3.59335,5.46741,100
2009-11-01,3.80106,5.54205,100
2009-12-01,3.8508,5.57373,100
2010-01-01,4.1848,5.85468,100
2010-02-01,4.08994,6.0152,100
2010-03-01,4.35909,6.28499,100
2010-04-01,4.5401,6.27983,100
2010-05-01,4.30979,5.9056,100
2010-06-01,4.17925,5.61595,100
2010-07-01,4.25594,5.54294,100
2010-08-01,4.0711,5.31456,100
2010-09-01,3.96688,5.3145,100
2010-10-01,3.9698,5.48963,100
2010-11-01,4.06034,5.50916,100
2010-12-01,4.03514,5.38432,100
2011-01-01,4.11515,5.53884,100
2011-02-01,3.95395,5.53344,100
2011-03-01,4.08343,5.65212,100
2011-04-01,3.97348,5.49292,100
2011-05-01,4.01749,5.47371,100
2011-06-01,3.95054,5.1537,100
2011-07-01,4.05642,5.20589,100
2011-08-01,3.9269,5.20096,100
2011-09-01,4.03358,5.21245,100
2011-10-01,3.72692,4.98438,100
2011-11-01,3.64502,4.89917,100
2011-12-01,3.51375,4.75145,100
2012-01-01,3.62545,4.86588,100
2012-02-01,3.49839,4.91947,100
2012-03-01,3.47983,4.92992,100
2012-04-01,3.40872,4.77337,100
2012-05-01,3.49011,4.68599,100
2012-06-01,3.36401,4.52016,100
2012-07-01,3.3863,4.3847,100
2012-08-01,3.25207,4.30917,100
2012-09-01,3.11614,4.21629,100
2012-10-01,3.15967,4.29433,100
2012-11-01,3.03017,4.14,100
2012-12-01,2.96733,4.13486,100
2013-01-01,3.05849,4.24876,100
2013-02-01,3.08476,4.31003,100
2013-03-01,3.00442,4.3276,100
2013-04-01,2.88814,4.24341,100
2013-05-01,2.80707,4.14759,100
2013-06-01,2.72554,3.90757,100
2013-07-01,2.77765,3.78666,100
2013-08-01,2.76148,3.74153,100
2013-09-01,2.62514,3.70615,100
2013-10-01,2.5583,3.70394,100
2013-11-01,2.56916,3.64924,100
2013-12-01,2.41845,3.46174,100
2014-01-01,2.37525,3.47083,100
2014-02-01,2.49931,3.63834,100
2014-03-01,2.43226,3.65832,100
2014-04-01,2.24369,3.30761,100
2014-05-01,2.16207,3.14612,100
2014-06-01,1.92991,2.85665,100
2014-07-01,2.05568,2.85372,100
2014-08-01,1.90034,2.76757,100
2014-09-01,1.86491,2.71853,100
2014-10-01,1.81438,2.71774,100
2014-11-01,1.77004,2.64802,100
2014-12-01,1.72262,2.50876,100
2015-01-01,1.81685,2.70649,100
2015-02-01,1.76387,2.71188,100
2015-03-01,1.68217,2.59443,100
2015-04-01,1.6325,2.42073,100
2015-05-01,1.58895,2.44274,100
2015-06-01,1.30649,2.14501,100
2015-07-01,1.39875,2.06692,100
2015-08-01,1.38892,2.11106,100
2015-09-01,1.31689,2.04615,100
2015-10-01,1.3298,2.10031,100
2015-11-01,1.27459,2.06779,100
2015-12-01,1.28136,2.04448,100
2016-01-01,1.36025,2.08302,100
2016-02-01,1.41704,2.22201,100
2016-03-01,1.44806,2.29364,100
2016-04-01,1.32524,2.19868,100
2016-05-01,1.19282,1.96052,100
2016-06-01,1.19773,1.86831,100
2016-07-01,1.27329,1.92218,100
2016-08-01,1.25092,1.8438,100
2016-09-01,1.20277,1.88086,100
2016-10-01,1.20924,1.93415,100
2016-11-01,1.12786,1.79241,100
2016-12-01,1.10785,1.84434,100
2017-01-01,1.19534,1.94775,100
2017-02-01,1.17479,1.90042,100
2017-03-01,1.09968,1.88339,100
2017-04-01,1.03652,1.78864,100
2017-05-01,1.03768,1.79549,100
2017-06-01,0.990686,1.53191,100
2017-07-01,1.12301,1.64837,100
2017-08-01,1.08415,1.66702,100
2017-09-01,1.05498,1.60668,100
2017-10-01,0.996825,1.52518,100
2017-11-01,0.952179,1.52511,100
2017-12-01,0.884542,1.42461,100
2018-01-01,0.930932,1.53498,100
2018-02-01,0.931523,1.56511,100
2018-03-01,0.875772,1.53074,100
2018-04-01,0.819059,1.53489,100
2018-05-01,0.723518,1.38216,100
2018-06-01,0.829172,1.32914,100
2018-07-01,0.911661,1.41492,100
2018-08-01,0.829519,1.32933,100
2018-09-01,0.842757,1.33077,100
2018-10-01,0.828403,1.33516,100
2018-11-01,0.729568,1.2313,100
2018-12-01,0.746909,1.27324,100
2019-01-01,0.807545,1.36289,100
2019-02-01,0.841109,1.47424,100
2019-03-01,0.850194,1.53219,100
2019-04-01,0.758983,1.3722,100
2019-05-01,0.780948,1.32657,100
2019-06-01,0.799176,1.25147,100
2019-07-01,0.753102,1.22563,100
2019-08-01,0.775459,1.20776,100
2019-09-01,0.804427,1.25357,100
2019-10-01,0.759658,1.27968,100
2019-11-01,0.69485,1.19273,100
2019-12-01,0.666064,1.12448,100
2020-01-01,0.740371,1.28363,100
2020-02-01,0.720509,1.28719,100
2020-03-01,0.765876,1.38042,100
2020-04-01,0.594488,1.21393,100
2020-05-01,0.715998,1.44085,100
2020-06-01,0.803155,1.97007,100
2020-07-01,0.979817,4.93093,100
2020-08-01,1.01863,4.98924,100
2020-09-01,1.52022,4.52071,100
2020-10-01,2.20617,3.80241,100
2020-11-01,2.41115,3.53672,100
2020-12-01,2.41252,3.34692,100
2021-01-01,2.54496,3.39078,100
2021-02-01,2.63279,3.5832,100
2021-03-01,2.66519,3.66868,100
2021-04-01,2.55039,3.43721,100
2021-05-01,2.29593,3.15473,100
2021-06-01,2.43049,3.22266,100
2021-07-01,2.16846,2.79925,100
2021-08-01,1.978,2.62247,100
2021-09-01,1.67478,2.2254,100
2021-10-01,1.44186,2.01007,100
2021-11-01,1.31346,1.80963,100
2021-12-01,1.17255,1.61634,100
2022-01-01,1.03781,1.56099,100
2022-02-01,1.07636,1.61241,100
2022-03-01,0.904603,1.40926,100
2022-04-01,0.857507,1.35431,100
2022-05-01,0.778113,1.28063,100
2022-06-01,0.783864,1.20993,100
2022-07-01,0.697847,1.03793,100
2022-08-01,0.75067,1.16548,100
2022-09-01,0.673914,1.12967,100
2022-10-01,0.713765,1.14749,100
2022-11-01,0.726269,1.16179,100
2022-12-01,0.596425,1.05041,100
2023-01-01,0.680354,1.23838,100
2023-02-01,0.679512,1.25508,100
2023-03-01,0.700031,1.30348,100
2023-04-01,0.658771,1.23295,100
2023-05-01,0.675271,1.27025,100
2023-06-01,0.6295,1.13561,100
2023-07-01,0.730399,1.22092,100
2023-08-01,0.819027,1.29411,100
2023-09-01,0.735132,1.28842,100
2023-10-01,0.770603,1.35273,100
2023-11-01,0.665715,1.19936,100
2023-12-01,0.707936,1.30535,100
2024-01-01,0.785378,1.31255,100
2024-02-01,0.768639,1.43344,100
2024-03-01,0.80901,1.52039,100
2024-04-01,0.756895,1.39111,100
2024-05-01,0.794365,1.41949,100
2024-06-01,0.871252,1.4753,100
2024-07-01,0.931144,1.48757,100
2024-08-01,0.919925,1.53004,100
2024-09-01,0.951607,1.55696,100
2024-10-01,0.931738,1.6301,100
2024-11-01,0.953355,1.64044,100
2024-12-01,0.868218,1.54119,100
2025-01-01,0.869382,1.55247,100
2025-02-01,0.898258,1.58589,100
2025-03-01,0.937055,1.65201,100
2025-04-01,0.990331,1.67491,100
2025-05-01,0.845201,1.5033,100
2025-06-01,0.927926,1.52072,100
2025-07-01,1.08795,1.69061,100
2025-08-01,1.13499,1.67555,100
2025-09-01,1.0557,1.74529,100
2025-10-01,1.07059,1.74065,100
2025-11-01,1.08545,1.73603,100
2025-12-01,1.08458,1.74232,100
2026-01-01,1.08351,1.79333,100
2026-02-01,1.15495,1.9433,100
