date,A067RC,A071RC,DPCERC,OTHER,SAVING
1989-01-01,,,,,
1989-04-01,,,,,
1989-07-01,,,,,
1989-10-01,,,,,
1990-01-01,1.125,-0.6924999999999999,1.7275,-0.085,0.6924999999999999
1990-04-01,2.1550000000000002,0.6675000000000001,1.4800000000000002,-0.002500000000000009,-0.6675000000000001
1990-07-01,1.2675000000000003,0.4425000000000001,0.8225000000000002,0.0049999999999999906,-0.4425000000000001
1990-10-01,-0.7224999999999998,-0.21249999999999988,-0.4324999999999998,0.08249999999999999,0.21249999999999988
1991-01-01,-1.4124999999999999,0.3150000000000001,-1.7325,-0.002500000000000009,-0.3150000000000001
1991-04-01,-1.38,-0.20249999999999985,-1.2175,-0.04000000000000001,0.20249999999999985
1991-07-01,-0.8824999999999998,0.23750000000000016,-1.12,-0.0025000000000000057,-0.23750000000000016
1991-10-01,1.0075000000000003,1.4175000000000002,-0.4175000000000002,-0.010000000000000005,-1.4175000000000002
1992-01-01,3.085,1.3700000000000003,1.8674999999999997,0.1525,-1.3700000000000003
1992-04-01,3.3724999999999996,1.8450000000000004,1.7024999999999995,0.1775,-1.8450000000000004
1992-07-01,3.4249999999999994,1.2200000000000004,2.269999999999999,0.06749999999999999,-1.2200000000000004
1992-10-01,3.0024999999999995,-0.2899999999999996,3.5149999999999992,0.22499999999999998,0.2899999999999996
1993-01-01,1.0849999999999995,-0.8624999999999996,1.9974999999999992,0.04999999999999999,0.8624999999999996
1993-04-01,0.3374999999999996,-1.8699999999999994,2.2624999999999993,0.05499999999999998,1.8699999999999994
1993-07-01,-0.0625000000000004,-2.2099999999999995,2.332499999999999,0.18499999999999997,2.2099999999999995
1993-10-01,0.2324999999999996,-1.8099999999999994,2.037499999999999,-0.0050000000000000044,1.8099999999999994
1994-01-01,0.5824999999999996,-2.2199999999999993,2.8324999999999996,0.03,2.2199999999999993
1994-04-01,1.3699999999999994,-1.3924999999999992,2.7099999999999995,-0.055,1.3924999999999992
