date,FL103165005.Q,FL103168005.Q,FL103170005.Q,FL103178005.Q,FL103193005.Q,FL103196005.Q,FL104122005.Q,FL104122085.Q,FL104135005.Q,FL104140005.Q,FL104141005.Q,FL104150005.Q,FL104190005.Q,FL113165005.Q,FL113168005.Q,FL113170005.Q,FL113196005.Q,FL114135005.Q,FL114141005.Q,FL114190005.Q,FL103178013.Q,FL113170003.Q,FL113178003.Q,FL103190005.Q,FL113193003.Q,FL103169005.Q,FL113169005.Q,FL104104005.Q,FL114104005.Q,FL103163003.Q,FL114123005.Q,BLM,CTTP,NCTTP,NCOTH
1989-01-01,5.02733,10.3731,10.4751,0.891521,29.1093,42.0894,20.4606,20.4791,22.1865,18.9037,17.1592,30.2704,87.4322,16.4284,2.74752,1.18251,4.39446,21.0546,4.62617,25.449,0,0.988505,0.505366,31.805,2.67563,6.78604,1.87865,42.6471,21.0546,16.3629,21.0546,15.4005,11.3667,1.68787,4.62617
1989-04-01,4.97607,10.3463,10.3684,0.772887,28.3747,41.1651,20.715,20.7778,22.2783,19.2633,17.3023,30.4045,86.5268,16.2792,2.79305,1.15705,4.43132,20.9464,4.66718,25.3777,0,0.999365,0.520876,30.7431,2.72036,6.95593,1.87413,42.9933,20.9464,16.4491,20.9464,15.3224,11.1413,1.67793,4.66718
1989-07-01,4.92313,10.2584,10.1411,0.738776,28.6053,41.1158,20.7437,20.7958,21.9858,19.0515,17.0626,29.9314,85.5594,16.2053,2.82071,1.16518,4.50563,20.8495,4.64423,25.3551,0,1.01245,0.536278,30.3195,2.77238,6.80427,1.82352,42.7294,20.8495,16.4878,20.8495,15.1815,10.8798,1.70145,4.64423
1989-10-01,4.75608,10.585,10.4033,0.666216,28.0132,40.7563,20.8434,20.9679,22.3432,19.4509,17.5871,30.5204,85.9485,16.1746,2.83133,1.15654,4.57763,20.8428,4.66814,25.4204,0,1.02218,0.546645,30.0188,2.83816,7.00215,1.83681,43.1866,20.8428,16.7225,20.8428,15.3411,11.0695,1.70318,4.66814
1990-01-01,4.92375,10.2529,10.0177,0.719533,27.3102,39.7302,20.8248,20.9223,22.4104,19.6328,17.4867,30.37,85.6048,15.8623,2.77106,1.15497,4.49577,20.4548,4.5925,24.9505,0,1.01168,0.541165,29.9496,2.76355,7.23381,1.82144,43.2352,20.4548,16.4824,20.4548,15.1766,10.7372,1.69614,4.5925
1990-04-01,4.91476,10.1491,9.95796,0.622984,26.4141,38.6987,20.8517,20.9574,22.4239,19.6678,17.5091,30.2487,84.1309,15.6109,2.77846,1.12869,4.40926,20.1728,4.56189,24.582,0,1.00223,0.534612,28.5708,2.70928,7.35998,1.78343,43.2756,20.1728,16.517,20.1728,15.0639,10.5809,1.6633,4.56189
1990-07-01,4.93598,9.91376,10.2462,0.680519,26.8995,39.5294,20.8216,20.9053,22.3834,19.6388,17.4474,30.5655,86.3551,15.4491,2.77454,1.08523,4.32284,19.9952,4.54601,24.318,0,0.995376,0.530646,30.5203,2.67082,7.53367,1.77147,43.205,19.9952,16.4896,19.9952,14.8497,10.9267,1.61588,4.54601
1990-10-01,4.96735,9.96084,10.4303,0.637863,27.1723,39.9846,20.8911,20.9315,22.6395,19.6181,17.6721,30.6863,86.9597,15.4026,2.77581,1.10608,4.31573,19.9502,4.54756,24.2659,0,0.999162,0.532913,30.6169,2.66178,7.71128,1.77175,43.5306,19.9502,16.7895,19.9502,14.9282,11.0681,1.63899,4.54756
1991-01-01,5.0435,9.70164,9.73797,0.573455,28.2778,40.2369,21.1543,21.2113,22.0491,18.9915,17.0056,29.3029,85.9731,15.2538,2.74482,1.15803,4.34995,19.736,4.48222,24.0859,0,0.992995,0.532594,30.8106,2.64584,7.30398,1.7374,43.2034,19.736,17.0224,19.736,14.7451,10.3114,1.69062,4.48222
1991-04-01,4.98629,9.29556,9.80355,0.447244,27.8401,39.8161,21.232,21.2857,21.3785,18.3416,16.3922,28.5924,85.176,15.0303,2.73104,1.0935,4.24542,19.492,4.46171,23.7374,0,0.970954,0.525979,30.5895,2.61192,7.09668,1.73067,42.6105,19.492,17.1616,19.492,14.2818,10.2508,1.61948,4.46171
