date,MenLFPR,WomenLFPR,TotLFPR
1989-01-01,76.3333,57.2667,66.3449
1989-04-01,76.5,57.3,66.4299
1989-07-01,76.3667,57.4667,66.4653
1989-10-01,76.4333,57.5667,66.5436
1990-01-01,76.6333,57.6333,66.7206
1990-04-01,76.3667,57.5333,66.5401
1990-07-01,76.2333,57.5667,66.4746
1990-10-01,76.2667,57.3667,66.3988
1991-01-01,76,57.3333,66.2584
1991-04-01,75.8667,57.4667,66.2722
1991-07-01,75.7333,57.2667,66.093
1991-10-01,75.5,57.5,66.0937
1992-01-01,75.7,57.7333,66.3061
1992-04-01,76.0333,57.8667,66.5637
1992-07-01,75.9667,57.9667,66.6025
1992-10-01,75.5667,57.7667,66.2861
1993-01-01,75.4667,57.6667,66.1934
1993-04-01,75.5667,57.9,66.3493
1993-07-01,75.5333,57.9333,66.3503
1993-10-01,75.1333,58.2333,66.323
1994-01-01,75.1,58.7333,66.5807
1994-04-01,74.8,58.8,66.483
1994-07-01,74.9333,58.8,66.5394
1994-10-01,75.2667,58.8333,66.7316
1995-01-01,75.3667,58.8,66.7504
1995-04-01,75.0667,58.9,66.6329
1995-07-01,74.9,59.0333,66.6123
1995-10-01,74.6333,59.0667,66.5225
1996-01-01,74.8,58.9333,66.5325
1996-04-01,74.9667,59.0667,66.7023
1996-07-01,75,59.3667,66.8581
1996-10-01,74.9333,59.7333,67.0185
1997-01-01,74.9333,59.6333,66.9887
1997-04-01,75.0333,59.7333,67.1063
1997-07-01,74.9667,59.9667,67.1644
1997-10-01,74.9667,59.9,67.1371
1998-01-01,74.8333,59.9,67.0993
1998-04-01,74.8667,59.7,67.0192
1998-07-01,74.8667,59.8333,67.0687
1998-10-01,74.9333,59.9667,67.1678
1999-01-01,74.8667,60,67.1417
1999-04-01,74.7,60.0333,67.0735
1999-07-01,74.6333,60,67.0518
1999-10-01,74.6667,60.1333,67.0904
2000-01-01,75.1333,60.0667,67.2945
2000-04-01,74.8333,60.1,67.1765
2000-07-01,74.6333,59.7667,66.8972
2000-10-01,74.6,59.8333,66.9337
2001-01-01,74.8333,60.1,67.1685
2001-04-01,74.4333,59.7333,66.7867
2001-07-01,74.3333,59.6,66.6796
2001-10-01,74.3333,59.7333,66.7296
2002-01-01,74.1,59.7,66.6188
2002-04-01,74.3,59.6333,66.6765
2002-07-01,74.2,59.6,66.6098
2002-10-01,73.7667,59.5333,66.4128
2003-01-01,73.5,59.6667,66.3396
2003-04-01,73.6,59.7667,66.4374
2003-07-01,73.4333,59.3667,66.1302
2003-10-01,73.5,59.1667,66.0509
2004-01-01,73.3667,59.2,66.0345
2004-04-01,73.1667,59.2667,65.9832
2004-07-01,73.3667,59.1,65.968
2004-10-01,73.3333,59.0333,65.9504
2005-01-01,73.1333,59.0667,65.8828
2005-04-01,73.4333,59.2333,66.0872
2005-07-01,73.4,59.3,66.1249
2005-10-01,73.2,59.3333,66.0364
2006-01-01,73.5,59.2,66.1018
2006-04-01,73.4667,59.3,66.147
2006-07-01,73.3,59.4667,66.1463
2006-10-01,73.5333,59.4667,66.2877
2007-01-01,73.6333,59.4333,66.3056
2007-04-01,73.3,59.1,65.9728
2007-07-01,72.9667,59.3333,65.9198
2007-10-01,73.0333,59.3333,65.9601
2008-01-01,73.2,59.4333,66.0955
2008-04-01,73,59.5,66.0333
2008-07-01,72.9667,59.4667,66.0202
2008-10-01,72.7,59.5333,65.8888
2009-01-01,72.3,59.4667,65.6813
2009-04-01,72.3,59.4333,65.6833
2009-07-01,71.9,59.1667,65.3185
2009-10-01,71.3667,58.7667,64.8779
2010-01-01,71.2667,58.8333,64.8578
2010-04-01,71.4333,58.7333,64.8868
2010-07-01,71.2,58.5,64.643
2010-10-01,70.8,58.4333,64.4307
2011-01-01,70.4667,58.2333,64.1755
2011-04-01,70.4667,58.1333,64.1228
2011-07-01,70.4333,58.1333,64.087
2011-10-01,70.4667,57.9667,64.0632
2012-01-01,70.2,57.7667,63.7695
2012-04-01,70.2,57.6667,63.7249
2012-07-01,70.0667,57.6,63.6207
2012-10-01,70.1667,57.6667,63.6881
2013-01-01,70,57.3333,63.4567
2013-04-01,69.9,57.3333,63.3997
2013-07-01,69.7333,57.2333,63.2744
2013-10-01,69.3,56.9,62.8801
2014-01-01,69.2,57.1333,62.9825
2014-04-01,69.1,57,62.8316
2014-07-01,69.3,56.8667,62.8681
2014-10-01,69.2333,56.9333,62.8567
2015-01-01,69.2,56.7,62.7339
2015-04-01,69.2333,56.8,62.7872
2015-07-01,68.9333,56.5667,62.5122
2015-10-01,68.8333,56.7333,62.586
2016-01-01,69.1333,56.9333,62.8312
2016-04-01,69.2,56.7667,62.787
2016-07-01,69.3,56.7333,62.8272
2016-10-01,69.0667,56.7333,62.7013
2017-01-01,69.1333,57.0333,62.8805
2017-04-01,69.1,57.1,62.8808
2017-07-01,69.1333,57.1667,62.943
2017-10-01,68.9667,56.8667,62.6997
2018-01-01,69.1667,56.9,62.84
2018-04-01,69.2667,57,62.9012
2018-07-01,68.8333,57.1333,62.786
2018-10-01,68.9333,57.3333,62.9606
2019-01-01,69.0333,57.5,63.0658
2019-04-01,69.0667,57.1333,62.9037
2019-07-01,69.2667,57.4,63.1452
2019-10-01,69.2333,57.7,63.2797
2020-01-01,68.9,57.6333,63.0905
2020-04-01,66.7,55.2667,60.8042
2020-07-01,67.5,55.9333,61.5362
2020-10-01,67.5667,56,61.5874
2021-01-01,67.2333,55.9333,61.4064
2021-04-01,67.5667,56,61.6141
2021-07-01,67.8,56.0333,61.7352
2021-10-01,67.8333,56.3333,61.894
2022-01-01,68,56.7667,62.2487
2022-04-01,67.9,56.8,62.2321
2022-07-01,67.9,56.8667,62.2397
2022-10-01,68.0667,56.6333,62.2253
2023-01-01,68.1333,57.1667,62.5008
2023-04-01,68.1,57.3,62.5793
2023-07-01,68.1333,57.5,62.6998
2023-10-01,68.1333,57.3667,62.6381
2024-01-01,67.9,57.5667,62.5967
2024-04-01,67.9333,57.5,62.6022
2024-07-01,68.0333,57.6,62.6737
2024-10-01,67.9667,57.3333,62.5044
2025-01-01,67.8,57.5,62.5119
2025-04-01,67.9,57.2333,62.4294
2025-08-01,68,56.9,62.3275
