date,GSPC,MA
2017-01-03,2257.83,2095.3
2017-01-04,2270.75,2096.32
2017-01-05,2269,2097.31
2017-01-06,2276.98,2098.45
2017-01-09,2268.9,2099.73
2017-01-10,2268.9,2101.11
2017-01-11,2275.32,2102.5
2017-01-12,2270.44,2103.81
2017-01-13,2274.64,2105.33
2017-01-17,2267.89,2106.69
2017-01-18,2271.89,2108.24
2017-01-19,2263.69,2109.75
2017-01-20,2271.31,2111.38
2017-01-23,2265.2,2112.95
2017-01-24,2280.07,2114.42
2017-01-25,2298.37,2116.09
2017-01-26,2296.68,2117.64
2017-01-27,2294.69,2119.27
2017-01-30,2280.9,2120.8
2017-01-31,2278.87,2122.14
2017-02-01,2279.55,2123.48
2017-02-02,2280.85,2124.98
2017-02-03,2297.42,2126.5
2017-02-06,2292.56,2127.99
2017-02-07,2293.08,2129.62
2017-02-08,2294.67,2131.36
2017-02-09,2307.87,2133.17
2017-02-10,2316.1,2135
2017-02-13,2328.25,2136.97
2017-02-14,2337.58,2138.84
2017-02-15,2349.25,2140.64
2017-02-16,2347.22,2142.3
2017-02-17,2351.16,2144.01
2017-02-21,2365.38,2145.78
2017-02-22,2362.82,2147.43
2017-02-23,2363.81,2149.18
2017-02-24,2367.34,2150.91
2017-02-27,2369.75,2152.56
2017-02-28,2363.64,2154.2
2017-03-01,2395.96,2156.04
2017-03-02,2381.92,2157.63
2017-03-03,2383.12,2159.2
2017-03-06,2375.31,2160.71
2017-03-07,2368.39,2162.16
2017-03-08,2362.98,2163.59
2017-03-09,2364.87,2165.12
2017-03-10,2372.6,2166.63
2017-03-13,2373.47,2168.15
2017-03-14,2365.45,2169.51
2017-03-15,2385.26,2170.95
2017-03-16,2381.38,2172.39
2017-03-17,2378.25,2173.78
2017-03-20,2373.47,2175.1
2017-03-21,2344.02,2176.26
2017-03-22,2348.45,2177.44
2017-03-23,2345.96,2178.61
2017-03-24,2343.98,2179.82
2017-03-27,2341.59,2181.03
2017-03-28,2358.57,2182.3
2017-03-29,2361.13,2183.51
2017-03-30,2368.06,2184.71
2017-03-31,2362.72,2185.91
2017-04-03,2358.84,2187.04
2017-04-04,2360.16,2188.2
2017-04-05,2352.95,2189.42
2017-04-06,2357.49,2190.57
2017-04-07,2355.54,2191.81
2017-04-10,2357.16,2193.03
2017-04-11,2353.78,2194.26
2017-04-12,2344.93,2195.38
2017-04-13,2328.95,2196.36
2017-04-17,2349.01,2197.41
2017-04-18,2342.19,2198.44
2017-04-19,2338.17,2199.41
2017-04-20,2355.84,2200.41
2017-04-21,2348.69,2201.39
2017-04-24,2374.15,2202.51
2017-04-25,2388.61,2203.68
2017-04-26,2387.45,2204.86
2017-04-27,2388.77,2206.04
2017-04-28,2384.2,2207.18
2017-05-01,2388.33,2208.42
2017-05-02,2391.17,2209.7
2017-05-03,2388.13,2210.92
2017-05-04,2389.52,2212.21
2017-05-05,2399.29,2213.58
2017-05-08,2399.38,2214.96
2017-05-09,2396.92,2216.3
2017-05-10,2399.63,2217.65
2017-05-11,2394.44,2218.88
2017-05-12,2390.9,2220.17
2017-05-15,2402.32,2221.5
2017-05-16,2400.67,2222.9
2017-05-17,2357.03,2224.05
2017-05-18,2365.72,2225.31
2017-05-19,2381.73,2226.63
2017-05-22,2394.02,2228.03
2017-05-23,2398.42,2229.4
2017-05-24,2404.39,2230.81
2017-05-25,2415.07,2232.15
2017-05-26,2415.82,2233.43
2017-05-30,2412.91,2234.71
2017-05-31,2411.8,2235.94
2017-06-01,2430.06,2237.26
2017-06-02,2439.07,2238.6
2017-06-05,2436.1,2239.91
2017-06-06,2429.33,2241.22
2017-06-07,2433.14,2242.49
2017-06-08,2433.79,2243.77
2017-06-09,2431.77,2245
2017-06-12,2429.39,2246.24
2017-06-13,2440.35,2247.6
