date,FinAssets,FinLiabs,Net
1988-07-01,40.081654743167014,39.67147133223004,0.41018341093697663
1989-07-01,43.387490738410165,43.9850715579678,-0.5975808195576416
1990-07-01,40.509737816158726,43.01719026070811,-2.5074524445493855
1991-07-01,42.31275440965917,46.26385709035975,-3.9511026807005827
1992-07-01,40.04753135847328,46.67494437012131,-6.627413011648035
1993-07-01,47.16344934847101,48.93892434256234,-1.7754749940913244
1994-07-01,47.1322323031668,48.64598868487312,-1.5137563817063149
1995-07-01,53.59305652580994,57.22625180486951,-3.633195279059561
1996-07-01,59.35493109109462,63.421585849935134,-4.0666547588405075
1997-07-01,64.54655127710097,73.73594470776744,-9.189393430666465
1998-07-01,70.27196952117647,81.67874293390234,-11.406773412725867
1999-07-01,79.02925002273867,89.43575091380363,-10.40650089106497
2000-07-01,74.55235377163018,89.53874723050113,-14.986393458870943
2001-07-01,67.76265461618577,89.44553493035154,-21.682880314165782
2002-07-01,64.6508845918624,86.70541090819123,-22.054526316328836
2003-07-01,75.25499609390344,95.2646500442982,-20.009645221687347
2004-07-01,86.67805607767937,106.0177392586646,-19.33968318098523
2005-07-01,102.44219793596186,116.68560571636428,-14.243407780402428
2006-01-01,106.38207065730529,118.55647701769816,-12.174399006997492
2006-04-01,107.65564269668411,119.86183222447006,-12.206196798702635
2006-07-01,110.13539975089017,124.59633568052575,-14.46093592963556
2006-10-01,116.88765174976994,129.7642589938716,-12.876607244101667
2007-01-01,121.74281712459036,133.37905523989016,-11.636231080799606
2007-04-01,130.820877148179,140.69016549135048,-9.869281399730955
2007-07-01,135.14097696413728,143.5962990409923,-8.455322076855055
2007-10-01,140.7073420981419,149.39795684121665,-8.690621538834574
2008-01-01,148.82569915502887,161.39854940707323,-12.57284345234752
2008-04-01,141.3594555682238,153.69939163985606,-12.339936071632277
2008-07-01,123.71482137826844,145.9244879471433,-22.209666568874862
2008-10-01,132.96697993347303,160.3120519642108,-27.34507203073779
2009-01-01,125.75841938074414,152.47906558294594,-26.720646202201788
2009-04-01,124.69614572766903,146.94301658077234,-22.246877806608556
2009-07-01,136.5754872937574,155.05081984889904,-18.475332555141634
2009-10-01,132.59720264103098,150.52700630007766,-17.929803659046655
2010-01-01,133.7905888614336,152.5451974318863,-18.754615343404577
2010-04-01,132.15741612941835,153.38968596733034,-21.232269837911968
2010-07-01,145.0794020845214,163.21676599013117,-18.137363905609742
2010-10-01,142.19006652809884,158.59214861179723,-16.402082083698385
2011-01-01,144.28537146082155,161.4721325238199,-17.186761062998375
2011-04-01,144.29300657205658,162.1962605258481,-17.903247526038026
2011-07-01,142.52026865833983,168.939736181994,-26.419467523654145
2011-10-01,140.1923222225708,168.3108736899839,-28.118551467413095
2012-01-01,138.26303654828754,166.91959536055657,-28.656558812269022
2012-04-01,132.7033225500135,165.1576744309449,-32.45435188093141
2012-07-01,136.72632929604634,167.36565491429295,-30.639325618246595
2012-10-01,137.0896274910955,164.91801106259012,-27.8283835714946
2013-01-01,136.350380809487,166.98438575865728,-30.633998935597646
2013-04-01,131.4029461031617,164.5013329999112,-33.09838090856454
2013-07-01,135.91122689590037,165.44410441729642,-29.532877521396045
2013-10-01,140.48720506966802,172.25952620171674,-31.77231529539814
2014-01-01,140.79430919266898,172.8957137368432,-32.10140454417424
2014-04-01,143.49799111855708,174.9367208501456,-31.438729731588516
2014-07-01,139.0404575221858,174.02252138238438,-34.9820638601986
2014-10-01,138.95567241412147,178.28445700163672,-39.328790188959104
2015-01-01,142.05309685522172,180.74204334216645,-38.68894648694472
2015-04-01,135.694957602648,173.48131417088337,-37.78635656823538
2015-07-01,128.11617548735563,168.6855600274431,-40.56938454008749
2015-10-01,127.10913475771079,168.51453127602167,-41.40539651831088
2016-01-01,130.40771208901495,173.21121288297735,-42.803495366644114
2016-04-01,131.61307800391552,176.42904966290678,-44.815971658991266
2016-07-01,131.91507595100603,175.08058790999462,-43.165511958988596
2016-10-01,126.01391466836243,169.5523380616902,-43.53842866535347
2017-01-01,130.0670809999105,172.32579218698118,-42.25871640949533
2017-04-01,134.1665671216865,175.39755744073432,-41.23099031904779
2017-07-01,137.59638125056998,177.18223223352175,-39.585850982951754
2017-10-01,138.6399376719989,178.00068359743148,-39.36075095188429
2018-01-01,136.43860038899584,175.85412229702624,-39.4155219080304
2018-04-01,131.56428343117557,175.11652183904238,-43.55223840786681
2018-07-01,130.81125511050803,177.54642249212293,-46.73516738161492
2018-10-01,120.5938450576723,167.6455498989902,-47.051704841317914
2019-01-01,126.9496125866335,176.20419847918572,-49.254585892552186
2019-04-01,129.5537730307297,180.03550884223574,-50.481735811506034
2019-07-01,129.08125032887344,182.58520324250983,-53.50395755792155
2019-10-01,132.88708210044794,186.6333046660793,-53.74621795872321
2020-01-01,124.00174723484486,182.54332150681176,-58.54157427196691
2020-04-01,145.37793485076514,214.63308225793796,-69.25514740717281
2020-07-01,137.09318060662392,204.78502256391457,-67.69184195729062
2020-10-01,147.54015097002465,215.36417033246153,-67.82401936243689
2021-01-01,146.58465930352673,213.8677054833657,-67.28304617983898
2021-04-01,148.31491251721377,218.01926451475063,-69.70435199753685
2021-07-01,145.5674251244776,215.23462851193312,-69.66720338745552
2021-10-01,143.83246524587068,220.97348401201012,-77.14101876613945
2022-01-01,137.47863016400652,211.61313361745607,-74.13450749540833
2022-04-01,122.66263120197829,188.64952482676577,-65.98689362478748
2022-07-01,115.4506030005278,180.81045202210657,-65.35984902157878
2022-10-01,121.01859239990584,182.8913904327463,-61.872801858689066
