date,AVERAGE,MEDIAN
1989-01-01,138600.0,113000.0
1989-02-01,145300.0,118000.0
1989-03-01,149000.0,123000.0
1989-04-01,144700.0,116700.0
1989-05-01,145100.0,119000.0
1989-06-01,153600.0,122800.0
1989-07-01,140300.0,116000.0
1989-08-01,158600.0,122900.0
1989-09-01,151100.0,120000.0
1989-10-01,147800.0,123000.0
1989-11-01,151400.0,125000.0
1989-12-01,154300.0,125200.0
1990-01-01,151700.0,125000.0
1990-02-01,150900.0,126900.0
1990-03-01,144600.0,119400.0
1990-04-01,153400.0,130000.0
1990-05-01,150600.0,125000.0
1990-06-01,150400.0,125000.0
1990-07-01,149800.0,118700.0
1990-08-01,144700.0,118400.0
1990-09-01,142100.0,113000.0
1990-10-01,153000.0,120000.0
1990-11-01,143300.0,118900.0
1990-12-01,153400.0,127000.0
1991-01-01,148600.0,117900.0
1991-02-01,147800.0,119900.0
1991-03-01,156400.0,122500.0
1991-04-01,150800.0,121000.0
1991-05-01,145400.0,116000.0
1991-06-01,145900.0,119000.0
1991-07-01,148200.0,120000.0
1991-08-01,141800.0,120800.0
1991-09-01,147300.0,120000.0
1991-10-01,147400.0,122600.0
1991-11-01,141700.0,118500.0
1991-12-01,143000.0,122000.0
1992-01-01,144200.0,120000.0
1992-02-01,144800.0,117200.0
1992-03-01,144800.0,120000.0
1992-04-01,145000.0,120000.0
1992-05-01,146000.0,113000.0
1992-06-01,146600.0,124500.0
1992-07-01,137700.0,118000.0
1992-08-01,145300.0,123500.0
1992-09-01,142200.0,119500.0
1992-10-01,148400.0,125000.0
1992-11-01,147200.0,128900.0
1992-12-01,146200.0,126000.0
1993-01-01,138900.0,118000.0
1993-02-01,149400.0,129400.0
1993-03-01,146600.0,125000.0
1993-04-01,148400.0,127000.0
1993-05-01,152300.0,129900.0
1993-06-01,145700.0,124500.0
1993-07-01,143400.0,123900.0
1993-08-01,150600.0,126600.0
1993-09-01,150100.0,129400.0
1993-10-01,146900.0,125000.0
1993-11-01,152500.0,130000.0
1993-12-01,146400.0,125000.0
1994-01-01,153400.0,126000.0
1994-02-01,150700.0,129900.0
1994-03-01,152800.0,132300.0
1994-04-01,152900.0,129000.0
1994-05-01,151800.0,129900.0
1994-06-01,158400.0,133500.0
1994-07-01,144400.0,124400.0
1994-08-01,154900.0,133300.0
1994-09-01,157200.0,129700.0
1994-10-01,153000.0,132000.0
1994-11-01,155400.0,129900.0
1994-12-01,159600.0,135000.0
1995-01-01,147400.0,127900.0
1995-02-01,160200.0,135000.0
1995-03-01,153300.0,130000.0
1995-04-01,157800.0,134000.0
1995-05-01,158000.0,133900.0
1995-06-01,160200.0,133700.0
1995-07-01,154200.0,131000.0
1995-08-01,162000.0,134900.0
1995-09-01,155600.0,130000.0
1995-10-01,156200.0,135200.0
1995-11-01,160700.0,137000.0
1995-12-01,165600.0,138600.0
1996-01-01,155300.0,131900.0
1996-02-01,163700.0,139400.0
1996-03-01,162100.0,137000.0
1996-04-01,170000.0,140000.0
1996-05-01,163300.0,136500.0
1996-06-01,166500.0,140000.0
1996-07-01,168400.0,144200.0
1996-08-01,159700.0,137000.0
1996-09-01,167400.0,139000.0
1996-10-01,168400.0,143800.0
1996-11-01,172000.0,143500.0
1996-12-01,171800.0,144900.0
1997-01-01,171900.0,145000.0
1997-02-01,171100.0,143000.0
1997-03-01,172700.0,148000.0
1997-04-01,179500.0,150000.0
1997-05-01,170700.0,141000.0
1997-06-01,179400.0,145000.0
1997-07-01,175500.0,145900.0
1997-08-01,170700.0,144000.0
1997-09-01,177500.0,146300.0
1997-10-01,172900.0,141500.0
1997-11-01,175400.0,145000.0
1997-12-01,175800.0,145900.0
1998-01-01,178600.0,148000.0
1998-02-01,181600.0,156000.0
1998-03-01,178500.0,152700.0
1998-04-01,176700.0,148000.0
1998-05-01,183500.0,153200.0
1998-06-01,175900.0,148000.0
1998-07-01,179800.0,149900.0
1998-08-01,186500.0,154900.0
1998-09-01,182700.0,155000.0
1998-10-01,182800.0,154500.0
1998-11-01,178600.0,151000.0
1998-12-01,183300.0,152500.0
1999-01-01,182900.0,153100.0
1999-02-01,191400.0,160000.0
1999-03-01,189300.0,157300.0
1999-04-01,192200.0,159900.0
1999-05-01,187900.0,154400.0
1999-06-01,193900.0,159300.0
1999-07-01,189100.0,158200.0
1999-08-01,193100.0,154800.0
1999-09-01,194800.0,163200.0
1999-10-01,200200.0,161100.0
1999-11-01,211500.0,172000.0
1999-12-01,202100.0,164800.0
2000-01-01,200300.0,163500.0
2000-02-01,199200.0,162400.0
2000-03-01,204900.0,165100.0
2000-04-01,207300.0,162600.0
2000-05-01,200000.0,164700.0
2000-06-01,197700.0,160100.0
2000-07-01,202200.0,169000.0
2000-08-01,200200.0,166600.0
2000-09-01,208300.0,171500.0
2000-10-01,215100.0,176300.0
2000-11-01,210700.0,174700.0
2000-12-01,208100.0,162000.0
2001-01-01,209000.0,171300.0
2001-02-01,211000.0,169100.0
2001-03-01,210200.0,166300.0
2001-04-01,205500.0,175200.0
2001-05-01,211400.0,175300.0
2001-06-01,211700.0,179400.0
2001-07-01,209300.0,175000.0
2001-08-01,207500.0,173700.0
2001-09-01,203300.0,166400.0
2001-10-01,207100.0,171300.0
2001-11-01,206900.0,168100.0
2001-12-01,228700.0,180200.0
2002-01-01,226900.0,187100.0
2002-02-01,226500.0,191100.0
2002-03-01,227100.0,183400.0
2002-04-01,228100.0,187100.0
2002-05-01,226500.0,181000.0
2002-06-01,225200.0,190600.0
2002-07-01,217800.0,175600.0
2002-08-01,221300.0,178900.0
2002-09-01,215300.0,177500.0
2002-10-01,231300.0,189200.0
2002-11-01,227100.0,181200.0
2002-12-01,237800.0,197600.0
2003-01-01,230200.0,181700.0
2003-02-01,233400.0,187000.0
2003-03-01,231100.0,185100.0
2003-04-01,237200.0,189500.0
2003-05-01,243700.0,195500.0
2003-06-01,239700.0,187900.0
2003-07-01,248400.0,190200.0
2003-08-01,241000.0,190500.0
2003-09-01,254500.0,192000.0
2003-10-01,242800.0,194100.0
2003-11-01,268300.0,207100.0
2003-12-01,253900.0,196000.0
2004-01-01,262100.0,209500.0
2004-02-01,264100.0,219600.0
2004-03-01,261000.0,209600.0
2004-04-01,269300.0,222300.0
2004-05-01,260400.0,211700.0
2004-06-01,263200.0,215700.0
2004-07-01,279200.0,212400.0
2004-08-01,272200.0,218100.0
2004-09-01,269200.0,211600.0
2004-10-01,289600.0,229200.0
2004-11-01,283200.0,224500.0
2004-12-01,284300.0,229600.0
2005-01-01,283000.0,223100.0
2005-02-01,289100.0,237300.0
2005-03-01,289600.0,229300.0
2005-04-01,289100.0,236300.0
2005-05-01,287400.0,228300.0
2005-06-01,279600.0,226100.0
2005-07-01,289300.0,229200.0
2005-08-01,295000.0,240100.0
2005-09-01,299600.0,240400.0
2005-10-01,293600.0,243900.0
2005-11-01,294400.0,237900.0
2005-12-01,290200.0,238600.0
2006-01-01,301000.0,244900.0
2006-02-01,307900.0,250800.0
2006-03-01,298800.0,238800.0
2006-04-01,310300.0,257000.0
2006-05-01,293900.0,238200.0
2006-06-01,305000.0,243200.0
2006-07-01,311300.0,238100.0
2006-08-01,317300.0,243900.0
2006-09-01,296200.0,226700.0
2006-10-01,306800.0,250400.0
2006-11-01,291800.0,240100.0
2006-12-01,301900.0,244700.0
2007-01-01,314600.0,254400.0
2007-02-01,321500.0,250800.0
2007-03-01,329400.0,262600.0
2007-04-01,311700.0,242500.0
2007-05-01,309700.0,245000.0
2007-06-01,306500.0,235500.0
2007-07-01,307100.0,246200.0
2007-08-01,301300.0,236500.0
2007-09-01,292200.0,240300.0
2007-10-01,310100.0,234300.0
2007-11-01,316800.0,249100.0
2007-12-01,284400.0,227700.0
2008-01-01,284600.0,232400.0
2008-02-01,301200.0,245300.0
2008-03-01,287600.0,229300.0
2008-04-01,314300.0,246400.0
2008-05-01,298200.0,229300.0
2008-06-01,299400.0,234300.0
2008-07-01,301900.0,237300.0
2008-08-01,265500.0,221000.0
2008-09-01,287100.0,225200.0
2008-10-01,274000.0,213200.0
2008-11-01,290100.0,221600.0
2008-12-01,263100.0,229600.0
2009-01-01,245200.0,208600.0
2009-02-01,258600.0,209700.0
2009-03-01,259800.0,205100.0
2009-04-01,269800.0,219200.0
2009-05-01,274600.0,222300.0
2009-06-01,274800.0,214700.0
2009-07-01,271100.0,214200.0
2009-08-01,257800.0,207100.0
2009-09-01,290300.0,216600.0
2009-10-01,263800.0,215100.0
2009-11-01,274700.0,218800.0
2009-12-01,278300.0,222600.0
2010-01-01,283400.0,218200.0
2010-02-01,284100.0,221900.0
2010-03-01,262900.0,224800.0
2010-04-01,270500.0,208300.0
2010-05-01,281100.0,230500.0
2010-06-01,256700.0,219500.0
2010-07-01,252100.0,212100.0
2010-08-01,268800.0,226600.0
2010-09-01,270800.0,228000.0
2010-10-01,254400.0,204200.0
2010-11-01,281700.0,219600.0
2010-12-01,291700.0,241200.0
2011-01-01,275700.0,240100.0
2011-02-01,262800.0,220100.0
2011-03-01,260800.0,220500.0
2011-04-01,268900.0,224700.0
2011-05-01,262700.0,222000.0
2011-06-01,273100.0,240200.0
2011-07-01,270300.0,229900.0
2011-08-01,259300.0,219600.0
2011-09-01,255400.0,217000.0
2011-10-01,258300.0,224800.0
2011-11-01,250000.0,214300.0
2011-12-01,262900.0,218600.0
2012-01-01,265700.0,221700.0
2012-02-01,274000.0,239900.0
2012-03-01,283600.0,239800.0
2012-04-01,287900.0,236400.0
2012-05-01,280900.0,239200.0
2012-06-01,271800.0,232600.0
2012-07-01,282300.0,237400.0
2012-08-01,305500.0,253200.0
2012-09-01,297700.0,254600.0
2012-10-01,285400.0,247200.0
2012-11-01,290700.0,245000.0
2012-12-01,299200.0,258300.0
2013-01-01,306900.0,251500.0
2013-02-01,312500.0,265100.0
2013-03-01,300200.0,257500.0
2013-04-01,337000.0,279300.0
2013-05-01,314000.0,263700.0
2013-06-01,306100.0,259800.0
2013-07-01,329900.0,262200.0
2013-08-01,310800.0,255300.0
2013-09-01,321400.0,269800.0
2013-10-01,335700.0,264300.0
2013-11-01,335600.0,277100.0
2013-12-01,321200.0,275500.0
2014-01-01,337300.0,269800.0
2014-02-01,325900.0,268400.0
2014-03-01,331500.0,282300.0
2014-04-01,325100.0,274500.0
2014-05-01,323500.0,285600.0
2014-06-01,338100.0,287000.0
2014-07-01,345200.0,280400.0
2014-08-01,356200.0,291700.0
2014-09-01,319100.0,261500.0
2014-10-01,377500.0,297000.0
2014-11-01,348900.0,298300.0
2014-12-01,373200.0,301500.0
2015-01-01,348300.0,292000.0
2015-02-01,346300.0,286600.0
2015-03-01,349300.0,286600.0
2015-04-01,340400.0,294500.0
2015-05-01,336200.0,287500.0
2015-06-01,326900.0,285100.0
2015-07-01,341200.0,292300.0
2015-08-01,343300.0,293000.0
2015-09-01,357200.0,299500.0
2015-10-01,368900.0,298000.0
2015-11-01,373200.0,312600.0
2015-12-01,352500.0,297100.0
2016-01-01,361200.0,288400.0
2016-02-01,341700.0,305800.0
2016-03-01,359000.0,303200.0
2016-04-01,369300.0,318300.0
2016-05-01,349700.0,295200.0
2016-06-01,357800.0,311200.0
2016-07-01,353000.0,297400.0
2016-08-01,355100.0,298900.0
2016-09-01,366100.0,314800.0
2016-10-01,352200.0,302800.0
2016-11-01,363400.0,315000.0
2016-12-01,382500.0,327000.0
2017-01-01,357700.0,315200.0
2017-02-01,370500.0,298000.0
2017-03-01,384400.0,321700.0
2017-04-01,365800.0,311100.0
2017-05-01,378400.0,323600.0
2017-06-01,370600.0,315200.0
2017-07-01,372400.0,322900.0
2017-08-01,369200.0,314200.0
2017-09-01,379300.0,331500.0
2017-10-01,394000.0,319500.0
2017-11-01,388500.0,343400.0
2017-12-01,402900.0,343300.0
2018-01-01,377800.0,329600.0
2018-02-01,373600.0,327200.0
2018-03-01,369200.0,335400.0
2018-04-01,385100.0,314400.0
2018-05-01,372600.0,316700.0
2018-06-01,370100.0,310500.0
2018-07-01,392300.0,327500.0
2018-08-01,380900.0,321400.0
2018-09-01,386400.0,328300.0
2018-10-01,394900.0,328300.0
2018-11-01,367100.0,308500.0
2018-12-01,381800.0,329700.0
2019-01-01,361100.0,305400.0
2019-02-01,383600.0,320800.0
2019-03-01,372700.0,310600.0
2019-04-01,385400.0,339000.0
2019-05-01,379100.0,312700.0
2019-06-01,361900.0,311800.0
2019-07-01,373500.0,308300.0
2019-08-01,392700.0,327000.0
2019-09-01,372100.0,315700.0
2019-10-01,380300.0,322400.0
2019-11-01,384400.0,328000.0
2019-12-01,377700.0,329500.0
2020-01-01,384000.0,328900.0
2020-02-01,386200.0,331800.0
2020-03-01,375400.0,328200.0
2020-04-01,360300.0,310100.0
2020-05-01,368700.0,317100.0
2020-06-01,382200.0,341100.0
2020-07-01,379100.0,329800.0
2020-08-01,386300.0,325500.0
2020-09-01,405100.0,344400.0
2020-10-01,394600.0,346900.0
2020-11-01,396100.0,350800.0
2020-12-01,401700.0,365300.0
2021-01-01,418600.0,373200.0
2021-02-01,407500.0,362000.0
2021-03-01,414700.0,359600.0
2021-04-01,434800.0,376600.0
2021-05-01,445300.0,390400.0
2021-06-01,431900.0,374700.0
2021-07-01,462100.0,406000.0
2021-08-01,470000.0,404300.0
2021-09-01,470600.0,413200.0
2021-10-01,487700.0,427300.0
2021-11-01,498800.0,430300.0
2021-12-01,491000.0,410000.0
2022-01-01,501200.0,430500.0
2022-02-01,522200.0,427400.0
2022-03-01,511800.0,435900.0
2022-04-01,562400.0,458200.0
2022-05-01,521500.0,450700.0
2022-06-01,467200.0,428300.0
2022-07-01,556700.0,466300.0
2022-08-01,521800.0,436800.0
