date,PRIV,GOV,ROW
1989-01-01,2.0876,-4.0263,1.9383
1989-04-01,2.703,-4.3731,1.6698
1989-07-01,3.1586,-4.5944,1.4362
1989-10-01,3.3545,-4.8933,1.5391
1990-01-01,3.6798,-5.2273,1.5473
1990-04-01,4.0772,-5.3024,1.225
1990-07-01,3.8935,-5.2654,1.372
1990-10-01,4.7132,-6.0896,1.3766
1991-01-01,5.988,-5.2899,-0.6982
1991-04-01,6.4797,-6.2479,-0.2318
1991-07-01,6.3109,-6.7787,0.468
1991-10-01,6.5433,-6.8141,0.2709
1992-01-01,6.9856,-7.3314,0.3459
1992-04-01,6.651,-7.2662,0.6152
1992-07-01,6.6995,-7.4115,0.712
1992-10-01,6.0953,-7.1225,1.027
1993-01-01,6.2035,-7.0946,0.891
1993-04-01,5.4012,-6.4983,1.0972
1993-07-01,5.3758,-6.5072,1.1314
1993-10-01,4.1594,-5.7057,1.5463
1994-01-01,3.9619,-5.2708,1.3089
1994-04-01,3.2838,-4.8406,1.5567
1994-07-01,3.3921,-5.0668,1.6746
1994-10-01,3.1771,-5.0383,1.8612
1995-01-01,3.419,-5.0072,1.5881
1995-04-01,3.4509,-5.0221,1.5712
1995-07-01,3.139,-4.4636,1.3245
1995-10-01,3.1883,-4.279,1.0908
1996-01-01,2.9751,-4.2861,1.3108
1996-04-01,2.2889,-3.6526,1.3637
1996-07-01,1.7664,-3.4109,1.6446
1996-10-01,1.4566,-2.8428,1.3863
1997-01-01,1.0373,-2.6187,1.5813
1997-04-01,0.8541,-2.0569,1.2028
1997-07-01,0.4264,-1.8514,1.4251
1997-10-01,0.0102,-1.8825,1.8723
1998-01-01,-0.6648,-1.197,1.8618
1998-04-01,-1.1424,-1.0458,2.1882
1998-07-01,-1.6454,-0.8202,2.4657
1998-10-01,-1.8302,-0.7092,2.5394
1999-01-01,-1.8986,-0.6047,2.5033
1999-04-01,-2.2787,-0.4918,2.7704
1999-07-01,-2.6148,-0.4308,3.0456
1999-10-01,-2.883,-0.5396,3.4226
2000-01-01,-4.3229,0.5946,3.7283
2000-04-01,-4.0949,0.3741,3.7208
2000-07-01,-4.3811,0.3065,4.0746
2000-10-01,-4.1234,-0.0073,4.1307
2001-01-01,-3.6972,-0.3547,4.0519
2001-04-01,-2.4809,-1.1025,3.5835
2001-07-01,-0.1482,-3.2578,3.406
2001-10-01,-0.4378,-2.8734,3.3112
2002-01-01,0.9869,-4.8207,3.8338
2002-04-01,1.0452,-5.2534,4.2082
2002-07-01,1.1616,-5.3816,4.22
2002-10-01,1.3905,-5.9414,4.5509
2003-01-01,1.3237,-6.2843,4.9606
2003-04-01,1.846,-6.6014,4.7554
2003-07-01,2.3332,-6.9723,4.6391
2003-10-01,1.6801,-6.0709,4.3908
2004-01-01,1.6327,-6.3355,4.7028
2004-04-01,0.7908,-5.9855,5.1946
2004-07-01,0.4747,-5.695,5.2204
2004-10-01,-0.4925,-5.3919,5.8844
