date,PRIV,GOV,ROW
2005-01-01,-0.9556,-4.6332,5.5888
2005-04-01,-1.144,-4.5064,5.6504
2005-07-01,-0.4965,-4.8525,5.349
2005-10-01,-2.2264,-4.1922,6.4187
2006-01-01,-2.3773,-3.5944,5.9716
2006-04-01,-2.58,-3.5016,6.0816
2006-07-01,-2.8847,-3.4728,6.3576
2006-10-01,-2.3667,-3.1731,5.5398
2007-01-01,-2.0561,-3.6988,5.755
2007-04-01,-1.6999,-3.7178,5.4177
2007-07-01,-0.6035,-4.2919,4.8954
2007-10-01,0.0266,-4.6308,4.6042
2008-01-01,0.15,-5.2318,5.0818
2008-04-01,2.6336,-7.5794,4.9458
2008-07-01,2.5652,-7.2554,4.6902
2008-10-01,5.4557,-9.8275,4.3718
2009-01-01,9.8702,-12.693,2.8228
2009-04-01,11.3046,-13.8366,2.532
2009-07-01,10.7862,-13.3644,2.5781
2009-10-01,10.1518,-12.9749,2.8232
2010-01-01,10.2711,-13.2154,2.9444
2010-04-01,10.1188,-13.116,2.9972
2010-07-01,8.9305,-12.0868,3.1563
2010-10-01,8.8452,-11.6355,2.7903
2011-01-01,8.1236,-11.2757,3.1521
2011-04-01,8.1566,-11.3369,3.1802
2011-07-01,8.1313,-10.9621,2.8308
2011-10-01,7.8729,-10.7613,2.8884
2012-01-01,6.7888,-9.7502,2.9614
2012-04-01,6.6313,-9.4284,2.797
2012-07-01,6.8005,-9.2787,2.4782
2012-10-01,6.5294,-8.7238,2.1943
2013-01-01,4.5268,-6.8593,2.3325
2013-04-01,2.9327,-5.232,2.2993
2013-07-01,4.2344,-6.3503,2.116
2013-10-01,3.4579,-5.2082,1.7503
2014-01-01,2.9898,-5.2076,2.2178
2014-04-01,3.1045,-5.1071,2.0026
2014-07-01,3.2804,-5.3095,2.0291
2014-10-01,2.8858,-5.311,2.4252
2015-01-01,2.5946,-4.9825,2.3879
2015-04-01,1.9343,-4.1817,2.2475
2015-07-01,2.5285,-5.0463,2.5179
2015-10-01,2.0873,-4.3665,2.2793
2016-01-01,3.0772,-5.4386,2.3615
2016-04-01,3.1741,-5.3221,2.1481
2016-07-01,3.339,-5.4489,2.11
2016-10-01,3.3849,-5.4563,2.0715
2017-01-01,3.6538,-5.5626,1.9089
2017-04-01,3.4941,-5.7403,2.2462
2017-07-01,3.763,-5.7395,1.9765
2017-10-01,-1.1346,-0.7726,1.9072
2018-01-01,3.9375,-5.8936,1.9561
2018-04-01,4.3087,-6.1979,1.8892
2018-07-01,3.6885,-6.0289,2.3404
2018-10-01,3.9124,-6.351,2.4386
2019-01-01,4.4573,-6.7054,2.2481
2019-04-01,4.2485,-6.4973,2.2488
2019-07-01,4.6871,-6.7616,2.0745
2019-10-01,4.9817,-6.8521,1.8705
2020-01-01,5.3027,-7.1019,1.7992
2020-04-01,23.3709,-25.9449,2.574
2020-07-01,14.3137,-17.3126,2.9988
2020-10-01,7.2194,-10.5105,3.2911
2021-01-01,17.3144,-20.8639,3.5495
2021-04-01,8.265,-11.9241,3.6591
2021-07-01,5.4742,-9.3184,3.8441
2021-10-01,2.5998,-6.3151,3.7153
2022-01-01,-2.1012,-2.2846,4.3857
2022-04-01,-0.7721,-3.2559,4.028
2022-07-01,0.6657,-4.1365,3.4708
2022-10-01,1.5729,-5.1058,3.5329
2023-01-01,4.2054,-7.6206,3.4152
2023-04-01,5.0068,-8.3906,3.3839
2023-07-01,5.0581,-8.341,3.2829
2023-10-01,4.103,-7.6161,3.5132
2024-01-01,4.1009,-7.8428,3.7418
2024-04-01,3.931,-7.9159,3.9849
2024-07-01,3.9446,-8.4449,4.5003
2024-10-01,4.2573,-8.0954,3.8381
2025-01-01,3.0556,-7.967,4.9114
2025-04-01,3.8539,-7.7093,3.8554
2025-07-01,4.2826,-7.4465,3.1639
