date,p10,p25,p50,p75,p90,p10_3M,p25_3M,p50_3M,p75_3M,p90_3M,p10_gr,p25_gr,p50_gr,p75_gr,p90_gr,p10_3M_gr,p25_3M_gr,p50_3M_gr,p75_3M_gr,p90_3M_gr
1991-05-01,207.154,290.259,420.224,621.328,880.058,206.182,289.184,424.204,625.839,892.901,4.02478,4.53785,2.62615,3.69399,4.95449,3.7005,4.32655,3.67946,3.34835,4.50098
1991-06-01,201.078,282.644,413.132,612.144,885.137,204.785,287.263,418.04,618.802,882.861,3.76311,2.42248,1.76029,2.19162,3.19758,3.60269,3.83607,2.71289,3.09659,4.15036
1991-07-01,199.906,283.32,417.593,624.82,906.151,202.712,285.408,416.983,619.431,890.449,4.40599,5.07171,4.96501,3.97579,6.40785,4.06291,4.00363,3.10333,3.28791,4.8488
1991-08-01,202.114,282.377,410.681,614.433,891.751,201.033,282.78,413.802,617.133,894.346,4.38132,4.24657,2.77456,2.10797,5.00007,4.18253,3.90256,3.15653,2.75877,4.86438
1991-09-01,208.215,290.144,424.017,635.64,898.712,203.412,285.281,417.43,624.964,898.871,5.26562,4.82811,4.09572,4.46204,3.38177,4.6895,4.71574,3.94458,3.51858,4.91915
1991-10-01,211.142,291.724,425.011,649.244,929.904,207.157,288.082,419.903,633.106,906.789,7.11848,4.06989,2.84248,6.03259,6.38328,5.59523,4.38116,3.2386,4.21245,4.9238
1991-11-01,208.887,289.202,426.752,652.873,904.324,209.414,290.357,425.26,645.919,910.98,3.42784,2.15404,1.7412,4.07138,1.27311,5.25565,3.67412,2.88164,4.84978,3.66272
1991-12-01,209.85,292.001,431.849,632.396,899.237,209.96,290.976,427.87,644.838,911.155,4.56213,3.11542,4.0205,2.56851,2.14917,5.0203,3.10997,2.86422,4.21913,3.25169
1992-01-01,210.46,295.781,433.702,645.034,923.613,209.732,292.328,430.768,643.434,909.058,1.85132,2.18768,0.863918,3.14972,2.37798,3.2668,2.48356,2.19118,3.26733,1.93393
1992-02-01,209.672,293.448,435.887,642.694,920.319,209.994,293.743,433.813,640.041,914.389,-0.305342,0.974196,2.54043,2.57946,3.09235,1.99779,2.08349,2.45665,2.7667,2.54107
1992-03-01,211.234,295.32,448.281,663.386,944.691,210.455,294.85,439.29,650.371,929.541,2.90551,2.39787,3.85912,4.7581,3.21598,1.47013,1.85141,2.42253,3.50048,2.8963
1992-04-01,213.697,296.268,440.912,655.431,928.959,211.534,295.012,441.693,653.837,931.323,3.6744,2.55485,4.78855,5.21694,5.15872,2.07424,1.97341,3.72645,4.18491,3.81264
1992-05-01,210.497,292.398,429.362,644.566,919.106,211.809,294.662,439.518,654.461,930.919,1.61398,0.736756,2.17458,3.73998,4.43702,2.72919,1.89438,3.61017,4.57341,4.25782
1992-06-01,204.593,286.249,421.794,639.576,913.268,209.596,291.638,430.689,646.524,920.444,1.74821,1.27558,2.0967,4.48129,3.17816,2.34921,1.52293,3.02593,4.48003,4.25703
1992-07-01,203.334,284.532,424.961,647.142,921.972,206.141,287.726,425.372,643.761,918.115,1.71476,0.427848,1.76449,3.57241,1.74599,1.69149,0.812408,2.01196,3.92784,3.10708
1992-08-01,205.113,288.039,424.83,638.785,930.303,204.346,286.273,423.862,641.834,921.848,1.48352,2.00492,3.44517,3.96328,4.32311,1.64842,1.23523,2.43105,4.00264,3.07501
1992-09-01,214.811,297.837,440.349,662.244,942.656,207.752,290.136,430.046,649.39,931.644,3.16763,2.65114,3.85159,4.18544,4.88968,2.1339,1.70192,3.02233,3.90834,3.64594
1992-10-01,211.566,295.479,434.842,655.976,949.648,210.496,293.785,433.34,652.335,940.869,0.200869,1.28742,2.31323,1.03682,2.12318,1.61199,1.97968,3.20007,3.03728,3.75828
1992-11-01,215.584,297.979,443.47,671.927,956.194,213.987,297.098,439.554,663.382,949.499,3.2062,3.03509,3.9176,2.9185,5.7358,2.18338,2.3219,3.36119,2.70363,4.22833
1992-12-01,212.782,295.532,441.197,653.028,920.497,213.311,296.33,439.837,660.31,942.113,1.39691,1.20915,2.16469,3.26251,2.36428,1.596,1.84024,2.79665,2.39944,3.39767
