date,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA
2023-06-01,323.6,373.81,348.13,568.47,388.33,446.03,432.05,379.65,405.04,399.65
2023-07-01,326.45,378.42,351.82,574.06,390.93,446.89,436.98,382.48,408.37,403.1
2023-08-01,330.0,379.33,356.8,575.15,395.0,450.07,438.25,385.43,409.79,405.73
2023-09-01,331.42,380.98,357.14,580.09,399.55,451.43,442.18,384.47,412.95,407.89
2023-10-01,334.2,383.6,359.4,579.26,400.24,452.71,443.31,386.93,412.87,409.43
2023-11-01,335.91,386.24,362.17,582.9,399.55,455.71,443.43,388.2,411.51,410.77
2023-12-01,336.68,389.76,363.74,583.05,401.69,455.72,445.4,389.89,411.88,412.02
2024-01-01,337.74,387.9,362.29,587.79,403.14,454.67,444.71,392.51,413.98,412.49
2024-02-01,340.62,389.57,369.09,587.15,411.14,463.33,449.29,395.42,415.86,416.68
2024-03-01,343.51,389.51,372.41,590.31,410.07,459.74,451.09,396.28,415.8,417.7
2024-04-01,344.75,393.37,373.26,591.95,411.65,462.04,452.51,399.45,416.34,419.36
2024-05-01,346.08,393.76,375.21,592.56,414.57,460.49,454.17,398.57,417.03,420.18
2024-06-01,348.39,396.45,374.82,589.73,415.83,461.13,455.95,397.95,417.63,421.12
2024-07-01,351.86,396.71,376.84,592.06,418.88,464.14,454.3,398.99,416.64,422.31
2024-08-01,352.4,400.28,378.46,596.11,419.5,464.82,454.89,403.35,418.56,423.92
2024-09-01,353.53,402.2,383.24,603.64,424.89,466.7,457.7,405.72,419.23,426.52
2024-10-01,357.16,405.54,385.09,599.18,426.02,464.46,461.4,406.43,423.44,428.51
2024-11-01,357.77,402.85,387.29,604.58,429.52,468.34,464.03,409.23,422.22,430.19
2024-12-01,359.21,405.8,391.36,611.41,433.49,469.78,465.33,409.83,422.81,432.25
2025-01-01,362.22,406.18,393.42,611.08,433.1,472.39,463.79,411.94,426.08,433.68
2025-02-01,364.61,404.23,394.24,608.16,437.35,470.84,464.2,412.35,425.66,433.96
2025-03-01,364.35,408.51,396.61,605.79,438.03,467.56,466.15,412.34,426.14,434.41
2025-04-01,365.78,411.01,400.14,599.1,434.92,466.11,462.28,412.82,421.65,433.23
2025-05-01,365.6,412.21,396.9,603.74,439.73,465.5,461.9,413.73,422.44,433.45
2025-06-01,366.19,409.92,401.27,600.43,436.92,464.74,459.31,415.95,422.23,433.1
2025-07-01,367.56,407.94,397.53,600.54,437.59,466.0,458.76,416.2,423.34,433.08
2025-08-01,370.48,410.36,403.57,603.73,440.56,462.55,462.0,417.45,423.31,435.05
2025-09-01,372.98,413.64,403.96,599.23,438.86,464.52,460.76,420.05,417.49,434.9
2025-10-01,374.57,411.15,405.59,600.91,442.77,465.29,461.81,421.74,423.01,436.64
2025-11-01,375.88,414.27,405.56,605.22,445.68,468.73,465.13,424.44,427.12,439.34
2025-12-01,378.86,414.24,409.84,608.37,447.35,468.36,466.24,425.43,425.68,440.66
2026-01-01,378.68,419.34,410.95,610.81,450.09,471.05,465.43,426.58,424.3,441.47
2026-02-01,378.55,420.25,410.66,603.87,451.11,468.84,468.41,425.06,425.24,441.43
