date,TR CAPE
1989-01-01,18.635049380695175
1989-04-01,19.614991123448316
1989-07-01,21.095928703728003
1989-10-01,21.020105320086092
1990-01-01,20.080841209775894
1990-04-01,20.661955536595453
1990-07-01,19.495730350038325
1990-10-01,18.13746672182449
1991-01-01,20.055055753310505
1991-04-01,21.36547752225867
1991-07-01,21.630504787829945
1991-10-01,21.64425882443784
1992-01-01,23.016031338844623
1992-04-01,22.853281668470714
1992-07-01,23.13980616444755
1992-10-01,23.3621899663631
1993-01-01,24.157040177048838
1993-04-01,24.085868480517735
1993-07-01,24.378725608621142
1993-10-01,24.7223353097873
1994-01-01,24.765467797530675
1994-04-01,23.574548684542094
1994-07-01,23.778759703824942
1994-10-01,23.470565385177768
1995-01-01,24.053325234186588
1995-04-01,25.672061434548556
1995-07-01,27.147302750871976
1995-10-01,28.095665479755407
1996-01-01,29.188437576145276
1996-04-01,29.42934308833138
1996-07-01,28.87872188954405
1996-10-01,31.017389265178462
1997-01-01,32.66690658762633
1997-04-01,33.458071951730595
1997-07-01,36.82394668902503
1997-10-01,36.794128819507
1998-01-01,38.7559788753135
1998-04-01,41.279986104695574
1998-07-01,39.711271211571706
1998-10-01,40.580972395122735
1999-01-01,44.97344767234281
1999-04-01,46.663562871314745
1999-07-01,46.34576411015374
1999-10-01,46.48703579233895
2000-01-01,46.75713064356044
2000-04-01,46.27134414869686
2000-07-01,45.8534477190367
2000-10-01,41.38529332795799
2001-01-01,37.61553505447035
2001-04-01,35.4801291695013
2001-07-01,32.57063141504431
2001-10-01,31.810423235167345
2002-01-01,32.03262426283798
2002-04-01,29.863967318225665
2002-07-01,24.853123555893244
2002-10-01,24.527121099186957
2003-01-01,23.49243893113417
2003-04-01,25.477586609844213
2003-07-01,26.90314344694728
2003-10-01,28.182109449849303
2004-01-01,29.597768257774167
2004-04-01,28.518956685427497
2004-07-01,27.557785055981537
2004-10-01,28.447548889399815
2005-01-01,28.671604385069525
2005-04-01,27.750344959017315
2005-07-01,28.10044973780741
2005-10-01,27.781635739379436
2006-01-01,28.41977961533085
2006-04-01,27.517081046405377
2006-07-01,27.102736835824775
2006-10-01,29.02197938741197
2007-01-01,29.010365121307057
2007-04-01,29.42603996717124
2007-07-01,28.82093067506986
2007-10-01,28.36418943850211
2008-01-01,25.2000757246243
2008-04-01,25.001491944986125
2008-07-01,22.602892621476702
2008-10-01,17.02622969626913
2009-01-01,15.523392388053347
2009-04-01,17.355722609464888
2009-07-01,19.735666633275976
2009-10-01,21.956554922410803
2010-01-01,22.693669184936862
2010-04-01,22.89650945586536
2010-07-01,22.069996127804888
2010-10-01,24.079185479307114
2011-01-01,25.526811001131666
2011-04-01,25.102679700587146
2011-07-01,22.90470260720261
2011-10-01,22.42005524958566
2012-01-01,23.911306759954496
2012-04-01,23.258635097759385
2012-07-01,23.611447849751745
2012-10-01,23.449020956315834
2013-01-01,24.446123061463183
2013-04-01,25.40201809097819
2013-07-01,25.90883887789325
2013-10-01,27.02899618712837
2014-01-01,27.40386337044052
2014-04-01,27.706614676910522
2014-07-01,28.439949216502878
2014-10-01,28.856977674633683
2015-01-01,29.437652344259494
2015-04-01,29.371068703908424
2015-07-01,28.066778104849703
2015-10-01,28.46841672736532
2016-01-01,26.965066107855495
2016-04-01,28.379958014113743
2016-07-01,29.434980623572034
2016-10-01,29.73386678760977
2017-01-01,31.368550042743692
2017-04-01,32.11217556546753
2017-07-01,32.83428282381062
2017-10-01,34.32180917726406
2018-01-01,35.31458461438486
2018-04-01,34.0856093152622
2018-07-01,35.17614183062075
2018-10-01,32.49747096399677
2019-01-01,31.799594778877392
2019-04-01,32.26609357948194
2019-07-01,32.04354504308435
2019-10-01,32.47896388348639
2020-01-01,31.58281493626558
2020-04-01,29.99100676904669
2020-07-01,33.47933712918052
2020-10-01,35.648845425972645
2021-01-01,38.24083291230502
2021-04-01,40.127496798563165
2021-07-01,41.16495643052503
2021-10-01,41.470337107938555
2022-01-01,38.60138719463027
2022-04-01,33.869488932871754
2022-07-01,31.77901663233506
2022-10-01,30.257029489858734
2023-01-01,30.755606050428966
2023-04-01,31.563455303978813
2023-07-01,32.81457340493858
2023-10-01,32.51719662963342
2024-01-01,35.57841740201227
2024-04-01,36.57393962116339
2024-07-01,38.069356626592004
2024-10-01,40.03223432980957
2025-01-01,39.06399499551205
2025-04-01,37.128434167406056
2025-07-01,40.69028711517962
2025-10-01,42.268318925635896
2026-01-01,42.68372008809359
