date,JRXWTFB_N.B,RXI$US_N.B.AL,RXI$US_N.B.EU,RXI$US_N.B.NZ,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CA,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.HK,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SZ,RXI_N.B.TA,V0.JRXWTFB_N.B,V0.JRXWTFN_N.B
1989-01-02,,,,,,,,,,,,,,,,,,,,,,,
1989-01-03,,0.868,,0.635,1.8225,,1.1907,3.7314,6.83,7.808,15.02,123.6,686.9,2.699,,6.5075,6.096,2.36,1.938,1.4973,,,88.4275
1989-01-04,,0.8698,,0.6365,1.807,,1.1921,3.7314,6.9122,7.809,15.08,125.05,686.4,2.709,,6.581,6.16,2.38,1.9415,1.5188,,,89.207
1989-01-05,,0.8679,,0.638,1.797,,1.1895,3.7314,6.9305,7.809,15.05,125.59,686.5,2.709,,6.593,6.18,2.38,1.9405,1.531,28.21,,89.4242
1989-01-06,,0.8625,,0.6365,1.78,,1.1952,3.7314,7.0025,7.8095,15.07,126.62,686.6,2.72,,6.645,6.23,2.38,1.941,1.549,28.2,,90.1556
1989-01-09,,0.8637,,0.635,1.7636,,1.197,3.7314,7.064,7.8095,15.1,126.45,686.7,2.733,,6.678,6.264,2.38,1.9435,1.5575,28.2,,90.4372
1989-01-10,,0.8664,,0.631,1.7637,,1.2009,3.7314,7.098,7.8075,15.07,126.3,686.8,2.728,,6.689,6.275,2.38,1.9415,1.5645,,,90.5708
1989-01-11,,0.8629,,0.632,1.781,,1.2008,3.7314,7.069,7.806,15.05,126.13,686.8,2.7285,,6.655,6.25,2.37,1.941,1.5552,27.81,,90.3397
1989-01-12,,0.8673,,0.632,1.784,,1.1967,3.7314,7.08,7.8065,15.06,126.17,686.5,2.721,,6.655,6.25,2.37,1.942,1.5562,27.75,,90.227
1989-01-13,,0.8665,,0.63,1.7787,,1.1988,3.7314,7.1,7.8065,15.04,126.7,685.8,2.724,,6.671,6.2695,2.37,1.942,1.5627,27.74,,90.5244
1989-01-16,,,,,,,,,,,,,,,,,,,,,,,
