date,Black,Hispanic,Other,White
1989-01-01,95.673164,104.28766,378.23831,533.32355
1992-01-01,99.800713,112.12122,410.12057,462.07791
1995-01-01,85.164276,119.1779,400.51733,488.52246
1998-01-01,116.84015,158.82045,398.72424,617.77368
2001-01-01,119.95673,148.09627,517.70502,818.56525
2004-01-01,176.49619,195.39589,457.457,884.57123
2007-01-01,192.39647,266.34305,564.98199,991.11847
2010-01-01,135.59186,158.19345,456.32108,886.60425
2013-01-01,126.0433,137.22011,474.56445,886.54083
2016-01-01,170.27434,236.09991,564.50439,1146.8344
2019-01-01,164.9894,191.896,761.13727,1136.658
2022-01-01,211.59647,227.54405,844.13184,1361.8055
