date,Buybacks,Dividends
1989-01-01,3.1277097966651137,1.908186758982032
1989-04-01,1.7481807897887256,1.8770546906055328
1989-07-01,2.561451285387328,1.9143285812235036
1989-10-01,1.38396937519716,1.7730954891889792
1990-01-01,1.1743829627968458,2.0383806360991303
1990-04-01,0.8091908293048287,1.9454103235756608
1990-07-01,1.2453957662661868,1.954492648188331
1990-10-01,1.012934296995387,1.998023892153073
1991-01-01,0.07728023929037386,1.9926007153392993
1991-04-01,-0.20310560283551354,2.061952758198242
1991-07-01,-0.309896797212089,2.028525265403113
1991-10-01,-0.7776468822930335,2.0670472213442648
1992-01-01,-0.7429709597614497,2.007731449220836
1992-04-01,-0.5558540777957716,2.0416757652845576
1992-07-01,-0.20333074398311102,2.037221160712151
1992-10-01,-0.2900848894960681,2.1467778648764226
1993-01-01,-0.21743204022789944,2.15360551271655
1993-04-01,-0.45986606723896334,2.1383654634003917
1993-07-01,-0.6940906682816781,2.1614629724831005
1993-10-01,-0.6317316101627977,2.244822946052447
1994-01-01,-0.052953685762035574,2.1344776276299067
1994-04-01,-0.18330518118635325,2.2040502386458485
1994-07-01,0.5165954515538308,2.1317337498252305
1994-10-01,1.5330326608442222,2.2000223197279567
1995-01-01,0.5743464522567532,2.223365786664139
1995-04-01,0.594380923775593,2.238610567976745
1995-07-01,0.9135865939965835,2.4091499227202475
1995-10-01,0.6258920776174107,2.4450549662621937
1996-01-01,0.8721392779382213,2.3759390010863615
1996-04-01,0.29578579929389853,2.3824575119135947
1996-07-01,0.9214148398407754,2.4849202007819553
1996-10-01,0.14523405067767617,2.540143062077629
1997-01-01,0.7978327457009765,2.4866624295752966
1997-04-01,0.9961937238997163,2.467300361258742
1997-07-01,0.8951816284368271,2.5047146871175827
1997-10-01,0.7988220728328511,2.6086290899504183
1998-01-01,0.5027925399933232,2.681086519114688
1998-04-01,1.0534132750719951,2.714037561349606
1998-07-01,2.6113964142690294,2.623215168087786
1998-10-01,4.993376903420716,2.6222104153102794
1999-01-01,0.5341871941699687,2.389934126546137
1999-04-01,3.3752772613662727,2.377640215783612
1999-07-01,0.8850966270402099,2.199733942448072
1999-10-01,-0.6915033470640753,2.3651818468957453
2000-01-01,-1.9672513359339,2.4326499255812157
2000-04-01,1.0480380025996026,2.5040399230267805
2000-07-01,-0.4547707853092095,2.554252621469031
2000-10-01,2.6816679289948087,2.317314414765253
2001-01-01,-0.5468456235588307,2.3074944573811216
2001-04-01,0.19594301349183885,2.1345504292857815
2001-07-01,0.7561412414771815,2.4294538036350186
2001-10-01,-0.27889965400195954,2.4047637696854687
2002-01-01,0.04406732507998331,2.334668706820606
2002-04-01,-0.4234229103941599,2.387866407775551
2002-07-01,0.7319711144533342,2.1913066594804826
2002-10-01,-0.08364196573807389,2.4087927848046453
2003-01-01,0.34025023337389426,2.149196595099269
2003-04-01,0.03238818870645782,2.9103934440083
2003-07-01,-0.1667550095883266,2.5588352186787744
2003-10-01,-0.11702111935593532,2.668550421270933
2004-01-01,-0.27965067484260214,2.815477772493139
2004-04-01,0.40291212240920055,2.685370824205604
2004-07-01,1.0001538360643907,2.6873201944494354
2004-10-01,1.0031919307836523,3.804197804875051
2005-01-01,1.2968457039342582,2.4982991686721827
2005-04-01,1.4202034009107725,1.9900862485235233
2005-07-01,2.0786079389516963,0.8534813624231719
2005-10-01,2.5775048175485757,0.11765806047400655
2006-01-01,2.9593592545421923,2.963455095755914
2006-04-01,2.6371033133276485,3.021982016987188
2006-07-01,3.112401937161919,3.5271187384049876
2006-10-01,3.355860155161558,4.154738467587303
2007-01-01,2.6263447238540114,3.338412008004417
2007-04-01,4.1379850496615695,3.311194867519849
2007-07-01,3.663387213931336,3.4366450091001055
2007-10-01,4.492187526545937,3.270772021421866
2008-01-01,2.8692272783710213,3.2540697205555786
2008-04-01,2.102315928458402,3.359740654006158
2008-07-01,2.751218387221853,3.338432333608452
2008-10-01,3.892112989347291,3.3492880612537785
2009-01-01,1.0260481292160393,3.2611267126614814
2009-04-01,-0.4873016477860457,2.7299809279258054
2009-07-01,-0.02059674928482356,2.0058506948842134
2009-10-01,1.9200820353268175,2.171371191630147
2010-01-01,1.1062940368895622,2.468185749572796
2010-04-01,0.9180923102926645,2.3454570979158946
2010-07-01,1.7794676615236413,2.639085798488892
2010-10-01,0.9518289132598546,2.6996028733580264
2011-01-01,1.0991275871826554,2.792589988905281
2011-04-01,2.4517759524819445,2.9007737020617466
2011-07-01,3.2416307081944415,3.005026943291274
2011-10-01,2.0439004311190723,3.112662152537716
2012-01-01,1.1319074442685688,3.036280544819605
2012-04-01,2.364689829127516,3.0105172944105107
2012-07-01,1.8112274113591798,3.0965821894132928
2012-10-01,1.5909947243124551,4.131459739242952
2013-01-01,0.5166447834055704,3.216277758499738
2013-04-01,1.7805581513958626,3.1064721337663856
2013-07-01,1.966374811414383,3.7165212974194985
2013-10-01,1.7622363027867756,2.9965183263233945
2014-01-01,2.2061040818275055,3.650055606150065
2014-04-01,0.9464504625622228,3.576252041555137
2014-07-01,1.713166108634421,3.3741985330675384
2014-10-01,1.8561106167519694,3.6315996596486646
2015-01-01,2.674516147979722,3.7142742151879626
2015-04-01,2.2371599139245846,3.6245614280781435
2015-07-01,3.3861355512822615,3.8315146715839132
2015-10-01,2.764026109488636,3.775795102580469
2016-01-01,2.6898510320640803,4.031581027525037
2016-04-01,2.683839236003224,3.997263316827085
2016-07-01,2.291241578267599,3.6580384561415693
2016-10-01,1.7468142887204452,3.8354469257486064
2017-01-01,1.660303969630008,3.954495219004232
