date,APERMITS,ASTARTS
2011-11-01,706.0,711.0
2011-12-01,697.0,694.0
2012-01-01,712.0,723.0
2012-02-01,738.0,704.0
2012-03-01,806.0,695.0
2012-04-01,732.0,753.0
2012-05-01,796.0,708.0
2012-06-01,794.0,757.0
2012-07-01,849.0,740.0
2012-08-01,840.0,754.0
2012-09-01,930.0,847.0
2012-10-01,887.0,915.0
2012-11-01,917.0,833.0
2012-12-01,941.0,976.0
2013-01-01,940.0,888.0
2013-02-01,980.0,962.0
2013-03-01,936.0,1010.0
2013-04-01,1012.0,835.0
2013-05-01,1003.0,930.0
2013-06-01,942.0,839.0
2013-07-01,997.0,880.0
2013-08-01,964.0,917.0
2013-09-01,1004.0,850.0
2013-10-01,1044.0,925.0
2013-11-01,1029.0,1100.0
2013-12-01,1005.0,1002.0
2014-01-01,976.0,888.0
2014-02-01,1039.0,944.0
2014-03-01,1067.0,970.0
2014-04-01,1090.0,1043.0
2014-05-01,1018.0,1007.0
2014-06-01,1010.0,911.0
2014-07-01,1076.0,1085.0
2014-08-01,1047.0,984.0
2014-09-01,1077.0,1023.0
2014-10-01,1094.0,1074.0
2014-11-01,1059.0,1001.0
2014-12-01,1072.0,1073.0
2015-01-01,1049.0,1085.0
2015-02-01,1127.0,886.0
2015-03-01,1072.0,960.0
2015-04-01,1166.0,1190.0
2015-05-01,1272.0,1079.0
2015-06-01,1379.0,1205.0
2015-07-01,1140.0,1146.0
2015-08-01,1165.0,1130.0
2015-09-01,1144.0,1224.0
2015-10-01,1160.0,1058.0
2015-11-01,1244.0,1172.0
2015-12-01,1212.0,1146.0
2016-01-01,1161.0,1092.0
2016-02-01,1187.0,1225.0
2016-03-01,1114.0,1111.0
2016-04-01,1158.0,1163.0
2016-05-01,1196.0,1148.0
2016-06-01,1208.0,1203.0
2016-07-01,1190.0,1239.0
2016-08-01,1205.0,1171.0
2016-09-01,1280.0,1068.0
2016-10-01,1278.0,1313.0
2016-11-01,1236.0,1140.0
2016-12-01,1252.0,1252.0
2017-01-01,1301.0,1193.0
2017-02-01,1240.0,1281.0
2017-03-01,1285.0,1190.0
2017-04-01,1258.0,1145.0
2017-05-01,1209.0,1160.0
2017-06-01,1329.0,1247.0
2017-07-01,1264.0,1202.0
2017-08-01,1314.0,1159.0
2017-09-01,1257.0,1175.0
2017-10-01,1346.0,1248.0
2017-11-01,1302.0,1278.0
2017-12-01,1309.0,1182.0
2018-01-01,1352.0,1309.0
2018-02-01,1332.0,1289.0
2018-03-01,1407.0,1327.0
2018-04-01,1391.0,1285.0
2018-05-01,1331.0,1354.0
2018-06-01,1320.0,1199.0
2018-07-01,1328.0,1193.0
2018-08-01,1264.0,1288.0
2018-09-01,1289.0,1238.0
2018-10-01,1275.0,1208.0
2018-11-01,1318.0,1183.0
2018-12-01,1338.0,1095.0
2019-01-01,1295.0,1244.0
2019-02-01,1304.0,1142.0
2019-03-01,1316.0,1203.0
2019-04-01,1337.0,1282.0
2019-05-01,1337.0,1303.0
2019-06-01,1276.0,1237.0
2019-07-01,1369.0,1224.0
2019-08-01,1479.0,1371.0
2019-09-01,1439.0,1285.0
2019-10-01,1509.0,1318.0
2019-11-01,1509.0,1350.0
2019-12-01,1453.0,1547.0
2020-01-01,1550.0,1589.0
2020-02-01,1478.0,1589.0
2020-03-01,1382.0,1277.0
2020-04-01,1094.0,938.0
2020-05-01,1246.0,1046.0
2020-06-01,1296.0,1273.0
2020-07-01,1542.0,1497.0
2020-08-01,1522.0,1376.0
2020-09-01,1589.0,1448.0
2020-10-01,1595.0,1514.0
2020-11-01,1696.0,1551.0
2020-12-01,1758.0,1661.0
2021-01-01,1883.0,1625.0
2021-02-01,1726.0,1447.0
2021-03-01,1755.0,1725.0
2021-04-01,1733.0,1517.0
2021-05-01,1683.0,1572.0
