date,APERMITS,ASTARTS
1989-01-01,1466.0,1621.0
1989-02-01,1383.0,1425.0
1989-03-01,1214.0,1422.0
1989-04-01,1376.0,1339.0
1989-05-01,1381.0,1331.0
1989-06-01,1322.0,1397.0
1989-07-01,1283.0,1427.0
1989-08-01,1334.0,1332.0
1989-09-01,1314.0,1279.0
1989-10-01,1365.0,1410.0
1989-11-01,1344.0,1351.0
1989-12-01,1422.0,1251.0
1990-01-01,1748.0,1551.0
1990-02-01,1329.0,1437.0
1990-03-01,1246.0,1289.0
1990-04-01,1136.0,1248.0
1990-05-01,1067.0,1212.0
1990-06-01,1108.0,1177.0
1990-07-01,1078.0,1171.0
1990-08-01,1069.0,1115.0
1990-09-01,976.0,1110.0
1990-10-01,925.0,1014.0
1990-11-01,941.0,1145.0
1990-12-01,861.0,969.0
1991-01-01,786.0,798.0
1991-02-01,853.0,965.0
1991-03-01,911.0,921.0
1991-04-01,916.0,1001.0
1991-05-01,991.0,996.0
1991-06-01,964.0,1036.0
1991-07-01,973.0,1063.0
1991-08-01,944.0,1049.0
1991-09-01,974.0,1015.0
1991-10-01,991.0,1079.0
1991-11-01,984.0,1103.0
1991-12-01,1061.0,1079.0
1992-01-01,1077.0,1176.0
1992-02-01,1146.0,1250.0
1992-03-01,1082.0,1297.0
1992-04-01,1054.0,1099.0
1992-05-01,1056.0,1214.0
1992-06-01,1057.0,1145.0
1992-07-01,1089.0,1139.0
1992-08-01,1075.0,1226.0
1992-09-01,1114.0,1186.0
1992-10-01,1132.0,1244.0
1992-11-01,1118.0,1214.0
1992-12-01,1176.0,1227.0
1993-01-01,1177.0,1210.0
1993-02-01,1148.0,1210.0
1993-03-01,1056.0,1083.0
1993-04-01,1104.0,1258.0
1993-05-01,1112.0,1260.0
1993-06-01,1130.0,1280.0
1993-07-01,1174.0,1254.0
1993-08-01,1230.0,1300.0
1993-09-01,1251.0,1343.0
1993-10-01,1287.0,1392.0
1993-11-01,1357.0,1376.0
1993-12-01,1461.0,1533.0
1994-01-01,1390.0,1272.0
1994-02-01,1269.0,1337.0
1994-03-01,1342.0,1564.0
1994-04-01,1392.0,1465.0
1994-05-01,1396.0,1526.0
1994-06-01,1357.0,1409.0
1994-07-01,1335.0,1439.0
1994-08-01,1377.0,1450.0
1994-09-01,1412.0,1474.0
1994-10-01,1397.0,1450.0
1994-11-01,1340.0,1511.0
1994-12-01,1396.0,1455.0
1995-01-01,1282.0,1407.0
1995-02-01,1254.0,1316.0
1995-03-01,1226.0,1249.0
1995-04-01,1259.0,1267.0
1995-05-01,1271.0,1314.0
1995-06-01,1305.0,1281.0
1995-07-01,1354.0,1461.0
1995-08-01,1386.0,1416.0
1995-09-01,1421.0,1369.0
1995-10-01,1400.0,1369.0
1995-11-01,1430.0,1452.0
1995-12-01,1442.0,1431.0
1996-01-01,1387.0,1467.0
1996-02-01,1420.0,1491.0
1996-03-01,1437.0,1424.0
1996-04-01,1463.0,1516.0
1996-05-01,1457.0,1504.0
1996-06-01,1429.0,1467.0
1996-07-01,1450.0,1472.0
1996-08-01,1413.0,1557.0
1996-09-01,1392.0,1475.0
1996-10-01,1358.0,1392.0
1996-11-01,1412.0,1489.0
1996-12-01,1411.0,1370.0
1997-01-01,1382.0,1355.0
1997-02-01,1445.0,1486.0
1997-03-01,1436.0,1457.0
1997-04-01,1421.0,1492.0
1997-05-01,1414.0,1442.0
1997-06-01,1402.0,1494.0
1997-07-01,1440.0,1437.0
1997-08-01,1449.0,1390.0
1997-09-01,1494.0,1546.0
1997-10-01,1499.0,1520.0
1997-11-01,1469.0,1510.0
1997-12-01,1456.0,1566.0
1998-01-01,1555.0,1525.0
1998-02-01,1647.0,1584.0
1998-03-01,1605.0,1567.0
1998-04-01,1547.0,1540.0
1998-05-01,1554.0,1536.0
1998-06-01,1551.0,1641.0
1998-07-01,1610.0,1698.0
1998-08-01,1654.0,1614.0
1998-09-01,1577.0,1582.0
1998-10-01,1719.0,1715.0
1998-11-01,1672.0,1660.0
1998-12-01,1742.0,1792.0
1999-01-01,1732.0,1748.0
1999-02-01,1720.0,1670.0
1999-03-01,1665.0,1710.0
1999-04-01,1600.0,1553.0
1999-05-01,1640.0,1611.0
1999-06-01,1702.0,1559.0
1999-07-01,1682.0,1669.0
1999-08-01,1671.0,1648.0
1999-09-01,1551.0,1635.0
1999-10-01,1649.0,1608.0
1999-11-01,1672.0,1648.0
1999-12-01,1683.0,1708.0
2000-01-01,1727.0,1636.0
2000-02-01,1692.0,1737.0
2000-03-01,1651.0,1604.0
2000-04-01,1597.0,1626.0
2000-05-01,1543.0,1575.0
2000-06-01,1572.0,1559.0
2000-07-01,1542.0,1463.0
2000-08-01,1552.0,1541.0
2000-09-01,1570.0,1507.0
2000-10-01,1577.0,1549.0
2000-11-01,1614.0,1551.0
2000-12-01,1543.0,1532.0
2001-01-01,1699.0,1600.0
2001-02-01,1656.0,1625.0
2001-03-01,1659.0,1590.0
2001-04-01,1666.0,1649.0
2001-05-01,1665.0,1605.0
2001-06-01,1626.0,1636.0
2001-07-01,1598.0,1670.0
2001-08-01,1615.0,1567.0
2001-09-01,1565.0,1562.0
2001-10-01,1566.0,1540.0
2001-11-01,1651.0,1602.0
2001-12-01,1680.0,1568.0
2002-01-01,1665.0,1698.0
2002-02-01,1787.0,1829.0
2002-03-01,1691.0,1642.0
2002-04-01,1669.0,1592.0
2002-05-01,1716.0,1764.0
2002-06-01,1758.0,1717.0
2002-07-01,1738.0,1655.0
2002-08-01,1695.0,1633.0
2002-09-01,1803.0,1804.0
2002-10-01,1799.0,1648.0
2002-11-01,1771.0,1753.0
2002-12-01,1896.0,1788.0
2003-01-01,1808.0,1853.0
2003-02-01,1854.0,1629.0
2003-03-01,1757.0,1726.0
2003-04-01,1803.0,1643.0
2003-05-01,1835.0,1751.0
2003-06-01,1875.0,1867.0
2003-07-01,1885.0,1897.0
2003-08-01,1966.0,1833.0
2003-09-01,1961.0,1939.0
2003-10-01,2012.0,1967.0
2003-11-01,1918.0,2083.0
2003-12-01,1987.0,2057.0
2004-01-01,1952.0,1911.0
2004-02-01,1966.0,1846.0
2004-03-01,2066.0,1998.0
2004-04-01,2070.0,2003.0
2004-05-01,2150.0,1981.0
2004-06-01,2020.0,1828.0
2004-07-01,2112.0,2002.0
2004-08-01,2056.0,2024.0
2004-09-01,2041.0,1905.0
2004-10-01,2097.0,2072.0
2004-11-01,2079.0,1782.0
2004-12-01,2082.0,2042.0
2005-01-01,2139.0,2144.0
2005-02-01,2114.0,2207.0
2005-03-01,2062.0,1864.0
2005-04-01,2150.0,2061.0
2005-05-01,2085.0,2025.0
2005-06-01,2178.0,2068.0
2005-07-01,2203.0,2054.0
2005-08-01,2219.0,2095.0
2005-09-01,2263.0,2151.0
2005-10-01,2170.0,2065.0
2005-11-01,2218.0,2147.0
2005-12-01,2120.0,1994.0
2006-01-01,2212.0,2273.0
2006-02-01,2141.0,2119.0
2006-03-01,2118.0,1969.0
2006-04-01,1998.0,1821.0
2006-05-01,1905.0,1942.0
2006-06-01,1867.0,1802.0
2006-07-01,1763.0,1737.0
2006-08-01,1722.0,1650.0
2006-09-01,1655.0,1720.0
2006-10-01,1570.0,1491.0
2006-11-01,1535.0,1570.0
2006-12-01,1638.0,1649.0
2007-01-01,1626.0,1409.0
2007-02-01,1598.0,1480.0
2007-03-01,1596.0,1495.0
2007-04-01,1470.0,1490.0
2007-05-01,1493.0,1415.0
2007-06-01,1407.0,1448.0
2007-07-01,1361.0,1354.0
2007-08-01,1321.0,1330.0
2007-09-01,1261.0,1183.0
2007-10-01,1192.0,1264.0
2007-11-01,1224.0,1197.0
2007-12-01,1149.0,1037.0
2008-01-01,1094.0,1084.0
2008-02-01,1014.0,1103.0
2008-03-01,967.0,1005.0
2008-04-01,1008.0,1013.0
2008-05-01,995.0,973.0
2008-06-01,1180.0,1046.0
2008-07-01,921.0,923.0
2008-08-01,858.0,844.0
2008-09-01,797.0,820.0
2008-10-01,736.0,777.0
2008-11-01,626.0,652.0
2008-12-01,554.0,560.0
2009-01-01,545.0,490.0
2009-02-01,558.0,582.0
2009-03-01,513.0,505.0
2009-04-01,521.0,478.0
2009-05-01,556.0,540.0
2009-06-01,601.0,585.0
2009-07-01,595.0,594.0
2009-08-01,616.0,586.0
2009-09-01,609.0,585.0
2009-10-01,583.0,534.0
2009-11-01,623.0,588.0
2009-12-01,664.0,581.0
2010-01-01,636.0,614.0
2010-02-01,650.0,604.0
2010-03-01,687.0,636.0
2010-04-01,637.0,687.0
2010-05-01,575.0,583.0
2010-06-01,587.0,536.0
2010-07-01,579.0,546.0
2010-08-01,580.0,599.0
2010-09-01,563.0,594.0
2010-10-01,558.0,543.0
2010-11-01,560.0,545.0
2010-12-01,632.0,539.0
2011-01-01,576.0,630.0
2011-02-01,542.0,517.0
2011-03-01,583.0,600.0
2011-04-01,581.0,554.0
2011-05-01,618.0,561.0
2011-06-01,636.0,608.0
2011-07-01,621.0,623.0
2011-08-01,647.0,585.0
2011-09-01,610.0,650.0
2011-10-01,671.0,610.0
