GeoName,LineCode,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,,,,,,
United States,1,14767846,14839707,14956291,15041232,15244088,15281525,15304517,15433643,15478956,15577779,15671605,15767146,15702906,15792773,15709562,15366607,15187475,15161772,15216647,15379155,15456059,15605628,15726282,15807995,15769911,15876839,15870684,16048702,16179968,16253726,16282151,16300035,16441485,16464402,16594743,16712760,16654247,16868109,17064616,17141235,17280647,17380875,17437080,17462579,17565465,17618581,17724489,17812560,17889094,17979218,18127994,18310300,18437127,18565697,18699748,18733741,18835411,18962175,19130932,19215691,18989877,17378712,18743720,18924262,19216224,19544248,19672594,20006181,19924088,19895271,20054663,20182491,20282760,,,,,,
United States,2,12813436,12910547,13018370,13096454,13315764,13353396,13361148,13460796,13489126,13574257,13654031,13740994,13661642,13723940,13624997,13294904,13129294,13090252,13134368,13264319,13310972,13470098,13588774,13686872,13628520,13723094,13719853,13919712,14037683,14102377,14116471,14121404,14244449,14262490,14398079,14532963,14471371,14677291,14877151,14954811,15098293,15187088,15240506,15265313,15363269,15410909,15506892,15592587,15659958,15744948,15884993,16057483,16177587,16299135,16429231,16465458,16584847,16692520,16849121,16906688,16672629,15135080,16468243,16648364,16949010,17258845,17361734,17694090,17603330,17575000,17730602,17846741,17931449,,,,,,
United States,3,190386,196277,197403,200407,197846,212492,197844,189401,189755,177613,170255,171933,180640,175934,169349,184348,194914,191358,205503,197752,187802,195307,194028,189262,188926,178503,180068,189607,185840,182935,175287,170694,194873,210338,215002,209831,207302,208968,208718,209304,218370,217840,224165,227067,237090,233977,235031,232112,237792,232576,224410,223888,230527,239289,235719,239143,223426,224642,221718,219266,240376,211346,230888,231624,214928,208220,205702,207960,208004,201008,200128,200961,219352,,,,,,
United States,6,263276,262919,246421,241359,282214,285422,292665,311099,316665,325545,318818,302558,285808,275220,291155,371220,387436,353864,338560,319131,301166,309960,310457,318075,309213,312400,323753,343658,349167,364590,361208,367128,364694,368750,374371,388269,378463,399874,424797,454865,479258,430468,445689,449518,479708,417951,406713,404536,409111,432743,447672,444157,429181,440098,437253,448152,477653,488393,506178,502998,533859,480148,475512,463820,452572,408840,394088,380204,366407,366245,388792,407802,409706,,,,,,
United States,10,218374,217644,221023,221739,220888,238651,240958,235275,232729,241454,239046,242984,245703,263974,264880,230613,226473,231152,238364,251142,265414,263084,266693,270229,262063,279247,274467,291991,276628,284770,283229,277973,285239,278399,275910,269082,259826,264434,270777,270120,252273,267485,273084,272708,276014,278584,284809,283527,279412,284355,282011,288547,282362,290288,278913,278952,274032,287489,279578,294152,294649,295205,297596,289154,282954,288820,281388,275649,281110,281820,269797,271018,268310,,,,,,
United States,11,794305,787879,782435,776930,792196,778045,764338,744000,748872,759688,750870,726452,691857,683905,676657,641108,587939,576785,583177,559781,544603,554387,549209,545147,533177,541496,542284,542828,555558,552739,550236,561235,565408,565147,573033,569465,570269,578982,578949,588116,593533,605181,609054,612595,625575,622595,627767,636674,648034,644920,647257,660209,666902,661907,665808,664227,673838,674121,676519,672740,665925,611491,649970,666019,675597,682357,661019,638050,635481,602423,573533,568360,570142,,,,,,
United States,12,1865614,1870296,1887031,1929284,1990206,1988388,1986666,2021877,2007889,2046563,2083128,2121086,2050529,2091466,2037992,1908602,1800841,1805407,1827791,1893531,1913980,1925917,1947392,1957588,1942130,1955730,1932515,1954666,1965849,1949346,1917095,1906339,1971479,1978076,2005935,2011062,1982854,2023018,2044377,2044473,2059912,2050316,2049059,2025707,2035148,2037470,2049310,2039076,2060763,2097638,2111084,2157090,2171349,2187232,2199614,2223159,2199633,2224281,2254384,2245156,2194313,1943233,2188490,2191817,2239758,2274118,2248638,2324496,2306446,2255971,2258621,2283424,2252275,,,,,,
United States,13,865602,870395,887417,918085,947453,951927,950776,965743,965657,989784,1018588,1022667,1015648,1026715,1020601,955058,866113,841922,846545,878331,906900,956241,993576,1018673,1020675,1029378,1033895,1058554,1063199,1066810,1061707,1069132,1088103,1082394,1093302,1097509,1081116,1099341,1125194,1121455,1125215,1123223,1126739,1120837,1124960,1118920,1128944,1131191,1144166,1157353,1178018,1205895,1218805,1222043,1228008,1239736,1238064,1239044,1237968,1231524,1210709,1054816,1220893,1235539,1276358,1302520,1276806,1324485,1328383,1314418,1312757,1336841,1316261,,,,,,
United States,25,1030029,1028516,1023682,1030776,1062911,1054417,1054017,1075388,1058608,1071371,1075414,1114670,1041488,1074275,1021508,957612,947144,982861,1002380,1036567,1023760,977575,957534,940415,922452,927590,899368,896533,902924,882379,855182,837306,883248,895690,912827,913705,901880,923921,919113,923026,934885,927060,922191,904671,909992,918643,920139,907132,915905,939945,932389,950535,951961,964550,970924,982687,960647,984339,1015952,1013283,983035,889247,966455,954943,962742,971706,971636,1000198,979514,944866,948735,950674,939728,,,,,,
United States,34,938709,945691,953394,973709,979111,977540,981612,988794,988554,1017312,1018182,1033386,1033006,1033296,1023884,977020,908951,874981,874701,910971,905570,938399,967568,968298,964727,954544,950533,996826,981422,1006179,1010850,1002698,1014161,1009410,1024154,1036337,1025274,1046960,1082681,1087582,1100186,1111549,1112459,1099205,1082761,1088812,1100806,1095214,1095124,1090913,1095154,1102456,1110599,1100556,1111229,1106798,1113369,1091423,1099986,1104287,1121182,1024374,1129194,1133795,1157032,1172616,1152481,1171096,1171726,1151340,1168415,1177668,1172626,,,,,,
