Real Value Added by Industry,,,,,,,,,
Real Value Added by Industry,,,,,,,,,
"Last Revised on: March 27, 2025",,,,,,,,,
Line,,1997,1998,1999,2000,2001,2002,2003,2004
Line,,,,,,,,,
1,        Gross domestic product,12370.3,12924.9,13543.8,14096,14230.7,14472.7,14877.3,15449.8
2,Private industries,10332.4,10849.3,11426.9,11928.9,12041.5,12245.1,12616.7,13159.9
3,"    Agriculture, forestry, fishing, and hunting",113.2,111.7,114.4,129.9,127.1,131.3,141.5,153.4
4,        Farms,88.6,86.7,88.2,103,97.2,101.1,109.7,121.5
5,"        Forestry, fishing, and related activities",25.3,25.9,27.1,28,31.2,31.4,32.9,32.5
6,    Mining,170.6,179.4,173.2,151.3,175.8,181.2,159.5,159.8
7,        Oil and gas extraction,102.6,105,94.7,68.1,80,92.4,73.6,72.4
8,"        Mining, except oil and gas",62.4,72.7,77.2,75.9,73.6,67.7,69.5,67.4
9,        Support activities for mining,15.3,14.4,13.9,18.9,28.5,22.1,24,27.8
10,    Utilities,248,236.9,276.4,280.8,233.9,239.5,236.5,251.2
11,    Construction,816.5,854,890.1,925.4,909.4,878.5,896.7,930.3
12,    Manufacturing,1379,1444.3,1531.7,1641.1,1586.1,1602.6,1702.8,1824.3
13,        Durable goods,573.5,626.3,675.3,754.8,714.4,732,792.2,848.7
14,            Wood products,31.2,31.6,31.1,31.7,30.6,30.9,31,30.3
15,            Nonmetallic mineral products,58.9,58.5,59.6,59.6,58.4,57.5,59.8,64.1
16,            Primary metals,40.8,44,47.1,47.9,45.5,46.5,45.1,48.5
17,            Fabricated metal products,158.5,154.5,155.3,164.9,147.1,140.6,147.1,153.1
18,            Machinery,135.6,146.3,138.4,142,128.5,119.9,119.8,134.4
19,            Computer and electronic products,22.1,28.9,36.8,55.6,55.1,61.8,80.6,94.1
20,"            Electrical equipment, appliances, and components",56.5,47.4,52.1,54.5,52.1,52,56.1,52.5
21,"            Motor vehicles, bodies and trailers, and parts",86.2,95.9,102.1,105,95.7,107.8,118.1,121.9
22,            Other transportation equipment,101.6,107.4,115.1,105.8,108.7,101.3,96.1,98.3
23,            Furniture and related products,38.1,38.8,40.7,42.3,38.2,37.3,36.6,39.2
24,            Miscellaneous manufacturing,55.7,57.6,59.7,62.4,59.1,61.8,63.4,67
25,        Nondurable goods,893.4,879.4,910.2,916.8,912.2,905.1,938.5,1005.5
26,            Food and beverage and tobacco products,237.4,233.6,235.6,231.2,235.3,221.8,231.7,237
27,            Textile mills and textile product mills,26.3,26,27.3,28.6,25.4,24.7,20.6,25.5
28,            Apparel and leather and allied products,23.1,21,19.6,20,18.1,17,15,14.6
29,            Paper products,82.2,76.9,81.2,76.5,66.8,68.5,67.5,72.1
30,            Printing and related support activities,35.7,36.2,36.8,38.3,38.7,40.4,40.9,41.9
31,            Petroleum and coal products,97.8,106.6,102.3,102.8,123.9,107.7,143.8,164.4
32,            Chemical products,298,287.9,307.3,313,312.1,333.1,334.3,361.9
33,            Plastics and rubber products,63.5,64.7,70.8,75.3,70.6,69.6,72.5,78.4
34,    Wholesale trade,715.7,784,809.7,851.9,866.2,876,924.3,965.8
35,    Retail trade,698,764.6,791.6,816.2,846.5,887.2,933.5,948.6
36,        Motor vehicle and parts dealers,127.1,132.9,140.7,143.1,140.6,142.2,144.2,146.6
37,        Food and beverage stores,186,197.4,195.7,194.4,197,195.6,194.4,188.6
38,        General merchandise stores,73.9,80,83.7,89.3,94.1,109,122.3,127.7
39,        Other retail,337.4,381.3,395.3,410.6,435.8,457.7,488.1,498.6
40,    Transportation and warehousing,441.1,464.1,468.3,466.6,436.7,420.3,436.4,473.3
41,        Air transportation,108.6,104.8,102.9,83.7,57.3,58,62.6,74.4
42,        Rail transportation,36.9,39.1,40.9,43.3,42.1,37.9,41.3,43.6
43,        Water transportation,7.9,7.2,5.9,6.4,6.1,4.5,4.4,5.2
44,        Truck transportation,126.3,131.6,138.2,142.6,135.8,131.8,134.5,140.1
45,        Transit and ground passenger transportation,29.3,30.2,33.9,35.3,35,34.5,35.7,36.5
46,        Pipeline transportation,11.2,17.9,20.1,18,30.6,18.7,19.5,19.5
47,        Other transportation and support activities,111.1,118.7,113.3,122.3,123.2,125.7,127.2,135.7
48,        Warehousing and storage,22,25.7,24.9,26.5,25.2,25.5,27.4,32.1
49,    Information,290.4,323.6,363.5,357.2,381.3,418.3,433.9,486.7
50,"        Publishing industries, except internet (includes software)",77.8,87.7,111.2,90.6,88,103.6,113,129.3
51,        Motion picture and sound recording industries,34.4,41.9,51,45.2,53.5,59.1,56.7,61.3
52,        Broadcasting and telecommunications,144.2,156.5,170,189.1,195,195.8,202.2,223.3
53,"        Data processing, internet publishing, and other information services",30.9,35.3,29.3,25.2,40.4,59.3,61.4,73.1
54,"    Finance, insurance, real estate, rental, and leasing",2465.3,2574.1,2739.3,2881.8,3028.7,3043.7,3068,3128.1
55,        Finance and insurance,883.7,975.8,1064.3,1163,1222,1208.9,1190.7,1201.2
56,"            Federal Reserve banks, credit intermediation, and related activities",394.9,456.6,542.8,545.5,539.4,600.8,580.4,539.6
57,"            Securities, commodity contracts, and investments",185.7,188.9,202.7,255.1,371.5,316.7,283,285.2
58,            Insurance carriers and related activities,281.1,304.4,301.1,349.3,327,305.2,327.2,365.3
59,"            Funds, trusts, and other financial vehicles",5.7,8.5,9.6,6.5,6.5,5.9,5.8,6.3
60,        Real estate and rental and leasing,1575.1,1592.5,1670.2,1717.9,1805.7,1831.5,1871.1,1919.5
61,            Real estate,1441.7,1440.1,1502.3,1548.7,1618.3,1650.1,1698.7,1757.6
62,                Housing,1320.2,1345.4,1387.4,1431.2,1481.4,1480.2,1496.9,1552.5
63,                Other real estate,157.4,141.8,157.2,161.5,177.4,199.7,222.7,228
64,            Rental and leasing services and lessors of intangible assets,134,150.2,164.6,166.4,183.3,178,169.9,160.7
65,    Professional and business services,1291,1352.4,1417.9,1500.2,1546.5,1562.8,1613.6,1655.6
66,"        Professional, scientific, and technical services",737,778.5,823.2,866.8,896.3,917,931.8,965.6
67,            Legal services,256.3,266.3,274.7,282.8,290.9,291.8,303,306.7
68,            Computer systems design and related services,49,59.7,68.2,74.1,77.6,75.4,84.3,95.1
69,"            Miscellaneous professional, scientific, and technical services",503.9,516.7,539.4,567.1,585.5,611,601.8,615.9
70,        Management of companies and enterprises,246.6,252.5,253.2,267.1,278.7,275.7,285.9,269.9
71,        Administrative and waste management services,316.5,329.6,347.7,372.9,378.8,376.6,402.6,423.7
