,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
    Gross domestic product,"12,767,286","12,922,656","13,142,642","13,324,204","13,599,160","13,753,424","13,870,188","14,039,560","14,215,651","14,402,082","14,564,117","14,715,058","14,706,538","14,865,701","14,898,999","14,608,208","14,430,901","14,381,236","14,448,882","14,651,248","14,764,611","14,980,193","15,141,605","15,309,471","15,351,444","15,557,535","15,647,681","15,842,267","16,068,824","16,207,130","16,319,540","16,420,386","16,629,050","16,699,551","16,911,068","17,133,114","17,144,281","17,462,703","17,743,227","17,852,540","17,991,348","18,193,707","18,306,960","18,332,079","18,425,306","18,611,617","18,775,459","18,968,041","19,148,194","19,304,506","19,561,896","19,894,750","20,155,486","20,470,197","20,687,278","20,819,269","21,013,085","21,272,448","21,531,839","21,706,532","21,538,032","19,636,731","21,362,428","21,704,706","22,313,850","23,046,934","23,550,420","24,349,121","24,740,480","25,248,476","25,723,941","26,137,992","26,529,774"
Private industries,"11,083,770","11,222,496","11,423,685","11,585,763","11,840,232","11,974,677","12,066,917","12,212,519","12,361,202","12,528,213","12,665,868","12,793,370","12,758,362","12,897,134","12,905,095","12,592,432","12,411,057","12,341,084","12,397,079","12,582,834","12,677,794","12,869,379","13,027,822","13,189,025","13,222,121","13,417,010","13,505,235","13,706,320","13,920,138","14,056,091","14,158,509","14,243,187","14,434,626","14,492,078","14,696,010","14,900,035","14,896,854","15,201,997","15,464,589","15,553,839","15,673,388","15,859,287","15,958,805","15,974,841","16,060,307","16,234,827","16,383,681","16,564,834","16,730,594","16,872,946","17,108,398","17,414,850","17,645,963","17,933,657","18,125,465","18,245,085","18,432,334","18,675,663","18,901,737","19,040,348","18,822,568","16,979,280","18,659,118","18,979,774","19,562,668","20,258,677","20,706,948","21,480,508","21,837,496","22,313,723","22,743,716","23,114,476","23,457,800"
"  Agriculture, forestry, fishing, and hunting","131,042","131,608","129,501","125,656","121,065","124,642","128,546","131,177","145,057","140,817","142,463","153,675","157,067","153,052","139,815","133,919","123,476","123,806","128,247","140,670","134,684","140,350","148,106","156,579","181,475","173,407","181,364","180,376","181,649","177,809","174,926","180,336","217,344","223,558","220,880","195,356","195,311","210,971","194,570","194,795","179,718","179,707","183,297","177,830","170,356","170,342","165,488","157,207","180,896","178,554","169,840","172,445","177,032","181,441","169,419","169,874","156,320","155,974","160,755","164,924","177,606","132,405","159,031","179,814","173,305","212,144","221,682","219,138","264,880","291,858","296,285","302,608","301,183"
    Farms,"107,505","108,079","105,689","101,032","94,152","96,046","98,209","101,575","116,438","112,031","114,212","125,691","129,535","125,098","111,635","106,462","96,411","97,312","101,501","113,579","106,989","111,477","119,057","127,395","152,850","145,114","152,440","151,214","151,117","147,030","144,261","149,494","186,777","192,797","189,749","163,723","163,318","178,504","161,281","160,889","145,315","145,434","147,466","142,693","133,852","134,526","129,965","121,227","144,655","142,353","133,293","135,240","138,755","142,862","130,729","131,065","117,575","116,553","120,928","124,284","135,470","94,304","117,108","136,047","131,624","171,885","179,744","175,570","220,456","247,880","250,231","255,402","253,254"
"    Forestry, fishing, and related activities","23,537","23,529","23,812","24,624","26,913","28,597","30,337","29,602","28,619","28,786","28,251","27,984","27,532","27,955","28,181","27,457","27,064","26,494","26,746","27,092","27,694","28,873","29,050","29,182","28,625","28,293","28,924","29,162","30,534","30,780","30,665","30,840","30,563","30,756","31,131","31,643","32,001","32,471","33,288","33,898","34,403","34,273","35,831","35,129","36,502","35,817","35,524","35,981","36,240","36,202","36,546","37,205","38,277","38,579","38,690","38,809","38,744","39,421","39,828","40,641","42,136","38,101","41,923","43,766","41,682","40,258","41,938","43,568","44,425","43,977","46,054","47,206","47,929"
  Mining,"196,404","210,098","232,518","262,645","267,868","272,625","276,998","275,090","282,428","315,248","319,225","339,586","358,168","427,468","431,661","352,764","289,342","262,291","265,139","284,942","306,906","296,778","300,961","320,774","335,908","363,219","359,225","372,787","371,237","355,551","351,502","363,805","370,962","384,081","402,697","393,274","412,701","435,832","432,217","387,426","290,419","279,216","251,444","225,714","196,779","211,885","222,767","240,887","261,010","268,065","272,807","299,704","308,078","322,567","331,543","324,038","305,706","308,686","291,336","289,004","246,406","139,449","193,578","224,812","283,270","310,835","342,263","399,370","432,565","538,673","520,132","442,660","389,990"
    Oil and gas extraction,"133,034","143,536","160,443","186,144","180,881","179,339","180,536","174,215","180,842","206,230","206,286","230,508","245,529","306,984","306,210","228,311","173,584","164,549","167,262","184,895","201,269","182,222","179,977","193,016","204,684","225,128","217,732","228,552","231,331","217,759","218,932","231,651","240,509","254,316","268,912","260,219","278,281","294,561","290,130","251,963","172,070","172,103","153,074","135,242","116,031","135,066","144,182","158,982","171,025","168,621","169,641","191,621","196,201","204,555","216,596","208,625","190,192","193,653","182,307","185,400","144,041","53,990","107,917","137,824","193,512","216,901","246,720","299,729","325,092","426,816","405,799","327,157","266,559"
"    Mining, except oil and gas","39,752","42,045","44,081","45,504","49,213","51,555","52,305","54,124","54,211","59,606","61,530","56,707","58,048","61,225","63,692","62,389","63,906","57,912","61,327","62,883","64,342","68,481","70,808","74,985","76,042","78,168","77,226","75,441","70,742","67,119","64,436","65,648","63,226","60,337","63,561","62,231","59,710","60,735","59,521","55,443","53,170","50,828","48,706","47,369","45,308","46,312","48,151","49,861","53,288","56,966","57,403","59,595","59,974","61,074","57,972","58,119","56,852","57,789","57,399","57,086","57,293","53,643","57,235","58,143","60,355","61,439","61,095","62,076","67,146","68,929","69,715","69,830","74,392"
    Support activities for mining,"23,618","24,518","27,993","30,997","37,775","41,731","44,157","46,751","47,375","49,412","51,408","52,371","54,591","59,260","61,759","62,064","51,852","39,831","36,550","37,164","41,296","46,075","50,177","52,772","55,182","59,924","64,267","68,793","69,164","70,674","68,134","66,505","67,227","69,427","70,225","70,823","74,710","80,536","82,565","80,021","65,179","56,285","49,664","43,103","35,441","30,508","30,434","32,044","36,698","42,478","45,763","48,488","51,903","56,938","56,975","57,293","58,661","57,243","51,629","46,518","45,071","31,816","28,426","28,846","29,402","32,495","34,448","37,564","40,327","42,927","44,619","45,673","49,039"
  Utilities,"191,820","189,488","199,880","210,466","220,379","226,594","231,696","227,985","228,354","233,280","235,863","230,032","222,988","240,058","251,869","251,756","263,410","252,633","250,826","264,408","274,608","274,345","282,270","285,202","275,905","289,919","290,304","296,996","273,120","282,699","284,395","282,388","288,295","287,186","283,754","288,424","301,382","295,756","298,138","298,119","299,838","297,068","303,018","296,984","295,236","298,246","307,407","307,135","305,189","313,825","310,873","316,337","318,856","320,546","314,888","321,876","322,614","327,106","335,312","338,173","324,803","333,396","349,685","343,917","372,146","364,071","378,421","399,106","390,395","450,041","469,357","451,008","446,050"
