year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,"White, non-Hispanic",60.201331138,143.56264072,197.76161494,32.221041557,5.7679642294,23.86743819,1.1933719095,55.690689111,17.900578643,25.856391373,5.9668595476,63.646501841,23.86743819,5.9668595476,19.889531825,149.17148869,149.17148869,15.275160442,99.447659127,43.756970016,109.39242504,15.91162546,69.613361389,37.451988427,67.624408206,53.701735928,11.933719095,5.9668595476,1.8895055234,3.9779063651,65.635455024,35.801157286,11.933719095,5.9668595476,3.9779063651
1989,"Black, non-Hispanic",22.834987673,8.5524986849,53.363613887,3.9779063651,1.9889531825,19.889531825,0.89502893214,11.933719095,3.9779063651,89.502893214,3.9779063651,15.91162546,11.933719095,0.39779063651,7.9558127301,62.758036454,89.502893214,9.9447659127,62.65202525,24.861914782,3.9779063651,9.9447659127,33.812204103,9.9447659127,29.834297738,13.922672278,5.9668595476,3.9779063651,1.1933719095,0.55690689111,27.845344555,35.801157286,9.9447659127,3.9779063651,1.3922672278
1989,Hispanic,29.062711584,9.9447659127,32.221041557,3.5801157286,1.9889531825,29.834297738,1.1933719095,69.613361389,1.9889531825,1.591162546,3.9779063651,51.712782746,8.5524986849,1.9889531825,1.9889531825,35.801157286,109.39242504,7.9558127301,119.33719095,47.734876381,3.9779063651,15.91162546,33.812204103,17.54256707,83.536033666,67.624408206,5.9668595476,1.7900578643,2.1878485008,5.9668595476,81.547080484,318.23250921,9.9447659127,7.9558127301,1.3723776959
1989,Other,45.669975346,72.000105208,96.066438716,7.9558127301,3.3812204103,29.834297738,0.99447659127,49.723829563,13.922672278,49.723829563,3.9779063651,31.823250921,12.391178327,1.9889531825,9.9447659127,94.47527617,149.17148869,13.922672278,49.723829563,37.292872173,39.779063651,7.9558127301,47.734876381,21.878485008,53.701735928,107.40347186,7.9558127301,1.9889531825,1.1933719095,0.99447659127,53.701735928,69.613361389,13.922672278,7.9558127301,1.591162546
1992,"White, non-Hispanic",54.964794893,124.60316785,187.7986052,28.066997636,5.1843498818,19.664775414,1.0726241135,53.631205674,14.301654846,28.603309693,5.541891253,39.329550827,26.815602837,5.3631205674,20.558628842,143.01654846,151.95508274,13.193276596,89.38534279,57.206619385,78.301560284,12.513947991,53.631205674,39.329550827,80.446808511,44.692671395,9.1173049645,3.5754137116,1.8770921986,5.3631205674,76.871394799,21.45248227,9.4748463357,6.2569739953,2.3240189125
1992,"Black, non-Hispanic",31.146717106,17.698297872,54.346288416,4.6122836879,1.1620094563,9.4748463357,0.8938534279,53.631205674,7.1508274232,17.877068558,5.3631205674,3.9329550827,9.8323877069,1.2513947991,10.368699764,61.139574468,82.234515366,8.2234515366,71.508274232,53.631205674,20.558628842,8.938534279,35.82564539,10.011158392,39.329550827,19.664775414,5.8815555556,3.9329550827,1.2513947991,2.5027895981,41.117257683,21.45248227,12.335177305,5.1843498818,1.1620094563
1992,Hispanic,31.146717106,12.138529551,43.620047281,3.5754137116,1.7877068558,23.240189125,0.62569739953,20871.477541,2.3240189125,44.692671395,7.8659101655,14.301654846,11.620094563,1.376534279,7.7586477541,39.687092199,112.62553191,7.1508274232,125.13947991,58.100472813,53.631205674,26.815602837,39.329550827,15.999976359,92.960756501,105.47470449,4.6122836879,5.3631205674,3.0391016548,8.938534279,92.960756501,3.5754137116,7.8659101655,6.2569739953,1.7877068558
1992,Other,49.468315404,66.413309693,107.26241135,16.98321513,4.6837919622,14.301654846,3.5754137116,23.240189125,21.45248227,35.754137116,8.5809929078,57.206619385,35.754137116,8.938534279,24.134042553,94.265782506,143.01654846,11.763111111,53.631205674,71.561905437,80.446808511,16.089361702,39.329550827,25.349683215,71.508274232,31.284869976,6.5251300236,1.7877068558,1.4301654846,3.5754137116,80.446808511,14.301654846,8.7597635934,3.0391016548,1.7519527187
1995,"White, non-Hispanic",54.704992173,128.20344371,198.81549669,31.550066225,4.0898233996,18.362472406,1.6693156733,48.74401766,15.357704194,35.389492274,8.3465783664,50.079470199,30.214613687,6.6772626932,26.709050773,156.41487859,151.90772627,18.195540839,91.812362031,56.756732892,58.426048565,16.693156733,47.074701987,44.220172185,90.143046358,55.087417219,10.850551876,6.3433995585,2.5039735099,4.1732891832,90.143046358,20.031788079,11.351346578,6.5103311258,2.8044503311
1995,"Black, non-Hispanic",29.062027092,18.228927152,50.129549669,7.3950684327,1.752781457,15.02384106,0.91812362031,15.190772627,1.6693156733,7.3449889625,8.3465783664,0.083465783664,13.354525386,2.8378366446,7.3449889625,53.75196468,96.820309051,11.685209713,41.732891832,16.693156733,12.51986755,5.8426048565,26.041324503,10.349757174,41.732891832,31.716997792,6.6772626932,1.3354525386,1.6693156733,2.1701103753,41.732891832,16.693156733,11.351346578,5.8426048565,1.1518278146
