year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 25,20.759079703,.21878485008,5.9668595476,1.591162546,.99447659127,5.9668595476,.49723829563,11.933719095,.39779063651,1.9889531825,1.4917148869,.39779063651,1.9889531825,1.1933719095,.99447659127,5.9668595476,15.91162546,4.9326038927,59.668595476,5.9668595476,.19889531825,1.1933719095,-1.988953183,7.1403419253,73.591267754,34.806680694,5.9668595476,3.9779063651,1.9889531825,1.1933719095,73.591267754,2386.743819,5.9668595476,6.5635455024,1.591162546
1989,25-49.9,43.594067375,41.768016833,67.624408206,10.979021568,2.8640925829,9.944765912700001,.89502893214,5.9668595476,3.9779063651,3.9779063651,3.9779063651,7.955812730100001,7.3591267754,3.9779063651,4.9723829563,51.71278274599999,67.624408206,11.396701736,25.190887638,19.889531825,5.9668595476,7.955812730100001,13.922672278,22.634287217,55.690689111,23.86743819,9.944765912700001,1.9889531825,1.3922672278,1.7900578643,55.690689111,15.91162546,11.098358759,3.9779063651,1.9889531825
1989,50-74.9,62.277239108,173.63561284,222.96165176,36.71607575,5.6685165702,19.889531825,.99447659127,13.922672278,5.9668595476,11.933719095,5.9668595476,15.91162546,19.889531825,5.9668595476,11.933719095,170.95052604,139.22672278,15.91162546,49.723829563,21.878485008,51.71278274599999,13.922672278,67.624408206,55.969142557,61.657548659,27.845344555,13.922672278,3.9779063651,1.8895055234,1.9889531825,59.668595476,37.790110468,13.226538664,7.955812730100001,3.9779063651
1989,75-89.9,83.03631881,420.96194108,502.70791689,137.23776959,12.132614413,39.77906365099999,1.9889531825,39.77906365099999,23.86743819,27.845344555,9.944765912700001,79.558127301,49.723829563,9.944765912700001,39.77906365099999,363.87898474,248.61914782,17.900578643,108.06161647,49.723829563,109.39242504,19.889531825,157.12730142,63.96473435,75.580220936,49.723829563,15.91162546,5.9668595476,1.9889531825,7.5580220936,63.646501841,35.801157286,13.922672278,7.955812730100001,5.9668595476
1989,90-100,155.69309777,1374.3666491,1545.6155181,496.2438190399999,45.32824303,75.580220936,3.9779063651,139.22672278,67.624408206,61.657548659,17.900578643,198.89531825,95.469752762,31.823250921,119.33719095,998.45449763,397.79063651,28.760263019,258.56391373,232.02133351,596.68595476,41.768016833,505.85563419,100.04434508,89.502893214,85.52498684899999,15.91162546,19.889531825,2.9834297738,13.922672278,91.491846397,53.70173592800001,15.91162546,3.9779063651,21.878485008
1992,Less than 25,23.818077787,.8938534279,6.8826713948,1.4301654846,.71508274232,2.8603309693,.41117257683,13.675957447,1.0726241135,2.5027895981,1.4301654846,1.7877068558,1.7877068558,1.1620094563,1.7161985816,6.4357446809,51.843498818,5.1843498818,28.603309693,5.3631205674,3.5754137116,2.3240189125,-.5363120566999999,7.865910165500001,53.631205674,21.45248227,6.6860236407,2.145248227,1.6089361702,1.9664775414,53.631205674,2.8603309693,7.1508274232,6.4357446809,1.7877068558
1992,25-49.9,43.971835915,42.15412766,69.988723404,10.726241135,2.5027895981,8.938534278999999,.71508274232,6.4357446809,3.5754137116,7.3295981087,3.0391016548,7.1508274232,7.508368794300001,3.5754137116,5.3631205674,60.782033097,71.50827423199999,10.368699764,23.240189125,16.089361702,13.407801418,8.0625579196,12.513947991,26.261413712,61.675886525,23.240189125,6.8111631206,1.7877068558,1.9307234043,2.3240189125,61.675886525,16.089361702,8.044680851100001,4.6480378251,1.7877068558
1992,50-74.9,58.629114553,157.13943262,209.87678487,39.687092199,5.3631205674,17.877068558,.8938534279,19.664775414,6.9720567376,16.089361702,5.3631205674,19.664775414,23.776501182,5.1843498818,15.016737589,158.21205674,135.86572104,14.837966903,62.569739953,33.96643026,32.178723404,10.726241135,53.631205674,53.631205674,78.659101655,33.072576832,10.189929078,3.2178723404,1.7877068558,4.469267139499999,76.871394799,17.877068558,12.156406619,4.6480378251,1.7877068558
1992,75-89.9,76.95071285100001,365.40906903,423.68652482,132.82661939,11.334061466,33.96643026,1.7877068558,35.754137116,17.877068558,28.603309693,9.474846335700001,28.603309693,52.379810875,9.832387706899999,42.904964539,292.82638298,214.5248227,17.161985816,89.38534279,53.631205674,106.36855792,17.877068558,141.01431678,59.530638298,80.446808511,39.329550827,10.90501182,10.726241135,1.8770921986,8.938534278999999,76.871394799,23.240189125,10.547470449,4.469267139499999,5.541891253
1992,90-100,144.74062655,1194.1881797,1321.6874326,455.86524823,41.65356974,53.631205674,3.5754137116,157.31820331,80.446808511,89.38534279,17.877068558,117.98865248,134.07801418,53.631205674,160.89361702,801.60775414,341.45200946,26.690463357,180.39749882,221.67565012,482.68085106,37.541843972,388.82802884,135.86572104,125.13947991,98.32387706899999,14.480425532,32.178723404,2.8603309693,10.726241135,121.56406619,35.754137116,12.335177305,10.207806147,11.620094563
