Value Added by Industry
Value Added by Industry
"Last Revised on: November 16, 2021"
Line,,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
,,,,,,,,,,,
1,"        Gross domestic product",5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6
2,Private industries,4487.3,4834.8,5097.0,5234.1,5544.8,5852.2,6244.3,6563.0,6969.0,7432.0
3,"    Agriculture, forestry, fishing, and hunting",78.7,91.7,96.1,88.0,98.6,90.5,105.3,90.7,113.6,108.6
4,"        Farms",61.4,73.9,77.8,70.4,79.9,71.3,83.6,68.4,92.6,88.1
5,"        Forestry, fishing, and related activities",17.3,17.8,18.3,17.6,18.8,19.2,21.7,22.3,21.0,20.5
6,"    Mining",74.0,78.6,88.3,79.4,73.5,74.4,76.1,76.6,90.1,95.1
7,"        Oil and gas extraction",42.8,47.6,55.5,45.9,42.2,43.1,41.8,42.4,54.5,55.1
8,"        Mining, except oil and gas",22.7,23.0,23.6,23.7,23.6,22.2,25.3,25.2,25.8,26.5
9,"        Support activities for mining",8.5,7.9,9.1,9.7,7.6,9.0,8.9,9.0,9.8,13.5
10,"    Utilities",125.3,138.5,145.6,153.8,160.1,164.7,172.4,176.0,175.0,171.5
11,"    Construction",227.8,241.0,245.9,230.0,235.0,251.4,277.7,292.9,316.3,339.6
12,"    Manufacturing",960.4,1015.8,1035.4,1043.0,1085.5,1124.3,1193.4,1259.6,1301.5,1382.9
13,"        Durable goods",580.6,607.7,603.7,597.5,618.7,644.6,691.4,727.9,768.0,823.8
14,"            Wood products",19.8,20.6,19.6,18.7,19.7,22.0,24.6,25.6,25.3,26.8
15,"            Nonmetallic mineral products",26.5,27.3,26.6,24.3,27.5,28.2,32.0,33.9,34.3,39.8
16,"            Primary metals",41.1,44.6,41.1,37.9,38.9,39.7,43.7,47.7,46.0,48.1
17,"            Fabricated metal products",74.2,78.2,79.8,77.6,80.3,83.9,93.4,98.8,105.4,110.0
18,"            Machinery",80.4,88.0,89.1,83.1,85.0,86.1,90.0,95.2,96.8,102.2
19,"            Computer and electronic products",107.9,111.8,114.8,116.8,121.3,124.9,140.7,159.7,171.9,195.3
20,"            Electrical equipment, appliances, and components",37.7,41.6,41.9,40.8,41.7,43.0,45.5,44.3,44.3,46.9
21,"            Motor vehicles, bodies and trailers, and parts",76.4,75.5,64.3,64.3,76.5,89.5,103.8,104.2,107.9,112.0
22,"            Other transportation equipment",66.6,67.6,70.5,77.5,67.0,64.2,53.2,52.0,60.8,62.5
23,"            Furniture and related products",18.6,19.6,19.0,18.3,20.0,21.7,22.5,23.2,25.4,27.9
24,"            Miscellaneous manufacturing",31.5,33.0,37.0,38.3,40.6,41.4,41.9,43.4,49.9,52.3
25,"        Nondurable goods",379.9,408.1,431.7,445.5,466.8,479.7,502.1,531.6,533.4,559.1
26,"            Food and beverage and tobacco products",94.8,100.6,111.4,118.5,123.6,122.7,123.5,136.5,130.9,135.2
27,"            Textile mills and textile product mills",22.0,23.0,23.4,23.9,26.7,27.0,27.1,26.2,26.6,27.4
28,"            Apparel and leather and allied products",23.7,24.8,25.2,26.0,27.6,27.6,28.0,26.8,25.9,25.2
29,"            Paper products",45.5,48.1,47.3,46.8,47.7,48.8,52.0,62.4,58.4,55.4
30,"            Printing and related support activities",28.5,30.4,31.7,31.7,33.9,33.8,35.1,35.7,37.3,37.4
31,"            Petroleum and coal products",29.6,31.5,35.0,33.8,33.3,38.5,36.6,33.9,36.3,47.5
