Date,Number,Average amount
Jan 1988,38225519,$461.61
Feb 1988,38250029,$462.43
Mar 1988,38305065,$462.67
Apr 1988,38355693,$462.90
May 1988,38402109,$463.10
Jun 1988,38420542,$463.55
Jul 1988,38385661,$464.26
Aug 1988,38459316,$464.51
Sep 1988,38533698,$464.79
Oct 1988,38598640,$465.00
Nov 1988,38612982,$465.17
Dec 1988,38612903,$484.01
Jan 1989,38607442,$484.29
Feb 1989,38647996,$485.31
Mar 1989,38694122,$485.53
Apr 1989,38762164,$485.77
May 1989,38822835,$486.00
Jun 1989,38859147,$486.43
Jul 1989,38849512,$487.14
Aug 1989,38926006,$487.44
Sep 1989,39002498,$487.72
Oct 1989,39063368,$488.47
Nov 1989,39092372,$488.63
Dec 1989,39141080,$511.89
Jan 1990,39147505,$512.21
Feb 1990,39208062,$512.49
Mar 1990,39273691,$512.75
Apr 1990,39356076,$512.97
May 1990,39431591,$513.37
Jun 1990,39470405,$513.83
Jul 1990,39482772,$514.59
Aug 1990,39572230,$514.94
Sep 1990,39667096,$515.22
Oct 1990,39729896,$515.45
Nov 1990,39772133,$516.39
Dec 1990,39824692,$544.52
Jan 1991,39816427,$544.58
Feb 1991,39853950,$544.70
Mar 1991,39942112,$544.98
Apr 1991,40036045,$545.22
May 1991,40112403,$545.43
Jun 1991,40172380,$545.89
Jul 1991,40198702,$546.60
Aug 1991,40301458,$546.91
Sep 1991,40400094,$547.12
Oct 1991,40472579,$547.30
Nov 1991,40492133,$548.16
Dec 1991,40586874,$568.55
Jan 1992,40550935,$568.45
Feb 1992,40643800,$568.65
Mar 1992,40746109,$568.84
Apr 1992,40856764,$568.98
May 1992,40951976,$569.11
Jun 1992,41029432,$569.52
Jul 1992,41071468,$570.22
Aug 1992,41185507,$570.49
Sep 1992,41288396,$570.68
Oct 1992,41363550,$570.77
Nov 1992,41432579,$571.59
Dec 1992,41503506,$588.90
Jan 1993,41464193,$588.69
Feb 1993,41557339,$588.86
Mar 1993,41634750,$589.02
Apr 1993,41715749,$589.18
May 1993,41780456,$589.33
Jun 1993,41840193,$589.79
Jul 1993,41870790,$590.53
Aug 1993,41973938,$590.78
Sep 1993,42074956,$590.98
Oct 1993,42136176,$591.12
Nov 1993,42217276,$591.94
Dec 1993,42243262,$607.48
Jan 1994,42195809,$607.30
Feb 1994,42235591,$607.57
Mar 1994,42301932,$607.74
Apr 1994,42391071,$607.86
May 1994,42459106,$607.98
Jun 1994,42516490,$608.43
Jul 1994,42533971,$609.26
Aug 1994,42630325,$609.58
Sep 1994,42713069,$609.85
Oct 1994,42776314,$610.02
Nov 1994,42823577,$610.82
Dec 1994,42881850,$628.14
Jan 1995,42835923,$627.99
Feb 1995,42911459,$628.20
Mar 1995,42960588,$628.41
Apr 1995,43021702,$628.66
May 1995,43067121,$628.92
Jun 1995,43107602,$629.48
Jul 1995,43119709,$630.41
Aug 1995,43202501,$630.78
Sep 1995,43283288,$631.09
Oct 1995,43343822,$631.28
Nov 1995,43354056,$632.14
Dec 1995,43386232,$648.77
Jan 1996,43242471,$649.43
Feb 1996,43309254,$649.81
Mar 1996,43362571,$650.09
Apr 1996,43416185,$650.27
May 1996,43462291,$650.56
Jun 1996,43498146,$651.09
Jul 1996,43565251,$651.64
Aug 1996,43626196,$652.07
Sep 1996,43649017,$652.65
Oct 1996,43701666,$652.85
Nov 1996,43710221,$653.68
Dec 1996,43736183,$672.81
Jan 1997,43557034,$672.69
Feb 1997,43586367,$673.54
Mar 1997,43645764,$673.84
Apr 1997,43728997,$674.17
May 1997,43795415,$674.54
Jun 1997,43792551,$675.23
Jul 1997,43786517,$676.25
Aug 1997,43827881,$676.83
Sep 1997,43873097,$677.16
Oct 1997,43932732,$677.45
Nov 1997,43942187,$678.32
Dec 1997,43970692,$692.82
Jan 1998,43788974,$692.72
Feb 1998,43877420,$693.16
Mar 1998,43939389,$693.50
Apr 1998,44018188,$693.84
May 1998,44079366,$694.27
Jun 1998,44075580,$694.99
Jul 1998,44064795,$696.01
Aug 1998,44117778,$696.46
Sep 1998,44171651,$696.84
Oct 1998,44208372,$697.14
Nov 1998,44211711,$698.14
Dec 1998,44245506,$707.39
Jan 1999,44168270,$707.56
Feb 1999,44184827,$707.82
Mar 1999,44246769,$708.21
Apr 1999,44306732,$708.64
May 1999,44352855,$709.05
Jun 1999,44366526,$709.93
Jul 1999,44334858,$711.03
Aug 1999,44390167,$711.41
Sep 1999,44471328,$711.80
Oct 1999,44515720,$712.16
Nov 1999,44540257,$713.18
Dec 1999,44595481,$730.53
Jan 2000,44453288,$730.68
Feb 2000,44522766,$731.19
Mar 2000,44611155,$731.65
Apr 2000,44707005,$732.21
May 2000,45131583,$735.89
Jun 2000,45166596,$737.14
Jul 2000,45162670,$738.46
Aug 2000,45213482,$739.27
Sep 2000,45301599,$739.71
Oct 2000,45351149,$740.13
Nov 2000,45383106,$741.09
Dec 2000,45414705,$767.35
Jan 2001,45459674,$768.29
Feb 2001,45525956,$768.73
Mar 2001,45582245,$769.11
Apr 2001,45641549,$769.51
May 2001,45682788,$769.87
Jun 2001,45668601,$770.77
Jul 2001,45618441,$772.66
Aug 2001,45654351,$773.18
Sep 2001,45725877,$773.54
Oct 2001,45775496,$773.90
Nov 2001,45832249,$775.25
Dec 2001,45877465,$795.69
Jan 2002,45925050,$796.72
Feb 2002,45999564,$797.21
Mar 2002,46063633,$797.60
Apr 2002,46128821,$798.06
May 2002,46190235,$798.50
Jun 2002,46176425,$799.52
Jul 2002,46139464,$800.76
Aug 2002,46199438,$801.32
Sep 2002,46277280,$801.72
Oct 2002,46345137,$802.09
Nov 2002,46402656,$803.47
Dec 2002,46444296,$815.05
Jan 2003,46464608,$816.04
Feb 2003,46541764,$816.43
Mar 2003,46611633,$816.81
Apr 2003,46700888,$817.26
May 2003,46770816,$817.70
Jun 2003,46753392,$818.80
Jul 2003,46727427,$820.04
Aug 2003,46787319,$820.63
Sep 2003,46867748,$821.06
Oct 2003,46932493,$821.50
Nov 2003,46993186,$822.93
Dec 2003,47038475,$840.62
Jan 2004,47066011,$841.88
Feb 2004,47135653,$842.44
Mar 2004,47212225,$842.74
Apr 2004,47300781,$843.07
May 2004,47378199,$843.43
Jun 2004,47368570,$844.53
Jul 2004,47330249,$845.83
Aug 2004,47379383,$846.43
Sep 2004,47467774,$846.83
Oct 2004,47533164,$847.20
Nov 2004,47618206,$848.56
Dec 2004,47687713,$871.80
Jan 2005,47821216,$873.12
Feb 2005,47915995,$873.62
Mar 2005,47998570,$873.97
Apr 2005,48086785,$874.38
May 2005,48067902,$875.30
Jun 2005,48035288,$876.33
Jul 2005,48110679,$876.73
Aug 2005,48167751,$877.22
Sep 2005,48258085,$877.57
Oct 2005,48328541,$877.89
Nov 2005,48396033,$879.28
Dec 2005,48434436,$915.71
Jan 2006,48540729,$917.30
Feb 2006,48646183,$917.86
Mar 2006,48730487,$918.80
Apr 2006,48805301,$919.37
May 2006,48876963,$919.77
Jun 2006,48862860,$921.02
Jul 2006,48802963,$922.32
Aug 2006,48848134,$922.67
Sep 2006,48942696,$922.98
Oct 2006,49015003,$923.25
Nov 2006,49090789,$924.66
Dec 2006,49122826,$955.53
Jan 2007,49247483,$957.24
Feb 2007,49353276,$957.87
Mar 2007,49439472,$958.28
Apr 2007,49536621,$958.82
May 2007,49614267,$959.24
Jun 2007,49597688,$960.59
Jul 2007,49552138,$962.14
Aug 2007,49632780,$962.74
Sep 2007,49658603,$963.03
Oct 2007,49738892,$963.13
Nov 2007,49816178,$964.52
Dec 2007,49864978,$987.03
Jan 2008,50015468,$988.76
Feb 2008,50135951,$989.41
Mar 2008,50234294,$989.79
Apr 2008,50329270,$990.25
May 2008,50416822,$990.70
Jun 2008,50417219,$992.13
Jul 2008,50381544,$993.89
Aug 2008,50497369,$994.54
Sep 2008,50569502,$995.03
Oct 2008,50697040,$995.41
Nov 2008,50823235,$996.17
Dec 2008,50898396,"$1,054.38"
Jan 2009,51101982,"$1,056.29"
Feb 2009,51301435,"$1,056.61"
Mar 2009,51478967,"$1,057.00"
Apr 2009,51651676,"$1,057.44"
May 2009,51800173,"$1,057.86"
Jun 2009,51859038,"$1,059.25"
Jul 2009,51879436,"$1,061.05"
Aug 2009,52042660,"$1,061.54"
Sep 2009,52171954,"$1,062.06"
Oct 2009,52270917,"$1,062.36"
Nov 2009,52424779,"$1,063.89"
Dec 2009,52522819,"$1,064.41"
