Date,Total
1989,33039977
1990,33719118
1991,34428810
1992,35153223
1993,35904436
1994,36543147
1995,37134949
1996,37661881
1997,38052242
1998,38432477
1999,38727108
2000,39199460
2001,39606975
2002,40066786
2003,40656995
2004,41356536
2005,41981124
2006,43142891
2007,44054731
2008,45183876
2009,46274756
2010,47386066
2011,48671665
2012,50739561
