Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1997:Q2,White,33502546,10321114,7985414,2335700,23181431,2628821,638533,1493818,1032392,461426,533154,443074,90079,5976657,536706,555613,1782578,5114082,3635197,286273,4430904,4415510,3076358,1060554,26251,252347,15393,29071642,78190765
1997:Q2,Black,1494543,563518,429199,134318,931025,92237,7936,16032,9236,6796,3137,1806,1331,88455,59552,35892,105817,436356,64492,21118,321120,319403,219750,95239,2270,2144,1718,1173422,12117568
1997:Q2,Hispanic,888473,371351,283437,87914,517122,82899,11928,6551,4562,1989,148,0,148,51328,30910,22023,57589,174779,65473,13494,216012,215099,143187,65790,2206,3915,913,672460,6498004
1997:Q2,Other,1376951,506152,397119,109033,870799,116772,15647,42193,19514,22679,12907,8468,4438,161499,26651,26044,89690,182308,183159,13930,258988,258187,185291,56455,1444,14996,801,1117963,4248294
1997:Q3,White,34495324,10438476,8079604,2358872,24056848,2647660,665839,1510001,1019129,490872,534944,446800,88143,6440938,552876,580813,1922022,5209436,3701453,290867,4528565,4513055,3145071,1085162,15365,267457,15510,29966759,78320797
1997:Q3,Black,1512455,562557,430789,131767,949899,94465,7654,15792,9223,6569,2216,864,1352,95519,61841,36402,118378,429374,66665,21593,325163,323413,225352,94691,1029,2341,1750,1187292,12037529
1997:Q3,Hispanic,935775,386166,295416,90749,549610,89851,13154,6288,4524,1764,123,0,123,57898,30633,24707,58932,183410,70796,13817,223037,222148,147571,68498,1407,4672,889,712738,6685485
1997:Q3,Other,1393038,516115,407509,108606,876923,114397,15360,36183,17359,18823,12637,8012,4625,172079,25586,25579,99046,170094,191896,14066,267250,266497,191286,57454,739,17018,754,1125787,4310616
1997:Q4,White,35067095,10561516,8183660,2377857,24505579,2682191,695359,1543493,1074382,469111,552282,466461,85821,6571386,561018,579523,1925232,5289292,3814899,290902,4608984,4593349,3180661,1118451,25058,269178,15635,30458111,78444489
1997:Q4,Black,1516821,565947,428469,137478,950873,96872,7353,16928,9645,7283,2543,1176,1367,100444,63569,33988,116005,421129,70550,21491,325664,323879,223976,96338,1618,1947,1785,1191156,11970180
1997:Q4,Hispanic,975966,397606,305041,92564,578361,97281,14444,6025,4549,1476,95,0,95,63147,30084,26626,57424,191866,77407,13962,225979,225117,147029,70593,2457,5038,863,749987,6871291
1997:Q4,Other,1395014,523181,413119,110062,871833,112188,15016,35326,16648,18678,12502,7657,4845,172847,24147,23949,103689,156331,201820,14019,274440,273736,194693,58783,1258,19002,705,1120573,4368388
1998:Q1,White,36611649,10726788,8327678,2399110,25884862,2667838,754494,1548439,1029563,518876,574803,491456,83347,7491217,573070,611044,2109720,5413766,3847635,292836,4656123,4640462,3230124,1106342,27522,276475,15660,31955527,78565202
