Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1997:Q1,ageunder40,2962241,4777479,1701303,713403,412093,335236,410308,476911,728225,1815239,1214875,571109,29255
1997:Q2,age70plus,6443704,6623199,1601294,328163,1351403,956368,47715,564106,1774150,179494,100649,29455,49390
1997:Q2,age55to69,11519498,12415779,2437439,677206,2336532,2610392,823035,1306898,2224277,896280,596710,186642,112928
1997:Q2,age40to54,10979591,13296286,3340123,958443,2100957,2005753,1362050,1574662,1954298,2316695,1702719,483030,130946
1997:Q2,ageunder40,3094788,4929343,1716314,703153,489491,335012,442446,504307,738621,1834555,1224509,578911,31135
1997:Q3,age70plus,6623080,6813950,1622060,326004,1471847,984446,55915,566848,1786829,190870,105154,30608,55108
1997:Q3,age55to69,11888672,12819187,2465181,691646,2523706,2654947,890604,1333842,2259261,930515,618839,195500,116176
1997:Q3,age40to54,11294112,13654400,3395357,975685,2235466,2018645,1450279,1597839,1981129,2360289,1738991,491609,129689
1997:Q3,ageunder40,3188651,5050993,1730721,696658,535745,334277,469082,533889,750621,1862343,1246296,588088,27959
1997:Q4,age70plus,6751967,6954812,1690250,330114,1484119,1008918,50937,584780,1805694,202845,112281,33135,57429
1997:Q4,age55to69,12116094,13067050,2506304,699531,2587488,2691301,887150,1378537,2316739,950956,629015,206025,115916
1997:Q4,age40to54,11379047,13783980,3392720,983118,2286620,2026206,1453368,1629083,2012865,2404933,1760599,504998,139336
1997:Q4,ageunder40,3274129,5150462,1741015,705198,549773,332194,474978,573509,773795,1876333,1244463,600007,31863
1998:Q1,age70plus,7105669,7317057,1725610,328363,1751332,1043572,63468,576550,1828162,211388,119505,30681,61202
1998:Q1,age55to69,12710666,13675065,2553478,712454,2942600,2750768,976754,1392758,2346253,964399,642789,204322,117288
1998:Q1,age40to54,11871138,14302977,3459257,998897,2538501,2050095,1569575,1648300,2038351,2431838,1789382,497112,145344
1998:Q1,ageunder40,3441351,5316389,1761325,700346,638691,333615,507326,594842,780244,1875037,1249768,591927,33342
1998:Q2,age70plus,7238756,7459651,1784674,328920,1768946,1066192,60154,582188,1868577,220895,122401,33054,65440
1998:Q2,age55to69,13003124,14002008,2627906,725163,3013312,2807382,989060,1422959,2416227,998885,663687,216433,118765
1998:Q2,age40to54,12090782,14576240,3535734,1014387,2598641,2080157,1589155,1675219,2082947,2485458,1824423,512053,148982
1998:Q2,ageunder40,3483492,5391997,1789731,699239,653800,336517,515747,625267,771696,1908505,1269191,606204,33110
1998:Q3,age70plus,6952583,7179157,1783279,323955,1461301,1083779,39170,576956,1910716,226574,126627,34636,65311
1998:Q3,age55to69,12798116,13821324,2662152,746636,2704413,2851950,909667,1440128,2506378,1023208,683122,226072,114014
1998:Q3,age40to54,12026454,14564734,3697268,1043713,2397508,2103394,1499426,1697607,2125818,2538280,1860658,523567,154055
1998:Q3,ageunder40,3418527,5354604,1826558,682424,572067,337589,499281,647914,788771,1936077,1285749,616443,33885
1998:Q4,age70plus,7500713,7731573,1863412,334274,1869599,1079077,67717,587602,1929892,230860,127859,36837,66164
1998:Q4,age55to69,13492454,14537926,2723303,746352,3142999,2887159,1049572,1467550,2520991,1045472,698633,230102,116737
1998:Q4,age40to54,12653306,15259804,3747876,1054392,2706727,2194947,1672065,1713482,2170315,2606498,1906966,543125,156407
1998:Q4,ageunder40,3564918,5545773,1858218,698745,692023,340051,521600,616167,818970,1980855,1315132,631209,34514
1999:Q1,age70plus,7549458,7781432,1881633,336052,1894347,1068929,75297,577342,1947831,231973,127880,35756,68337
1999:Q1,age55to69,13555276,14612698,2751641,752507,3137619,2909653,1084958,1469397,2506923,1057422,711661,225672,120089
1999:Q1,age40to54,12917082,15569827,3870097,1076484,2710149,2280165,1719321,1718417,2195194,2652744,1948298,548418,156028
1999:Q1,ageunder40,3505696,5510960,1885967,696227,698105,340614,515551,571362,803134,2005264,1339797,632552,32915
1999:Q2,age70plus,7842120,8083096,1946450,345534,2117163,1060367,87161,608006,1918414,240976,127724,36885,76367
1999:Q2,age55to69,13892909,14981926,2821347,757114,3361572,2935807,1145733,1519479,2440874,1089018,728376,227170,133472
1999:Q2,age40to54,13325588,16045313,3979521,1094984,2876267,2369851,1800197,1746441,2178052,2719725,1996342,564180,159203
1999:Q2,ageunder40,3545984,5594329,1916165,707213,762108,341717,517316,555350,794460,2048345,1371250,643345,33750
1999:Q3,age70plus,7794196,8042396,1975437,351371,1987294,1046250,81548,662310,1938186,248199,131497,39122,77580
1999:Q3,age55to69,13803021,14916760,2873908,768299,3182191,2949527,1111094,1598210,2433531,1113739,747508,230777,135454
1999:Q3,age40to54,13436470,16233477,4143513,1123464,2759160,2451964,1762701,1789481,2203195,2797007,2055614,584558,156835
1999:Q3,ageunder40,3482764,5578032,1960312,707569,722453,340902,492974,556216,797606,2095268,1406641,657437,31190
1999:Q4,age70plus,8436971,8712520,2037976,359811,2506769,1043617,103114,679840,1981393,275550,141287,42244,92019
1999:Q4,age55to69,14608148,15756306,2921110,772451,3747657,2990265,1234087,1632923,2457814,1148158,755685,233895,158578
1999:Q4,age40to54,14231367,17105295,4243075,1141571,3170892,2554107,1922951,1811649,2261051,2873928,2106715,606670,160543
1999:Q4,ageunder40,3695101,5818913,1993844,717260,872124,344032,512213,533202,846238,2123812,1420576,670813,32423
2000:Q1,age70plus,8653865,8952862,2101677,370108,2680667,1034319,112491,671679,1981921,298997,152429,42094,104474
2000:Q1,age55to69,14925099,16090935,3020553,783969,3919319,3016671,1286684,1636468,2427271,1165836,758694,227836,179306
2000:Q1,age40to54,14708248,17637086,4419602,1168870,3304091,2645957,1997569,1817615,2283381,2928838,2150878,613524,164436
2000:Q1,ageunder40,3770573,5899116,2048766,724972,920384,344873,513232,494003,852887,2128544,1424212,670312,34020
2000:Q2,age70plus,8603819,8906006,2181251,381123,2529285,1020718,109763,719918,1963947,302187,158564,45340,98283
2000:Q2,age55to69,14880752,16059089,3129159,794676,3727449,3034488,1272650,1709737,2390930,1178337,775855,232673,169809
2000:Q2,age40to54,14836844,17845259,4612062,1194153,3177529,2730710,1985593,1858849,2286363,3008415,2209811,637472,161132
2000:Q2,ageunder40,3730452,5901467,2117106,734755,874884,344258,495787,493163,841513,2171015,1453867,686285,30863
2000:Q3,age70plus,8676911,8993233,2218374,385151,2506256,1009289,112597,776011,1985555,316322,165574,50263,100485
2000:Q3,age55to69,15039409,16247354,3215699,807653,3682074,3058982,1292592,1794049,2396306,1207945,793110,241155,173680
2000:Q3,age40to54,15164134,18260270,4830581,1223216,3151129,2818724,2015505,1905517,2315598,3096136,2269065,668134,158937
2000:Q3,ageunder40,3725102,5944195,2176691,732155,866183,344408,487836,497982,838941,2219093,1482697,707521,28875
2000:Q4,age70plus,8537943,8848259,2312756,397676,2145063,992906,102700,801107,2096051,310316,167809,55752,86755
2000:Q4,age55to69,14839328,16053988,3328591,815294,3247161,3074069,1238595,1841400,2508878,1214660,809989,252009,152662
2000:Q4,age40to54,15062298,18238059,4965861,1241396,2834091,2897322,1947204,1931583,2420602,3175760,2317202,701676,156882
2000:Q4,ageunder40,3605982,5874328,2226888,747389,758880,342912,459833,482978,855447,2268346,1510226,731829,26291
2001:Q1,age70plus,8459495,8761811,2449944,406215,1865875,981108,85677,813257,2159735,302316,170385,55442,76489
2001:Q1,age55to69,14748896,15959549,3537667,824136,2898803,3102190,1149498,1873992,2573263,1210653,825222,248818,136613
2001:Q1,age40to54,15098225,18316521,5223354,1260433,2568935,2982300,1824720,1947822,2508958,3218296,2360420,709754,148122
2001:Q1,ageunder40,3574711,5865212,2326770,755965,673962,343015,420056,460227,885218,2290501,1533598,735710,21193
2001:Q2,age70plus,8795776,9098742,2510077,409639,2064116,1006540,94183,847462,2166726,302967,168456,56425,78086
2001:Q2,age55to69,15170251,16423535,3639725,833310,3123110,3129803,1201574,1936104,2559909,1253283,860863,252582,139838
2001:Q2,age40to54,15557074,18856149,5397769,1279034,2730079,3057070,1893387,1977644,2521166,3299076,2427566,725958,145552
2001:Q2,ageunder40,3608712,5970647,2377793,756812,730602,343626,423500,452265,886049,2361935,1593132,749284,19519
2001:Q3,age70plus,8540494,8881471,2547730,411519,1659702,1027318,76745,870469,2287988,340977,182526,58710,99741
2001:Q3,age55to69,14801490,16116697,3733253,845854,2619344,3149404,1110796,1986215,2671831,1315207,885448,253709,176050
2001:Q3,age40to54,15333023,18730042,5601586,1300158,2333397,3120564,1761923,1998103,2614311,3397019,2500308,742237,154474
2001:Q3,ageunder40,3438031,5850705,2420729,753828,607244,342690,383442,437595,905176,2412674,1629271,759696,23707
2001:Q4,age70plus,8963170,9276988,2610847,433757,1912802,1084536,90396,840545,2304104,313818,165518,68288,80012
2001:Q4,age55to69,15449000,16787683,3877696,862699,2963377,3249281,1185055,1953364,2696211,1338682,918333,275866,144483
2001:Q4,age40to54,15718676,19169143,5690392,1305683,2607758,3099752,1827296,2011288,2626974,3450467,2546401,764265,139801
2001:Q4,ageunder40,3499745,5982335,2471516,762160,671832,334876,393748,437520,910683,2482590,1681533,783407,17650
2002:Q1,age70plus,9109995,9446300,2683629,451959,1912526,1135440,101677,836719,2324350,336305,182948,73296,80061
2002:Q1,age55to69,15782561,17141546,4025378,875219,2999126,3337391,1240575,1955720,2708137,1358985,937067,276242,145676
2002:Q1,age40to54,15818341,19336293,5791479,1303606,2641821,3063267,1866218,2040977,2628925,3517953,2625725,756653,135575
