Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1757167,1802300,139254,195557,305340,14873,23679,586079,537518,45133,14499,21065,9569
1989:Q3,RemainingTop1,2904271,2989038,479105,163330,590198,145079,84577,723594,803155,84766,65913,5120,13733
1989:Q3,Next9,7765839,8246987,2023854,418758,811430,1573577,453556,1015740,1950073,481148,373964,58994,48190
1989:Q3,Next40,7294849,8849721,3425341,754280,359532,1620048,398026,603924,1688570,1554872,1149191,355269,50412
1989:Q3,Bottom50,717856,1704710,825615,364255,23943,128754,54184,40285,267674,986854,607588,343758,35508
1989:Q4,TopPt1,1812846,1856666,153056,197989,318828,17539,22901,593345,553009,43820,14689,19572,9559
1989:Q4,RemainingTop1,2966437,3057103,500960,162909,602047,155508,88727,730771,816181,90667,69379,6123,15165
1989:Q4,Next9,7890235,8389323,2070660,416049,830446,1591104,472647,1025901,1982516,499087,386915,63280,48892
1989:Q4,Next40,7437857,9016880,3445928,773011,375403,1672860,416190,605956,1727532,1579024,1167136,361746,50142
1989:Q4,Bottom50,710578,1725523,823713,375625,25380,130056,55769,40854,274126,1014945,622464,358565,33916
1990:Q1,TopPt1,1796432,1838695,162843,186599,286986,20233,21582,598192,562260,42263,15384,17236,9643
1990:Q1,RemainingTop1,2950135,3046151,503412,165029,567223,165140,89965,736264,819118,96016,72688,6470,16858
1990:Q1,Next9,7864451,8385675,2048825,428830,784016,1601218,479860,1033473,2009453,521224,408720,61263,51241
1990:Q1,Next40,7523182,9117065,3447508,797753,370599,1720217,420335,607039,1753614,1593883,1194778,348027,51078
1990:Q1,Bottom50,733740,1770741,850396,388773,24686,131134,55598,41428,278726,1037002,643829,359323,33850
1990:Q2,TopPt1,1840099,1881280,174074,188775,303669,22869,20147,606975,564771,41181,16076,15560,9545
1990:Q2,RemainingTop1,3002922,3103665,521880,164272,581304,175167,92240,743389,825413,100743,75548,7146,18049
1990:Q2,Next9,7952956,8496435,2085198,424993,806964,1614431,499529,1044365,2020955,543479,428539,62864,52076
1990:Q2,Next40,7641609,9255631,3470775,815035,388205,1769854,430813,608828,1772121,1614022,1217189,346051,50782
1990:Q2,Bottom50,712440,1770627,833235,399312,26295,132286,55937,41992,281569,1058187,658565,367092,32530
