Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,White,90.3,89.2,87,86.7,96.2,85.6,90.4,88.3,93,82.1,82.8,79.1,86.6
1989:Q3,Black,4,4.3,4.9,5.8,0.8,9.1,5.3,1.3,2.6,5.8,4.7,10,1.1
1989:Q3,Hispanic,2.1,2.6,3.8,3.5,0.7,2.7,2.1,1.9,2.1,6.4,6.4,5.9,9.2
1989:Q3,Other,3.6,3.8,4.3,3.9,2.3,2.6,2.2,8.5,2.3,5.7,6.1,5,3.2
1989:Q4,White,90.1,89,86.8,86.2,96.1,85.5,90,87.9,92.9,81.8,82.5,78.9,86.3
1989:Q4,Black,4.1,4.3,4.9,6.1,0.9,9.1,5.5,1.4,2.6,6,4.8,10.1,1.4
1989:Q4,Hispanic,2.1,2.7,3.9,3.6,0.7,2.7,2.1,2,2.1,6.5,6.5,6,8.7
1989:Q4,Other,3.7,4,4.4,4.1,2.4,2.7,2.4,8.6,2.5,5.8,6.2,5,3.6
1990:Q1,White,89.9,88.8,86.7,85.9,95.9,85.4,89.8,87.6,92.7,81.7,82.4,78.9,86.3
1990:Q1,Black,4.1,4.4,4.9,6.1,0.9,9.1,5.6,1.6,2.6,6,5,9.8,1.7
1990:Q1,Hispanic,2.1,2.7,3.9,3.7,0.7,2.7,2.1,2.2,2,6.5,6.5,6.3,8.1
1990:Q1,Other,3.8,4.1,4.5,4.3,2.4,2.7,2.5,8.7,2.7,5.8,6.2,5,4
1990:Q2,White,89.8,88.7,86.7,85.5,95.8,85.4,89.5,87.3,92.6,81.7,82.3,78.9,86.2
1990:Q2,Black,4.2,4.4,4.8,6.3,1,9.2,5.7,1.7,2.5,6,5,9.8,2
1990:Q2,Hispanic,2.2,2.7,3.9,3.7,0.7,2.7,2.1,2.3,2,6.5,6.5,6.4,7.5
1990:Q2,Other,3.9,4.1,4.6,4.4,2.5,2.7,2.7,8.7,2.9,5.8,6.2,4.9,4.4
1990:Q3,White,89.6,88.5,86.6,85.5,95.7,85.4,89.5,87,92.5,81.6,82.3,78.9,85.8
1990:Q3,Black,4.2,4.5,4.9,6.2,1.1,9.2,5.6,1.9,2.5,6.1,5.1,9.9,2.1
1990:Q3,Hispanic,2.2,2.8,3.9,3.8,0.8,2.7,2.1,2.5,2,6.5,6.4,6.4,7
1990:Q3,Other,4,4.2,4.6,4.5,2.5,2.7,2.8,8.6,3,5.8,6.1,4.8,5
1990:Q4,White,89.6,88.5,86.5,85.4,95.5,85.4,89.2,86.8,92.4,81.6,82.2,78.9,86
1990:Q4,Black,4.2,4.5,4.9,6.2,1.1,9.2,5.8,2,2.5,6.2,5.3,9.9,2.5
1990:Q4,Hispanic,2.2,2.8,3.9,3.8,0.7,2.7,2.1,2.6,1.9,6.4,6.4,6.5,6.3
1990:Q4,Other,4,4.3,4.7,4.6,2.6,2.7,2.9,8.6,3.2,5.7,6.1,4.8,5.3
1991:Q1,White,89.6,88.5,86.6,85.1,95.5,85.4,88.9,86.6,92.3,81.7,82.2,79.1,86.1
1991:Q1,Black,4.2,4.5,4.9,6.4,1.1,9.3,6,2.2,2.5,6.2,5.4,9.6,2.8
1991:Q1,Hispanic,2.1,2.7,3.9,3.8,0.7,2.6,2.1,2.7,1.9,6.4,6.4,6.6,5.5
1991:Q1,Other,4.1,4.3,4.7,4.7,2.8,2.7,3,8.6,3.3,5.7,6,4.7,5.6
1991:Q2,White,89.5,88.4,86.6,85,95.4,85.5,88.7,86.4,92.2,81.8,82.3,79.3,86.1
1991:Q2,Black,4.3,4.6,4.9,6.4,1.1,9.3,6.1,2.3,2.5,6.3,5.5,9.5,3
1991:Q2,Hispanic,2.1,2.7,3.8,3.8,0.7,2.6,2,2.8,1.8,6.3,6.3,6.6,4.9
1991:Q2,Other,4.1,4.3,4.7,4.8,2.8,2.6,3.1,8.5,3.5,5.6,6,4.6,6
1991:Q3,White,89.4,88.4,86.6,85.2,95.3,85.5,88.5,86.2,92,82.2,82.7,79.5,86.4
1991:Q3,Black,4.4,4.6,4.9,6.3,1.1,9.4,6.3,2.5,2.5,6.2,5.4,9.6,3.3
1991:Q3,Hispanic,2.1,2.6,3.7,3.8,0.7,2.5,2,2.9,1.8,6,6,6.5,4.1
1991:Q3,Other,4.2,4.4,4.7,4.8,2.9,2.6,3.2,8.4,3.7,5.6,5.9,4.4,6.1
1991:Q4,White,89.4,88.5,86.7,85.1,95.3,85.6,88.3,86,91.9,82.4,83,79.7,86.9
1991:Q4,Black,4.3,4.6,4.9,6.3,1.1,9.4,6.5,2.6,2.5,6.3,5.4,9.7,3.6
