Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,White,18461327,21048915,5993921,1643424,2011229,2980135,916532,2622251,4881422,2587588,1831010,620287,136291
1989:Q3,Black,827243,1010669,338491,110870,17098,316289,54239,38230,135452,183426,103500,78235,1691
1989:Q3,Hispanic,423193,624978,263047,67259,14711,94830,20965,56152,108014,201786,140736,46590,14460
1989:Q3,Other,728220,908194,297710,74627,47406,91075,22286,252989,122101,179974,135909,39095,4970
1989:Q4,White,18766615,21407115,6073320,1659046,2067180,3049573,950824,2634896,4972276,2640499,1866107,638342,136050
1989:Q4,Black,847517,1040156,341535,117355,18420,324869,58214,42911,136852,192638,108717,81758,2163
1989:Q4,Hispanic,438620,647366,270990,69455,15320,97777,22121,61373,110330,208746,146090,48893,13763
1989:Q4,Other,765199,950860,308473,79727,51184,94848,25076,257646,133906,185661,139668,40293,5700
1990:Q1,White,18769973,21459311,6081572,1690553,1950606,3108351,958670,2641737,5027823,2689338,1923565,625412,140361
1990:Q1,Black,862638,1058816,342456,119715,18662,332277,59345,47459,138903,196179,115609,77816,2754
1990:Q1,Hispanic,446058,660852,273432,73038,14856,99784,22495,66254,110993,214794,151844,49841,13109
1990:Q1,Other,789271,979347,315525,83677,49388,97530,26831,260946,145450,190077,144381,39251,6445
1990:Q2,White,18991814,21735358,6141124,1703862,2017721,3172627,983486,2658359,5058179,2743544,1972736,630374,140434
1990:Q2,Black,881714,1083617,342785,125990,20131,340464,62610,52438,139199,201903,120357,78352,3194
1990:Q2,Hispanic,454839,672863,276774,74236,15339,101359,23280,71211,110664,218024,155004,50814,12206
1990:Q2,Other,821659,1015800,324479,88299,53247,100158,29290,263541,156786,194141,147821,39173,7147
1990:Q3,White,18840677,21629242,6200862,1724295,1684657,3229355,969194,2678740,5142139,2788564,2013917,640926,133721
1990:Q3,Black,890176,1099015,348497,124708,18943,347867,61148,57651,140201,208839,125401,80103,3335
1990:Q3,Hispanic,460790,681388,280532,76410,13427,102134,22734,76038,110114,220599,157687,51949,10963
1990:Q3,Other,836635,1033986,332835,90741,43967,101884,29990,265267,169302,197352,150261,39323,7768
1990:Q4,White,19239144,22074009,6184509,1741909,1884439,3290058,1007495,2685957,5279642,2834865,2046332,650495,138038
1990:Q4,Black,906190,1122951,349257,125851,21410,355867,65786,62504,142276,216760,131350,81417,3993
1990:Q4,Hispanic,464270,687935,279699,77715,14525,102498,23507,80195,109796,223665,160422,53174,10069
1990:Q4,Other,862773,1062285,332931,93567,51838,103478,32847,265574,182051,199513,151707,39305,8501
1991:Q1,White,19663329,22517772,6190658,1760203,2183732,3351122,1055599,2668372,5308087,2854443,2078641,634813,140989
1991:Q1,Black,930297,1148288,347361,131881,24562,364030,71542,66587,142326,217991,136678,76789,4524
1991:Q1,Hispanic,464331,688349,275922,78251,16071,102377,24365,83315,108048,224019,161814,53133,9072
1991:Q1,Other,890824,1090051,333463,97449,63049,104718,36039,264138,191195,199227,152558,37472,9197
1991:Q2,White,19706676,22613682,6238749,1771977,2167741,3416061,1075500,2664692,5278961,2907006,2131798,635447,139761
1991:Q2,Black,947774,1171065,351420,133534,25654,372768,74220,71301,142168,223291,142133,76239,4919
1991:Q2,Hispanic,462662,686078,274830,78261,15764,101917,24423,86547,104336,223416,162448,53068,7900
1991:Q2,Other,908495,1109108,337812,99926,63657,105856,37997,262445,201415,200613,154272,36552,9789
1991:Q3,White,19989244,22938721,6297739,1791421,2315039,3480528,1114409,2651411,5288174,2949477,2162363,638308,148806
1991:Q3,Black,973088,1196860,357542,131767,27867,381560,79148,75815,143161,223772,141372,76640,5760
1991:Q3,Hispanic,467296,683700,272373,78965,16275,101022,24851,89190,101024,216404,157277,52029,7098
1991:Q3,Other,934638,1134117,342736,101322,69572,106620,40665,259739,213463,199478,153491,35523,10464
1991:Q4,White,20526648,23549697,6356322,1802568,2723517,3546538,1162131,2624374,5334248,3023049,2213424,650020,159605
1991:Q4,Black,997291,1227946,361474,133222,31780,390638,85216,79991,145625,230654,145113,78866,6675
1991:Q4,Hispanic,466547,679832,268741,78309,18048,99794,25404,91141,98394,213284,155286,51649,6349
1991:Q4,Other,963061,1163302,344048,103349,84018,107164,43607,255987,225129,200241,154058,35047,11136
1992:Q1,White,20503778,23559286,6422603,1811548,2670728,3637094,1165967,2607249,5244096,3055508,2261956,635959,157593
1992:Q1,Black,1025846,1252167,364365,137759,32782,402726,86132,84694,143708,226321,143860,75448,7013
1992:Q1,Hispanic,462105,665321,262533,76925,17331,98951,24729,93092,91760,203216,148813,49276,5127
1992:Q1,Other,976056,1174039,345044,105972,82844,109004,44599,252071,234506,197983,153647,32670,11666
1992:Q2,White,20575761,23681225,6477410,1826947,2676318,3722345,1189263,2598030,5190912,3105464,2303038,637832,164594
1992:Q2,Black,1054910,1281529,367944,142037,34197,413816,89468,89864,144203,226618,143153,75692,7773
1992:Q2,Hispanic,462703,657063,256377,75912,16870,100616,24509,94978,87801,194360,142554,47548,4258
1992:Q2,Other,996891,1192892,346323,108326,83458,117757,46327,247973,242727,196001,152498,31260,12243
1992:Q3,White,20903458,24070408,6580997,1848698,2801442,3807620,1227427,2604619,5199606,3166950,2354466,647240,165244
1992:Q3,Black,1074487,1308472,372928,138532,36407,424975,94619,95793,145218,233986,148525,77185,8276
1992:Q3,Hispanic,467496,658386,257942,75880,16940,101859,24553,96996,84216,190890,140682,47019,3189
1992:Q3,Other,1026094,1221494,352121,108615,87787,126026,48542,243973,254430,195400,152206,30489,12705
1992:Q4,White,21470890,24700103,6669742,1872627,3155372,3887055,1270663,2614402,5230242,3229213,2395320,665869,168024
1992:Q4,Black,1086592,1326380,380059,136672,38698,434831,96593,91723,147804,239788,152593,79237,7958
1992:Q4,Hispanic,470789,661043,254024,75967,18313,106221,29476,90462,86580,190255,139817,47407,3031
1992:Q4,Other,1045026,1242347,348378,108202,99962,144111,51815,233691,256188,197320,153174,32256,11890
1993:Q1,White,21764813,25011521,6707459,1877660,3281355,3933203,1328366,2669487,5213991,3246708,2414203,654540,177965
1993:Q1,Black,1107461,1342205,377023,145359,39574,440732,100165,89072,150281,234744,152553,74205,7986
1993:Q1,Hispanic,466422,651678,244526,73468,18535,109197,34180,84973,86798,185256,135718,46423,3115
1993:Q1,Other,1054833,1250311,341097,110127,104471,159482,55412,224340,255381,195478,152231,32094,11153
1993:Q2,White,22024786,25330522,6806056,1909926,3343620,3980579,1360907,2722541,5206893,3305736,2461246,664783,179707
1993:Q2,Black,1114972,1354909,384841,143354,40056,446717,100731,86136,153074,239937,158309,73996,7632
1993:Q2,Hispanic,471233,656267,246790,73820,18427,111814,37903,79397,88117,185034,135517,46598,2919
1993:Q2,Other,1062919,1259793,342401,109347,106759,174333,57854,214654,254446,196875,153274,33284,10317
1993:Q3,White,22421261,25799967,6912654,1943710,3512888,4030787,1401928,2787732,5210268,3378706,2502821,684517,191368
1993:Q3,Black,1118279,1367438,393395,139940,41181,452925,102307,83422,154268,249159,165591,75818,7750
1993:Q3,Hispanic,470328,656807,244654,74200,18742,114193,41463,74143,89413,186479,136131,47305,3043
1993:Q3,Other,1075152,1273758,345318,108216,112145,188823,60503,205119,253634,198606,153989,35029,9588
1993:Q4,White,22846131,26306363,7021737,1977958,3682051,4077540,1426385,2844841,5275851,3460233,2540879,719310,200044
1993:Q4,Black,1119288,1378355,398094,141918,42287,458552,101784,80183,155537,259067,169864,81487,7716
1993:Q4,Hispanic,468867,654502,241618,74082,19020,116282,44312,68802,90386,185635,134696,47873,3066
1993:Q4,Other,1084785,1285363,345292,108290,117330,202710,62385,195317,254038,200578,154237,37500,8841
1994:Q1,White,22972916,26464842,7106619,1996778,3530058,4126723,1438751,2919073,5346839,3491926,2568048,719524,204354
1994:Q1,Black,1124303,1384825,397149,147523,41425,464240,99802,77354,157331,260522,174393,78588,7541
1994:Q1,Hispanic,461545,645825,235076,72638,18022,118336,46685,64002,91066,184280,133552,47765,2963
1994:Q1,Other,1089875,1289976,343525,109219,112995,216457,63773,185976,258032,200101,153961,37998,8142
1994:Q2,White,23145679,26713312,7206826,2028986,3448732,4174089,1467599,3002888,5384191,3567633,2610363,747835,209435
1994:Q2,Black,1126674,1394773,402957,148840,40965,469426,99589,74668,158328,268099,178020,82630,7449
1994:Q2,Hispanic,462525,645607,235094,72489,17369,120390,49206,59605,91454,183083,132124,48063,2896
1994:Q2,Other,1098447,1300601,345585,109299,110942,230004,65717,176983,262071,202154,154609,40052,7493
1994:Q3,White,23491137,27135931,7304306,2068122,3518597,4225042,1515032,3070004,5434828,3644794,2652480,781107,211207
1994:Q3,Black,1128506,1405542,409639,146452,41397,474690,101516,71127,160721,277036,182136,87763,7137
1994:Q3,Hispanic,463321,646130,232572,73160,17350,122703,52057,55078,93210,182810,131414,48656,2740
1994:Q3,Other,1110480,1315218,347124,108779,113423,243821,68388,167774,265908,204737,155515,42426,6796
1994:Q4,White,23696782,27444485,7367358,2096752,3471328,4270036,1505305,3136003,5597703,3747703,2694095,829304,224304
1994:Q4,Black,1117310,1406542,415370,145299,41080,478842,96746,67320,161886,289232,185101,96632,7499
1994:Q4,Hispanic,466782,649870,234761,73305,16965,125242,53775,50787,95035,183087,130612,49552,2923
1994:Q4,Other,1115238,1323834,344308,108781,112798,257662,69087,158787,272411,208596,156635,45680,6281
1995:Q1,White,24181872,27957219,7418505,2130474,3690913,4327812,1572195,3190578,5626742,3775347,2717737,833607,224003
1995:Q1,Black,1126763,1415751,415288,146707,42341,484024,100712,62839,163840,288988,187348,94460,7180
1995:Q1,Hispanic,475536,658308,236720,73890,17629,128553,57163,46517,97836,182772,130152,49872,2748
1995:Q1,Other,1134966,1344436,344690,109624,119951,272679,72674,149804,275013,209469,157198,46607,5664
1995:Q2,White,24735247,28582753,7500303,2160650,3926863,4415118,1646416,3248706,5684697,3847506,2754000,864178,229328
1995:Q2,Black,1125824,1424535,421808,139362,43634,489317,105515,58277,166622,298712,193059,98372,7281
1995:Q2,Hispanic,479223,665928,237523,75283,18436,129652,60980,42577,101476,186705,132541,51409,2755
1995:Q2,Other,1140695,1354280,348674,109036,127874,267957,76797,141199,282742,213585,159236,49167,5182
1995:Q3,White,25154114,29094645,7414943,2184857,4226539,4497424,1730831,3323240,5716810,3940530,2796501,900481,243548
1995:Q3,Black,1113005,1421485,417054,134139,45227,493359,111123,54177,166406,308480,196827,103822,7831
1995:Q3,Hispanic,486031,677042,239836,76709,19587,131573,65334,39222,104780,191011,134915,53072,3024
1995:Q3,Other,1135793,1354902,341304,109319,138023,263992,81486,133292,287487,219109,162095,52224,4790
1995:Q4,White,25824800,29843841,7477540,2208775,4547802,4592382,1801602,3360285,5855455,4019041,2822548,950639,245854
1995:Q4,Black,1120506,1438084,423286,134737,52399,486767,113854,55527,171513,317577,200683,108955,7939
1995:Q4,Hispanic,502361,694413,240953,77173,23666,135342,66461,41849,108969,192052,133993,54688,3371
1995:Q4,Other,1122191,1345979,347469,108621,141887,251869,84652,138870,272611,223788,163284,53878,6626
1996:Q1,White,26318123,30397767,7571344,2237566,4712726,4681906,1869648,3381582,5942994,4079644,2868967,951312,259365
1996:Q1,Black,1130743,1447391,423699,137725,58413,479030,116211,56175,176138,316648,207557,101948,7143
1996:Q1,Hispanic,519265,714965,242759,78294,27364,140018,67853,44462,114215,195701,135912,55921,3868
1996:Q1,Other,1111057,1338359,352860,108857,142089,240201,88187,144606,261559,227302,166424,53027,7851
1996:Q2,White,26758656,30921320,7663182,2256830,4898962,4770067,1914590,3412281,6005407,4162664,2915121,982345,265198
1996:Q2,Black,1130919,1451392,429531,134188,64331,470786,115918,57147,179490,320473,210623,102610,7240
1996:Q2,Hispanic,540164,738844,246200,79804,31353,145589,69075,47609,119215,198680,136647,57609,4424
1996:Q2,Other,1102802,1336407,361895,107994,143417,228874,91339,151085,251804,233605,169817,54015,9773
1996:Q3,White,27018893,31262517,7746644,2282062,4908476,4856140,1968860,3438606,6061729,4243624,2963830,1012220,267574
1996:Q3,Black,1132572,1455977,432478,133316,68936,462111,116610,57908,184617,323404,213620,102981,6803
1996:Q3,Hispanic,569469,772012,256320,81865,34885,151942,70646,50975,125380,202544,138110,59564,4870
1996:Q3,Other,1097812,1338240,372651,107933,140209,217577,95175,157895,246801,240428,173801,55083,11544
1996:Q4,White,27640400,31964191,7817624,2298626,5139223,4926394,2113641,3503304,6165379,4323791,3003769,1049987,270035
1996:Q4,Black,1143351,1471103,429219,136923,74749,451589,127160,60114,191349,327752,216901,105016,5835
1996:Q4,Hispanic,599504,807031,264545,83361,39535,158692,73647,55506,131746,207527,140274,62149,5104
1996:Q4,Other,1097309,1344705,377717,109020,143495,205345,102248,166042,240838,247396,177687,56725,12984
1997:Q1,White,27833177,32187950,7880367,2322704,5187485,5013566,2133878,3581767,6068182,4354773,3034256,1038708,281809
1997:Q1,Black,1149256,1469019,425419,138848,79238,443104,124180,62786,195444,319763,217207,96432,6124
1997:Q1,Hispanic,630926,841377,271786,85660,43661,166366,74784,60646,138475,210451,140950,63403,6098
1997:Q1,Other,1097176,1349032,386017,109831,141798,193684,105564,174830,237308,251855,181036,55632,15187
1997:Q2,White,29074095,33504994,7985933,2335691,5977077,5114082,2338191,3636722,6117298,4430898,3076349,1060555,293994
1997:Q2,Black,1173968,1495091,429676,134321,88451,436356,141709,64542,200036,321123,219753,95238,6132
1997:Q2,Hispanic,671518,887531,282449,87917,51347,174779,79612,65503,145925,216014,143190,65790,7034
1997:Q2,Other,1118001,1376990,397111,109036,161509,182308,115734,183207,228085,258988,185295,56455,17238
1997:Q3,White,29969300,34497858,8080378,2358865,6441255,5209436,2502835,3702928,6202161,4528559,3145060,1085164,298335
1997:Q3,Black,1187688,1512855,431120,131769,95510,429374,154780,66712,203589,325167,225355,94690,5122
1997:Q3,Hispanic,711521,934560,294141,90751,57928,183410,83639,70829,153862,223039,147574,68498,6967
1997:Q3,Other,1126005,1393257,407679,108609,172071,170094,124625,191949,218230,267251,191290,57453,18508
1997:Q4,White,30460295,35069272,8184599,2377847,6571550,5289292,2504755,3815992,6325237,4608977,3180649,1118452,309876
1997:Q4,Black,1191632,1517300,428886,137480,100436,421129,149993,70586,208790,325668,223979,96338,5351
1997:Q4,Hispanic,748502,974483,303496,92567,63173,191866,84050,77446,161885,225981,147033,70592,8356
1997:Q4,Other,1120807,1395248,413309,110066,172840,156331,127638,201884,213180,274441,194698,58782,20961
1998:Q1,White,31958487,36614602,8328952,2399101,7491466,5413766,2720764,3849111,6411442,4656116,3230111,1106343,319662
1998:Q1,Black,1230531,1549332,430780,136361,110500,418480,168949,71633,212629,318800,224899,88716,5185
1998:Q1,Hispanic,795412,1023913,315080,95046,72438,201306,88964,82203,168875,228500,147637,71561,9302
1998:Q1,Other,1144395,1423641,424858,109553,196720,144498,138446,209502,200064,279246,198797,57423,23026
1998:Q2,White,32591508,37354588,8533239,2423538,7643248,5513343,2753769,3925397,6562054,4763080,3293096,1143148,326836
1998:Q2,Black,1238030,1565269,437815,137480,115802,415799,168058,74309,216005,327239,231352,91085,4802
1998:Q2,Hispanic,833170,1069153,327174,97385,78059,213082,89772,88011,175670,235984,151535,74612,9837
1998:Q2,Other,1153445,1440886,439817,109305,197589,148024,142517,217917,185718,287441,203719,58898,24824
1998:Q3,White,31991093,36845340,8725100,2458639,6775089,5591194,2578944,3968847,6747527,4854247,3356487,1171879,325881
1998:Q3,Black,1210010,1543426,443058,130477,114450,411618,144484,75953,223387,333417,237246,92034,4137
1998:Q3,Hispanic,871905,1113824,350543,101062,78133,224051,85235,92887,181913,241919,154371,77084,10464
