Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2022:Q2,pct60to80,23462379,9988036,8365867,1622169,13474344,2123987,318605,275091,275091,0,132996,127135,5861,2312471,283916,567874,1381316,4446766,1312995,318328,4293139,4287098,2973057,1212249,51690,50102,6041,19169240,26213756,,
2022:Q2,pct40to60,14606358,6865899,5711219,1154680,7740459,1423096,175160,155936,155936,0,39038,27077,11961,1337221,175670,171700,541844,2341783,1113364,265648,2620956,2617271,1644554,883329,34933,54455,3685,11985402,26218055,,
2022:Q2,pct20to40,7750678,4074481,3343627,730854,3676197,930111,82832,83773,83773,0,1619,0,1619,369035,67381,68177,170954,1360940,355598,185778,1346427,1344997,719961,590544,27058,7434,1429,6404251,26209333,,
2022:Q2,pct00to20,5017721,2788368,2283407,504961,2229353,462332,47956,49798,49798,0,24459,22866,1594,641743,52160,12573,78289,221473,538492,100077,767891,766799,361621,363436,31741,10000,1092,4249829,26213253,,
2022:Q3,pct99to100,31687987,6254154,5472791,781363,25433833,2989463,482821,999332,999332,0,439727,428757,10970,11973299,409356,76850,1011782,580215,6367702,103286,1377761,1371182,929699,150087,105235,186161,6579,30310226,1313433,1197734,9394409871
2022:Q3,pct80to99,71665133,21250942,18569789,2681153,50414191,6655610,1645276,1648759,1648759,0,555699,510930,44769,16279908,974802,1487835,5668327,8270573,6724101,503301,7858639,7838072,5763809,1515237,99014,460011,20567,63806494,24947839,151328,1197734
2022:Q3,pct60to80,23048450,9894399,8236364,1658035,13154051,2104454,326329,339916,339916,0,127455,122243,5212,2162284,282363,539952,1293276,4338392,1316182,323449,4366927,4360902,3025072,1232746,53238,49846,6025,18681523,26261368,90796,151328
2022:Q3,pct40to60,14616563,6929245,5748110,1181135,7687317,1403950,181536,188782,188782,0,42206,30152,12054,1320037,177688,150717,503545,2305958,1141172,271727,2678802,2675046,1690332,892039,36146,56529,3756,11937760,26267101,54444,90796
2022:Q3,pct20to40,7763035,4056596,3310349,746247,3706439,925155,85562,95293,95293,0,3578,2503,1075,347997,64608,68509,163198,1399239,363331,189968,1364852,1363486,729446,598952,28216,6872,1367,6398183,26255828,31247,54417
2022:Q3,pct00to20,4943482,2702911,2184192,518719,2240571,460952,47639,72483,72483,0,23144,21625,1519,634676,52433,12222,80687,208121,547118,101097,783538,782430,371828,365252,33803,11546,1109,4159944,26260886,0,31166
2022:Q4,pct99to100,32419667,6207115,5417799,789316,26212552,2900972,522212,1258468,1258468,0,418426,407721,10705,12687836,415330,77197,1058238,569088,6199282,105504,1398726,1393405,942821,156592,108112,185880,5321,31020941,1316499,,
2022:Q4,pct80to99,72407940,20989788,18285875,2703913,51418152,6480127,1733290,2003244,2003244,0,533950,490244,43705,17066519,987578,1498823,5903803,8153485,6543331,514004,7876626,7857075,5822555,1547676,105209,381635,19552,64531313,25006078,,
2022:Q4,pct60to80,23028154,9656377,7983681,1672696,13371777,2068930,339448,458333,458333,0,120846,115809,5036,2285900,285759,544849,1376255,4277437,1283482,330539,4431670,4425812,3055715,1265875,55614,48608,5859,18596484,26322674,,
2022:Q4,pct40to60,14476561,6735588,5545163,1190425,7740973,1366009,189009,241388,241388,0,42932,31332,11600,1369153,179933,152908,535924,2284293,1101084,278339,2723214,2719374,1715430,909803,38957,55184,3841,11753346,26328420,,
2022:Q4,pct20to40,7711483,3967011,3213109,753902,3744471,911455,90678,112433,112433,0,5271,4383,888,365215,64910,69028,171309,1398941,360687,194544,1396513,1395176,737835,616965,31399,8977,1337,6314970,26317122,,
2022:Q4,pct00to20,4976666,2674423,2149213,525210,2302243,462320,48640,120088,120088,0,21601,20222,1379,654119,53579,12316,81034,203320,541703,103522,795446,794393,379736,361558,37006,16093,1053,4181220,26322191,,
2023:Q1,pct99to100,33418729,6206307,5410766,795541,27212422,2807229,611087,1438004,1438004,0,407273,396532,10741,13563064,424888,78586,1111675,574923,6088778,106914,1410375,1404585,954583,158648,104910,186444,5790,32008354,1320841,,
2023:Q1,pct80to99,73889079,20980575,18241167,2739408,52908503,6294710,1926096,2231192,2231192,0,523200,479346,43854,18027498,1007972,1554636,6174208,8223613,6424562,520816,7875563,7855570,5842700,1543439,97630,371800,19993,66013515,25088553,,
2023:Q1,pct60to80,23418339,9670909,7976684,1694225,13747431,2031898,367363,547688,547688,0,117431,112378,5054,2437242,291169,571262,1472126,4314077,1262144,335030,4420617,4414675,3053298,1259996,52789,48591,5942,18997722,26409492,,
2023:Q1,pct40to60,14620903,6758957,5552515,1206442,7861947,1325897,204954,278718,278718,0,43663,32023,11640,1428909,183515,165861,573336,2300394,1074234,282467,2734049,2730222,1728914,910664,35471,55173,3827,11886854,26415257,,
2023:Q1,pct20to40,7771133,3977718,3214323,763396,3793414,897248,101986,122480,122480,0,6323,5431,891,386256,65370,71685,180650,1404673,359338,197405,1401042,1399689,743691,619312,27382,9303,1353,6370091,26403921,,
2023:Q1,pct00to20,5050963,2678797,2146057,532740,2372166,464106,50538,160030,160030,0,20852,19468,1384,677681,55426,12801,81373,205667,538652,105040,798288,797211,387478,359952,32994,16787,1077,4252675,26409007,,
2023:Q2,pct99to100,34805383,6508966,5703780,805186,28296417,2761851,663681,1445868,1445868,0,408151,397497,10654,14450912,431163,79596,1163711,581044,6202389,108052,1423377,1417592,963984,163203,103733,186673,5785,33382006,1322127,,
2023:Q2,pct80to99,76541876,22125202,19354580,2770622,54416674,6204509,2037045,2241236,2241236,0,523896,480392,43504,18990447,1021219,1597973,6435419,8292394,6546228,526308,7939233,7919228,5880687,1560520,95123,382898,20004,68602643,25112976,,
2023:Q2,pct60to80,24159512,10076257,8362099,1714159,14083255,2013415,382962,551577,551577,0,117659,112663,4996,2590417,294649,592056,1567497,4349950,1284401,338670,4457776,4451830,3072009,1279186,51824,48810,5946,19701736,26435201,,
2023:Q2,pct40to60,14924308,6918983,5699627,1219356,8005324,1306405,213890,280350,280350,0,43519,32027,11492,1487619,185832,176255,610556,2314687,1100342,285869,2759395,2755564,1746211,919604,34336,55413,3831,12164913,26440971,,
2023:Q2,pct20to40,7973219,4139734,3366072,773661,3833486,890087,108552,122926,122926,0,6220,5389,831,407373,65610,73751,189798,1407631,361779,199759,1416628,1415274,749446,630705,26098,9025,1354,6556591,26429624,,
2023:Q2,pct00to20,5223768,2815687,2274062,541625,2408081,464658,51465,161756,161756,0,20863,19525,1338,700399,56676,13179,81416,208223,543158,106287,795803,794725,393359,353482,31701,16183,1078,4427966,26434716,,
2023:Q3,pct99to100,34243240,6576041,5772334,803708,27667199,2718469,718381,1469481,1469481,0,378283,367621,10663,13850790,428201,82469,1136766,571190,6204154,109014,1436547,1430409,974177,166101,103370,186760,6138,32806693,1321504,,
2023:Q3,pct80to99,76054932,22378047,19603034,2775013,53676885,6117314,2149750,2269584,2269584,0,493838,450298,43540,18340617,1014964,1727625,6300279,8183803,6548169,530942,8021004,8000713,5928711,1567695,94457,409850,20291,68033928,25101141,,
2023:Q3,pct60to80,24104890,10166728,8450355,1716373,13938161,1994550,398401,564006,564006,0,108600,103597,5003,2486912,293005,654870,1518004,4293345,1284711,341756,4496138,4490144,3099421,1289934,51555,49234,5994,19608752,26422742,,
2023:Q3,pct40to60,14909750,6954559,5732714,1221845,7955191,1287609,222757,285341,285341,0,44779,33269,11509,1448104,184738,208069,591240,2292842,1100915,288797,2783466,2779658,1767586,922157,34041,55874,3808,12126284,26428510,,
2023:Q3,pct20to40,8002047,4180157,3406114,774043,3821890,882629,115271,124078,124078,0,8573,7733,839,393120,65496,79942,185058,1404242,361699,201782,1428608,1427245,755964,637205,25776,8300,1363,6573439,26417168,,
2023:Q3,pct00to20,5241816,2846998,2305198,541800,2394818,464516,52261,167653,167653,0,18933,17589,1344,685149,56087,14311,81410,204066,543075,107359,791775,790681,399812,344879,31372,14618,1094,4450042,26422257,,
2023:Q4,pct99to100,35798531,6533593,5721441,812152,29264938,2732277,771209,1567597,1567597,0,389684,379077,10607,15344460,432418,79895,1232469,593143,6010413,111373,1450469,1443994,982877,170468,103818,186830,6476,34348062,1322177,,
2023:Q4,pct80to99,78194092,22226011,19445800,2780212,55968081,6145310,2257798,2385675,2385675,0,505219,461904,43315,19952658,1023849,1611318,6778656,8424801,6340478,542318,8074289,8053708,5965234,1586366,95289,406819,20581,70119804,25113916,,
2023:Q4,pct60to80,24598452,10107405,8386236,1721170,14491047,2000857,413078,616353,616353,0,112034,107067,4966,2744373,295336,598507,1695330,4418958,1246909,349313,4535262,4529218,3118188,1309935,51890,49205,6044,20063190,26436189,,
2023:Q4,pct40to60,15065782,6926094,5703791,1222303,8139688,1293632,231194,306165,306165,0,44249,32833,11416,1545597,186291,179511,660450,2341012,1055675,295912,2810436,2806646,1784138,932255,34410,55843,3790,12255346,26441960,,
2023:Q4,pct20to40,8035348,4145686,3367230,778457,3889662,885157,121729,128690,128690,0,7666,6865,802,428493,65650,74388,201934,1411211,358043,206701,1445876,1444504,761343,648591,26180,8390,1372,6589473,26430613,,
