Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3549688,801356,535477,265880,2748332,318257,98050,396873,305391,91482,71381,64729,6653,751178,42018,11265,95128,106980,840175,17027,151752,150016,99212,27116,1333,22354,1736,3397936,932032,244112,269339639
1989:Q3,pct80to99,10473101,3733892,3038466,695426,6739208,1222367,172595,397359,366819,30540,127879,47787,80093,928381,174502,204960,412513,1573422,1428478,96752,1480414,1472605,1149185,247150,1687,74582,7809,8992687,17675472,52161,244112
1989:Q3,pct60to80,4196023,1842495,1406481,436014,2353528,531316,57985,131330,99325,32005,26581,13803,12778,225319,76469,64699,82042,830796,276794,50196,843147,839724,566210,247835,379,25300,3423,3352876,18601147,32302,52161
1989:Q3,pct40to60,2972790,1250833,999838,250995,1721957,453567,19935,79929,64064,15865,24564,7577,16987,120511,33775,40254,39305,628717,247878,33521,425093,423581,258912,159522,730,4417,1512,2547697,18605233,20512,32291
1989:Q3,pct20to40,1748750,841808,669590,172218,906942,317186,11911,32903,31498,1405,38974,34266,4708,41505,21362,6687,49067,238036,128551,20759,189179,188223,113386,69864,249,4724,956,1559571,18612879,10366,20458
1989:Q3,pct00to20,652405,318964,243317,75647,333442,113774,2168,8077,6817,1260,4486,701,3785,23550,12066,966,7137,104377,47747,9093,63188,62648,24249,32719,154,5526,540,589218,18593339,0,10361
1989:Q4,pct99to100,3634428,818348,548492,269856,2816080,324884,104243,401512,308845,92666,79028,70689,8340,761986,42294,11943,100741,113648,858513,17289,160452,158444,105127,27253,1265,24799,2009,3473976,934209,,
1989:Q4,pct80to99,10658734,3787558,3085569,701990,6871175,1241120,179780,405259,370172,35087,133829,55347,78482,960646,179547,210193,430344,1605834,1426464,98159,1505500,1497428,1169882,254117,1641,71789,8072,9153233,17723278,,
1989:Q4,pct60to80,4285727,1867170,1426725,440445,2418557,536979,57329,132517,100240,32277,28093,15232,12861,231901,78008,69410,90058,857535,285477,51251,860059,856603,577830,253696,366,24711,3456,3425668,18647732,,
1989:Q4,pct40to60,3014647,1262650,1007275,255375,1751997,461893,21144,77858,61962,15896,28304,9590,18714,126949,36631,40788,40250,632097,251718,34366,436719,435158,265204,164187,703,5063,1561,2577928,18654910,,
1989:Q4,pct20to40,1772428,846069,668171,177898,926359,319868,12442,32748,30978,1771,40190,34908,5282,45880,22970,7629,47006,250805,125375,21447,198191,197183,115762,76299,263,4858,1008,1574238,18660123,,
1989:Q4,pct00to20,679533,338104,258085,80019,341429,115304,2299,8015,6570,1445,5058,897,4162,24741,12182,1078,6796,107149,49282,9524,66622,66078,26776,33733,150,5419,544,612912,18641987,,
1990:Q1,pct99to100,3614931,820875,555694,265180,2794056,321376,114208,398583,309155,89427,93608,83499,10110,697897,41360,12621,102793,119651,874155,17805,169144,167363,113510,24925,1532,27395,1782,3445786,936405,,
1990:Q1,pct80to99,10665927,3787137,3067847,719290,6878789,1238692,193279,407325,371068,36257,146205,69396,76809,912325,182080,215361,431175,1630735,1420821,100791,1531197,1523295,1199837,247828,2050,73580,7903,9134729,17770723,,
1990:Q1,pct60to80,4332763,1880651,1431439,449213,2452112,537827,57534,129964,99641,30323,31599,18625,12974,223621,78893,74095,91291,880429,293738,53119,867814,864405,595145,244629,454,24177,3409,3464949,18694469,,
1990:Q1,pct40to60,3042248,1276860,1009415,267444,1765388,465330,22830,73827,59138,14689,32287,11686,20601,127413,39059,41305,38430,634070,254863,35975,446544,444908,276402,161806,870,5830,1636,2595704,18704260,,
1990:Q1,pct20to40,1801276,860534,677756,182778,940742,320483,13384,32188,30255,1933,41450,35496,5955,48023,24549,8570,44005,263373,122052,22664,202035,200991,119555,76203,361,4872,1044,1599241,18707343,,
1990:Q1,pct00to20,701181,353910,270833,83077,347271,116762,2424,7327,5799,1528,6093,1491,4602,24231,12052,1190,6506,109684,50765,10236,73653,73130,30950,36929,191,5060,523,627527,18690569,,
1990:Q2,pct99to100,3680589,833008,564255,268753,2847581,318577,111254,411636,321497,90139,95818,83891,11927,712461,40832,13497,105888,125948,893809,17861,178495,176762,121431,24201,1217,29912,1734,3502094,938620,,
1990:Q2,pct80to99,10806554,3835249,3110993,724257,6971304,1237734,184828,422440,381215,41224,148397,73590,74808,949896,185479,227229,436590,1658677,1418834,101200,1554281,1546394,1223652,248697,1674,72372,7887,9252272,17817848,,
1990:Q2,pct60to80,4405666,1896495,1443837,452658,2509171,539028,54502,135129,104794,30335,31587,18583,13004,231231,80007,81871,94440,904967,302892,53517,878863,875473,607634,243868,368,23603,3390,3526803,18741373,,
1990:Q2,pct40to60,3066685,1276087,1004766,271321,1790599,469138,22898,73288,58731,14557,36696,14334,22361,134507,41648,43388,37284,636592,258960,36199,457906,456205,285460,163519,703,6524,1701,2608779,18753322,,
1990:Q2,pct20to40,1822131,866910,678708,188202,955221,321248,12900,32543,30201,2342,40972,34475,6497,52775,26149,9827,41109,276096,118676,22925,209222,208136,122865,79989,318,4964,1086,1612909,18754564,,
1990:Q2,pct00to20,726011,369800,282604,87196,356211,118236,2571,8722,6987,1734,6419,1462,4957,25569,12005,1357,6185,112327,52377,10442,78843,78332,34876,38438,155,4863,512,647168,18739110,,
1990:Q3,pct99to100,3583473,839340,578690,260649,2744134,318191,120105,425663,337072,88591,99584,85763,13822,555826,39888,14032,106013,131775,914926,18131,186108,184449,127924,23729,516,32279,1660,3397365,940854,,
1990:Q3,pct80to99,10721441,3848826,3111936,736890,6872615,1241806,196288,437881,393415,44466,152318,79617,72701,799672,188025,227366,427769,1681151,1417701,102637,1570286,1562437,1244678,251939,727,65093,7850,9151155,17864691,,
1990:Q3,pct60to80,4442397,1919222,1461251,457971,2523175,541390,54316,140784,111598,29187,32010,18967,13043,203989,80901,84255,91754,926740,312436,54600,891099,887732,619029,245601,159,22943,3367,3551298,18788459,,
1990:Q3,pct40to60,3096210,1297606,1015541,282064,1798605,474144,24457,72495,58719,13776,41469,17241,24229,126920,44100,42720,33781,638072,263381,37066,467825,466056,292352,166331,301,7072,1769,2628385,18802136,,
1990:Q3,pct20to40,1850820,886400,695632,190768,964421,322507,13712,32859,30210,2649,40303,33207,7095,51734,27744,10536,37489,288700,115205,23631,216757,215630,125481,84784,148,5217,1127,1634064,18801813,,
1990:Q3,pct00to20,749290,387487,299676,87811,361803,119739,2703,10678,8788,1889,6872,1525,5348,22851,11873,1428,5924,114802,54050,10884,83278,82780,37803,39918,65,4994,499,666011,18787634,,
1990:Q4,pct99to100,3725315,840477,584468,256009,2884837,324249,123862,449290,353672,95619,109492,93721,15771,625386,39007,14716,112430,137811,930210,18384,192908,191064,132698,22910,557,34899,1844,3532407,943108,,
1990:Q4,pct80to99,10895621,3820064,3073556,746507,7075558,1259307,199099,464776,405839,58937,162090,91714,70377,899657,190719,232519,448120,1705717,1409565,103988,1593820,1585785,1263364,254925,815,66680,8036,9301801,17911292,,
1990:Q4,pct60to80,4530293,1922928,1460613,462315,2607365,546808,52864,151815,119032,32783,34194,21157,13037,223416,81835,88955,101220,949666,320966,55627,902813,899427,630065,246786,177,22399,3386,3627480,18835743,,
1990:Q4,pct40to60,3146495,1310035,1019497,290538,1836460,482299,25376,74236,58608,15628,46263,20208,26055,139400,46587,43225,34926,639925,266342,37880,475585,473761,296892,168693,333,7843,1824,2670910,18850742,,
1990:Q4,pct20to40,1875108,891331,697131,194200,983776,325067,13963,33858,30134,3724,39015,31384,7631,58760,29349,11482,34998,301429,111554,24301,222948,221771,127291,89063,181,5236,1177,1652160,18849114,,
1990:Q4,pct00to20,774343,400603,311130,89473,373740,121300,2843,13279,10873,2405,7680,1982,5697,25593,11753,1540,5501,117354,55591,11308,86729,86231,39501,42014,74,4642,498,687614,18836164,,
1991:Q1,pct99to100,3862862,845448,588021,257427,3017414,322989,140565,432798,336206,96592,111891,94166,17725,737850,38146,15292,120965,143848,934621,18448,198009,196282,137650,20232,932,37468,1727,3664853,945382,,
1991:Q1,pct80to99,11111472,3822552,3068740,753812,7288919,1261541,223552,462333,394311,68022,165540,97842,67699,1046734,193471,234046,478168,1730037,1389070,104427,1602984,1595023,1280639,247126,1432,65827,7961,9508488,17957690,,
1991:Q1,pct60to80,4605111,1928454,1461770,466684,2676657,548779,54254,142740,109473,33266,34065,21170,12895,250966,82786,91971,114971,972533,327539,56053,901303,897947,639791,236028,307,21821,3356,3703808,18883239,,
1991:Q1,pct40to60,3177428,1311851,1015385,296466,1865578,486940,27916,68038,52286,15752,51387,23809,27577,155221,49094,42884,37641,641712,266618,38125,477528,475635,301185,165314,578,8558,1894,2699900,18899180,,
1991:Q1,pct20to40,1894593,892991,693204,199787,1001602,326154,15620,33044,28585,4459,37059,29162,7897,67300,30962,12254,32735,314210,107684,24580,223875,222657,129090,87900,348,5320,1217,1670719,18896494,,
1991:Q1,pct00to20,792987,413891,320283,93608,379096,122816,2961,9543,6788,2754,7873,2002,5871,29342,11638,1622,4994,119906,56875,11524,91981,91498,41337,45607,133,4421,483,701006,18884725,,
1991:Q2,pct99to100,3856567,851806,597866,253940,3004761,307733,135526,443998,347347,96651,110500,90720,19780,714535,37765,15945,125182,150092,944937,18547,206321,204757,145416,19028,273,40041,1564,3650246,947676,,
1991:Q2,pct80to99,11137345,3840293,3080763,759530,7297053,1234599,211522,480459,403123,77335,166230,101193,65037,1045623,197248,238053,487620,1756440,1374226,105033,1623538,1615693,1304861,245739,434,64659,7845,9513808,18003925,,
1991:Q2,pct60to80,4655416,1939862,1470826,469036,2715554,544169,50789,147401,114056,33345,32838,20016,12822,251509,84007,96142,120176,996544,335389,56591,910099,906780,652759,232694,93,21234,3319,3745318,18930962,,
1991:Q2,pct40to60,3199895,1320912,1017977,302934,1878984,484832,27749,66621,50976,15645,57396,28033,29363,159871,51790,43119,36946,643877,268308,38475,487286,485320,310132,165748,172,9268,1966,2712609,18947491,,
1991:Q2,pct20to40,1914237,903858,700771,203088,1010378,324442,14908,33469,28242,5227,35136,26792,8344,71360,32598,13147,29498,327112,103777,24931,229626,228370,132359,90485,113,5413,1256,1684611,18943978,,
1991:Q2,pct00to20,816462,429778,334607,95170,386684,124242,3121,10874,7759,3116,7937,1776,6161,29919,11621,1725,4587,122536,58342,11780,97456,96991,45124,47613,39,4216,465,719006,18933340,,
1991:Q3,pct99to100,3930301,854330,610134,244196,3075971,299821,135917,453292,362709,90583,114668,92840,21828,761111,36423,16572,132213,156293,951013,18648,215265,213865,152328,18487,214,42836,1400,3715036,949990,,
1991:Q3,pct80to99,11257627,3849322,3078190,771131,7408305,1222968,208588,490615,414623,75992,172460,110390,62070,1121470,199030,241188,510083,1782106,1354149,105647,1637611,1629882,1312728,244401,360,72393,7729,9620016,18050036,,
1991:Q3,pct60to80,4734014,1957730,1484304,473426,2776284,543041,48516,150092,120776,29316,33171,20555,12616,265822,84710,99906,131057,1020243,342588,57136,906615,903333,652546,229926,76,20786,3281,3827399,18978929,,
1991:Q3,pct40to60,3240718,1340065,1026039,314026,1900653,486307,28255,63277,50107,13170,63190,32358,30831,170302,54149,43150,38372,645885,268936,38831,493268,491230,313849,167050,140,10191,2039,2747450,18995714,,
1991:Q3,pct20to40,1947439,925381,720023,205358,1022057,324213,14787,33214,27963,5250,32038,23526,8512,77891,34213,13997,26638,340051,99728,25287,235439,234144,134505,94264,102,5273,1295,1712000,18991593,,
1991:Q3,pct00to20,843290,447036,351699,95338,396254,125732,3269,12660,9510,3150,8209,1938,6271,32156,11407,1821,4079,125150,59732,12039,100934,100486,48548,48372,32,3534,448,742356,18982034,,
1991:Q4,pct99to100,4126760,861427,621466,239962,3265332,298492,138515,456638,369398,87241,124786,101014,23772,921235,35587,17218,140349,162570,951083,18861,225811,224530,160233,18244,389,45663,1281,3900949,952325,,
1991:Q4,pct80to99,11526840,3860946,3084683,776264,7665894,1225088,209311,500142,420017,80125,184564,125882,58682,1320277,201890,244905,537578,1808385,1326959,106796,1669602,1661950,1333329,247093,699,80829,7652,9857238,18096063,,
1991:Q4,pct60to80,4837207,1973355,1498070,475285,2863852,545047,46712,150275,123179,27096,35172,23013,12159,301535,85697,103945,144273,1044324,348833,58039,917214,913963,662180,231278,145,20361,3251,3919993,19027153,,
1991:Q4,pct40to60,3287521,1354417,1033758,320659,1933104,491017,29040,59429,47706,11722,68113,36516,31597,189263,56706,43315,40629,647994,268077,39521,505545,503436,321961,170075,267,11133,2109,2781976,19043889,,
1991:Q4,pct20to40,1972430,935153,726579,208574,1037277,325318,14905,32990,27323,5666,26960,18853,8107,88071,35852,14877,23835,353067,95528,25876,243917,242582,137678,99568,216,5119,1336,1728512,19039364,,
1991:Q4,pct00to20,870010,462734,366030,96703,407276,127285,3415,13061,9701,3360,8578,2571,6007,36983,11297,1921,3514,127794,61007,12421,105138,104705,52499,49323,64,2820,432,764872,19030830,,
1992:Q1,pct99to100,4082182,870299,630444,239855,3211883,262192,147197,466334,380203,86130,115695,89922,25774,880060,34801,17798,143018,170245,955466,19078,235953,234755,169521,16648,427,48159,1198,3846229,954680,,
1992:Q1,pct80to99,11513661,3886368,3107897,778471,7627293,1154121,220070,518322,428059,90263,180531,125240,55291,1302111,204875,246494,538813,1850358,1303632,107965,1668559,1660953,1346519,238059,828,75547,7606,9845102,18142045,,
1992:Q1,pct60to80,4880142,1987591,1511218,476373,2892551,530476,46147,154108,127658,26451,31226,19497,11730,299088,86718,106980,146248,1076528,356075,58957,907225,903999,663969,220161,169,19699,3227,3972917,19075651,,
1992:Q1,pct40to60,3298590,1361522,1036558,324964,1937068,478672,30602,56896,45737,11158,75495,43013,32482,193132,59295,42987,38422,653102,268241,40224,511513,509334,329549,167723,310,11753,2178,2787078,19092058,,
1992:Q1,pct20to40,1982844,941485,728447,213038,1041359,319357,15677,33275,26748,6527,23635,15859,7776,92037,37500,15650,19902,366591,91260,26474,248190,246812,141101,100114,279,5318,1378,1734654,19087316,,
1992:Q1,pct00to20,893390,479485,379982,99503,413905,128551,3556,14414,10646,3768,7626,1834,5792,37258,11198,2004,3111,130952,62428,12808,111589,111171,57617,50648,77,2829,419,781801,19079752,,
1992:Q2,pct99to100,4055190,875711,637885,237826,3179479,252199,142861,456943,373633,83310,116239,88432,27806,863880,33359,18486,147702,165139,963339,19331,246075,244940,177475,16061,503,50902,1135,3809115,957057,,
1992:Q2,pct80to99,11586527,3907997,3123696,784301,7678530,1138153,209273,522725,424664,98061,186181,134343,51838,1311464,206507,251428,549328,1910921,1283241,109310,1681832,1674255,1357589,235703,1070,79894,7577,9904695,18188020,,
1992:Q2,pct60to80,4918135,2000425,1521265,479160,2917710,528411,42884,148031,123345,24686,30274,18989,11286,301462,87389,111601,152322,1091191,364151,59993,904139,900934,665245,216269,215,19205,3205,4013996,19124436,,
1992:Q2,pct40to60,3329518,1368435,1036746,331689,1961084,479203,30509,51366,41423,9943,82577,49219,33358,199010,61658,43429,37730,665336,269227,41038,519387,517140,335256,168891,391,12602,2247,2810132,19140259,,
1992:Q2,pct20to40,2003302,952101,734329,217773,1051200,318730,15045,32963,25731,7232,18391,10972,7419,96900,39137,16593,16203,383182,86906,27150,255065,253644,143886,104094,395,5270,1421,1748237,19135476,,
1992:Q2,pct00to20,920024,496606,394134,102472,423418,130050,3711,12472,8364,4108,7378,1818,5560,38126,10964,2115,2629,138764,63972,13237,115945,115539,61793,51314,101,2330,406,804079,19128824,,
1992:Q3,pct99to100,4106957,876294,652181,224113,3230663,247185,141770,464231,386481,77749,113549,83673,29876,899457,33114,19146,154604,159827,978181,19599,254786,253692,184535,15356,273,53527,1094,3852171,959455,225991,213830811
1992:Q3,pct80to99,11739865,3915224,3117710,797514,7824641,1132645,203868,533016,434070,98946,190372,142043,48328,1377075,210665,255406,570204,1971229,1269437,110722,1704242,1696674,1379704,237473,645,78852,7568,10035623,18234030,54012,225991
1992:Q3,pct60to80,5000778,2032580,1548947,483633,2968198,528751,40298,149586,128789,20797,28293,17460,10833,313582,88720,115775,163034,1105404,373680,61076,915118,911931,676868,216322,127,18613,3187,4085660,19173525,34261,54012
1992:Q3,pct40to60,3402661,1404910,1059779,345131,1997751,482223,30822,46949,39456,7493,90848,56602,34246,208805,64472,43649,38779,677437,271873,41894,529900,527586,342879,171149,229,13329,2315,2872760,19188533,20498,34261
1992:Q3,pct20to40,2053268,989190,769650,219540,1064078,319136,14763,32572,25137,7435,12776,5725,7051,103475,40818,17490,12781,399933,82478,27856,262559,261094,146805,108670,259,5361,1465,1790709,19183869,10872,20498
1992:Q3,pct00to20,955218,517514,415721,101793,437704,131610,3860,13847,9615,4232,6902,1581,5321,40183,10975,2218,2056,146650,65720,13682,120618,120224,65088,52962,60,2113,394,834600,19178070,0,10864
1992:Q4,pct99to100,4304671,895380,668572,226809,3409290,265275,134602,474500,389514,84986,124690,95081,29610,1048215,36906,19688,158341,158838,968074,20160,256907,255732,186135,15327,400,53870,1175,4047764,961875,,
1992:Q4,pct80to99,12010166,3951107,3146409,804699,8059058,1141423,195637,528069,429713,98355,186735,139125,47610,1538952,210778,267745,583113,2029681,1265359,111566,1725473,1717977,1392623,247228,918,77208,7496,10284693,18280120,,
1992:Q4,pct60to80,5098271,2060436,1569308,491128,3037834,531735,39761,144815,124774,20041,30376,18738,11638,349160,92279,119904,167510,1127867,372169,62259,936750,933483,692522,221597,202,19162,3267,4161521,19222937,,
1992:Q4,pct40to60,3447733,1420672,1073489,347183,2027061,481329,30061,48115,39904,8211,85745,53279,32465,220199,64462,47280,44508,698181,264648,42534,540770,538473,349793,175245,347,13087,2297,2906963,19236927,,
1992:Q4,pct20to40,2087957,993363,772462,220901,1094594,322010,15734,34659,27080,7579,12038,5132,6906,112000,41460,17385,16734,407708,86427,28438,272281,270811,152847,110800,354,6811,1470,1815676,19232527,,
1992:Q4,pct00to20,981064,524712,421963,102749,456352,132257,4468,13694,9550,4144,6771,1550,5221,43818,11455,2452,3889,149942,73589,14017,124395,123989,66983,54573,89,2344,406,856669,19227520,,
1993:Q1,pct99to100,4407762,912505,665914,246591,3495257,259406,135007,482547,384238,98309,142247,112889,29358,1096742,40609,20088,164900,155812,977230,20668,255908,254638,186267,13316,681,54373,1270,4151854,964318,,
1993:Q1,pct80to99,12157752,3982866,3186906,795960,8174885,1099870,199864,535425,420188,115237,190693,143787,46906,1593576,210664,275592,609372,2065828,1281860,112142,1728110,1720673,1392421,244167,1527,82558,7437,10429642,18326364,,
1993:Q1,pct60to80,5150953,2073607,1580488,493119,3077346,523293,40767,140687,116999,23688,34770,22299,12471,366313,95798,121893,177708,1138775,374072,63270,934971,931622,698517,212892,372,19842,3349,4215982,19272712,,
1993:Q1,pct40to60,3443468,1402038,1064878,337161,2041430,468616,30296,51282,39407,11875,80485,49756,30728,224507,64412,49872,52329,714715,261909,43008,540478,538200,351812,172767,614,13006,2278,2902991,19285523,,
1993:Q1,pct20to40,2098281,980263,754515,225748,1118018,320025,17545,37794,28725,9068,10386,3582,6804,117568,42103,17050,21090,414938,90611,28908,274296,272821,157659,106508,565,8089,1475,1823985,19281506,,
1993:Q1,pct00to20,997491,525440,417404,108036,472052,132692,5087,12638,8062,4576,7243,2094,5149,45230,11916,2646,5584,152546,82178,14292,128423,128005,68028,57612,157,2208,418,869068,19277223,,
1993:Q2,pct99to100,4470616,925023,677676,247347,3545593,268738,129734,479874,370812,109062,157988,128885,29103,1117117,44569,20500,167994,152758,985178,21140,257181,255814,187974,12486,640,54713,1368,4213434,966788,,
1993:Q2,pct80to99,12276511,4025188,3217413,807775,8251323,1089710,194746,528182,405377,122805,194645,148451,46194,1618209,211048,283768,619052,2102205,1297223,112533,1749314,1741936,1409223,250604,1383,80726,7377,10527197,18372842,,
1993:Q2,pct60to80,5216055,2111548,1608830,502718,3104507,522016,40616,131059,106112,24948,38734,25427,13307,378318,99466,124041,180648,1149745,375702,64162,955980,952547,717433,214347,372,20396,3433,4260075,19322894,,
1993:Q2,pct40to60,3474155,1418283,1076270,342013,2055872,463230,29784,52347,37991,14356,76037,47076,28961,226875,64449,52536,57198,731359,258691,43367,550176,547917,359830,174741,591,12755,2259,2923980,19334407,,
1993:Q2,pct20to40,2142193,1000597,773188,227409,1141596,321123,18726,39784,29897,9887,9011,2321,6690,122319,42756,16735,24724,422212,94907,29299,281832,280351,163958,106338,486,9569,1481,1860361,19330868,,
1993:Q2,pct00to20,1021955,535894,426710,109184,486061,133278,5697,10111,5426,4686,7615,2546,5069,46024,12427,2843,7357,155165,91018,14525,133099,132669,69928,60144,146,2450,430,888856,19327234,,
1993:Q3,pct99to100,4580976,936043,689999,246044,3644933,281222,126395,479265,358245,121020,162668,133823,28845,1184327,48659,20985,171767,149775,998177,21693,257979,256513,188371,12097,761,55284,1466,4322998,969286,,
1993:Q3,pct80to99,12462787,4067808,3246753,821055,8394979,1085713,192830,524842,391019,133822,189867,144392,45476,1692796,211661,294131,631912,2139902,1318026,113299,1784606,1777289,1425509,261266,1598,88916,7316,10678181,18419638,,
1993:Q3,pct60to80,5295781,2150689,1638078,512611,3145092,522154,40864,123484,96394,27090,39454,25304,14150,398995,103213,127225,184922,1161339,378136,65307,982954,979437,737552,220282,471,21131,3517,4312827,19373527,,
1993:Q3,pct40to60,3514229,1434201,1086066,348135,2080027,459246,29526,54408,36678,17730,72829,45660,27169,232504,64526,55706,62487,748321,256510,43962,560723,558484,366443,178580,725,12736,2239,2953505,19383669,,
1993:Q3,pct20to40,2195805,1026365,797803,228562,1169439,322847,20133,41851,30852,10999,9038,2470,6567,128482,43416,16529,28404,429558,99328,29853,290397,288911,169773,107819,533,10785,1487,1905407,19380673,,
1993:Q3,pct00to20,1048386,546980,437322,109658,501406,133898,6315,8086,3226,4860,7248,2264,4985,47852,12963,3059,9075,157834,100229,14845,136291,135848,70883,62623,175,2167,443,912095,19377608,,
1993:Q4,pct99to100,4713210,951700,700045,251655,3761510,290064,127018,498236,363165,135071,170364,141775,28589,1251363,52797,21311,174282,146500,1007462,22114,260572,259007,189344,13076,792,55794,1566,4452638,971813,,
1993:Q4,pct80to99,12660576,4115234,3283356,831878,8545342,1073808,197533,544106,388815,155291,188638,143882,44756,1767180,212332,299495,638828,2174937,1335069,113417,1817970,1810714,1437086,277701,1605,94323,7256,10842606,18466830,,
1993:Q4,pct60to80,5379581,2190988,1668455,522534,3188592,520520,41948,126166,94140,32026,41241,26236,15005,419684,106994,128046,186617,1171491,379859,66026,1011392,1007790,752912,232540,517,21821,3602,4368189,19424655,,
1993:Q4,pct40to60,3552517,1449630,1098295,351334,2102887,453389,29796,60777,37323,23454,69560,44191,25369,238121,64614,57708,66685,764849,253236,44152,574144,571925,372399,186102,772,12652,2219,2978373,19433395,,
1993:Q4,pct20to40,2240991,1043508,811466,232043,1197482,323838,22032,45500,32553,12947,8638,2188,6449,134661,44081,16077,31788,436878,103859,30129,302934,301441,175588,113265,503,12085,1492,1938057,19430984,,
1993:Q4,pct00to20,1077707,557931,445126,112805,519776,134496,6957,8862,3594,5268,7146,2244,4903,49678,13508,3231,10799,160429,109653,15018,138501,138045,72347,63485,181,2031,456,939206,19428401,,
1994:Q1,pct99to100,4724129,965698,700959,264739,3758431,295488,128964,535628,389481,146146,177698,149351,28347,1177577,56120,21613,175284,143287,1024145,22627,259112,257439,188768,11405,1113,56154,1673,4465017,974373,,
1994:Q1,pct80to99,12712988,4174833,3342463,832370,8538155,1054528,204518,560540,400360,160180,187796,143747,44049,1691580,211257,304108,638683,2211216,1359960,113968,1827610,1820410,1444889,279944,2204,93373,7200,10885378,18514500,,
1994:Q1,pct60to80,5424727,2217898,1689788,528110,3206830,517247,43321,132736,100200,32536,43044,27156,15888,414313,110341,128520,185295,1182223,382753,67037,1023215,1019525,766971,229383,770,22401,3689,4401513,19476323,,
1994:Q1,pct40to60,3552846,1438201,1090593,347607,2114646,445796,30240,66635,40382,26253,66525,42928,23597,234022,64397,59530,69628,781684,251574,44614,577293,575094,375882,185673,1124,12414,2199,2975554,19483674,,
1994:Q1,pct20to40,2267491,1046696,810419,236277,1220795,324157,24125,49099,35450,13650,8294,1926,6368,136606,44725,15593,34832,444273,108497,30594,306988,305490,180688,110578,652,13572,1498,1960503,19481862,,
1994:Q1,pct00to20,1103279,565201,448147,117055,538078,135082,7616,12260,7051,5209,7079,2235,4844,48403,13884,3395,12529,163072,119467,15291,142611,142141,72755,66893,264,2229,469,960669,19479667,,
1994:Q2,pct99to100,4763999,979248,709283,269965,3784752,296480,124710,578999,421387,157611,180893,152798,28094,1135076,59632,21818,179144,139897,1045018,23086,262259,260472,190477,11975,1490,56530,1787,4501741,976968,,
1994:Q2,pct80to99,12786336,4230169,3387712,842457,8556167,1025848,201161,578355,413441,164914,183894,140567,43327,1649112,210536,305682,651903,2246131,1389304,114242,1854316,1847168,1457648,293608,2890,93022,7147,10932020,18562730,,
1994:Q2,pct60to80,5486878,2254663,1717280,537383,3232215,511888,43405,141283,108305,32977,43749,26980,16769,414580,113800,127574,189643,1192179,386248,67867,1048886,1045108,782502,238518,1092,22996,3778,4437992,19528574,,
1994:Q2,pct40to60,3572219,1443670,1093079,350591,2128549,436014,29870,73336,44115,29221,63732,41959,21773,232018,64242,60633,74711,798338,250752,44902,590604,588426,382872,191802,1563,12189,2178,2981615,19534593,,
1994:Q2,pct20to40,2309658,1065188,825743,239445,1244470,323615,25467,53101,38735,14365,8344,2087,6257,139416,45377,14967,38344,451679,113221,30940,318918,317414,186876,114680,804,15055,1504,1990739,19533369,,
1994:Q2,pct00to20,1135197,577139,457366,119773,558058,135652,8246,16823,11698,5124,6768,2002,4766,47805,14298,3530,14162,165683,129591,15501,145986,145503,74741,67998,368,2396,483,989211,19531463,,
1994:Q3,pct99to100,4854642,986502,717191,269311,3868139,309334,125428,598267,429545,168722,185010,157169,27841,1158601,65723,22152,184752,136661,1058533,23679,265165,263267,191963,12832,1614,56859,1897,4589477,979598,,
1994:Q3,pct80to99,12927085,4255769,3397491,858279,8671316,1021135,206200,576234,412399,163835,181331,138731,42600,1677273,215170,311208,673194,2283303,1411114,115153,1881229,1874139,1471142,309523,3029,90444,7091,11045856,18611599,,
1994:Q3,pct60to80,5570947,2298495,1749929,548566,3272452,511951,44546,138580,106773,31806,44822,27163,17659,427236,118675,128492,197367,1203237,388423,69124,1077628,1073762,798985,249980,1237,23560,3866,4493319,19581452,,
1994:Q3,pct40to60,3618299,1466699,1108800,357898,2151600,431738,30155,76297,45141,31157,60967,41041,19926,234681,65022,62657,81058,815495,247940,45591,604594,602437,389847,198948,1733,11909,2158,3013704,19586241,,
1994:Q3,pct20to40,2365546,1093070,851588,241482,1272477,325410,27460,55458,40804,14654,8248,2107,6141,144299,46112,14534,42137,459186,118071,31562,331708,330198,193051,119754,777,16617,1510,2033838,19585567,,
1994:Q3,pct00to20,1166294,589620,468641,120979,576674,136316,8915,17416,12537,4879,6548,1862,4686,48678,15236,3701,15741,168374,139892,15858,149051,148555,76556,68916,401,2682,496,1017243,19583842,,
1994:Q4,pct99to100,4933657,995454,723280,272174,3938203,321012,129447,663218,481255,181963,189448,161892,27556,1131280,68979,22297,183729,133028,1071567,24199,270195,268185,193796,14908,2041,57441,2010,4663462,982268,,
