Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1995:Q1,pct40to60,3071230,3697829,1133167,364820,241079,850259,156044,240227,712233,626598,400073,210246,16279
1995:Q1,pct20to40,2097214,2450605,871168,247101,154581,474372,62310,128164,512908,353391,204476,126965,21950
1995:Q1,pct00to20,1067828,1222523,479238,125363,50752,173821,22949,161324,209076,154695,79323,71404,3968
1995:Q2,pct99to100,4971804,5242605,736628,272434,1316002,133892,222691,1089055,1471902,270801,193641,14009,63151
1995:Q2,pct80to99,11454130,13413494,3390042,893039,1854887,2384090,1058892,1467134,2365410,1959364,1503462,351144,104758
1995:Q2,pct60to80,4698729,5853265,1831893,575639,481888,1266741,349220,392825,955059,1154536,845108,277369,32059
1995:Q2,pct40to60,3116071,3755368,1156414,372409,248906,862671,167798,235819,711351,639297,406061,216543,16693
1995:Q2,pct20to40,2145405,2510259,901587,246853,161874,478529,66381,133415,521619,364854,210400,130893,23561
1995:Q2,pct00to20,1094842,1252497,491743,123957,53251,176120,24723,172501,210202,157655,80165,73167,4323
1995:Q3,pct99to100,5145597,5420328,726020,271056,1440113,137400,233249,1105961,1506528,274730,195287,15080,64363
1995:Q3,pct80to99,11545741,13548770,3281625,903009,1990488,2406861,1110044,1493017,2363725,2003029,1519024,368963,115042
1995:Q3,pct60to80,4766479,5953853,1830037,583123,513713,1306396,368075,395206,957304,1187375,863310,290590,33475
1995:Q3,pct40to60,3154027,3809561,1177688,377088,258632,874660,180281,233050,708162,655534,413773,224410,17351
1995:Q3,pct20to40,2163562,2541924,903964,247296,170064,482680,70700,138709,528511,378362,216863,136684,24815
1995:Q3,pct00to20,1113534,1273635,493802,123452,56367,178351,26425,183981,211257,160102,82080,73873,4149
1995:Q4,pct99to100,5324115,5605309,743948,270069,1567463,144174,237987,1116433,1525235,281194,195688,17311,68195
1995:Q4,pct80to99,11894975,13925742,3327218,914778,2149102,2426173,1151121,1527027,2430323,2030767,1534018,384535,112214
1995:Q4,pct60to80,4859564,6082538,1840089,586338,542688,1347704,394008,395947,975763,1222973,874634,312239,36100
1995:Q4,pct40to60,3179822,3851522,1183210,382389,269757,877629,186362,236243,715932,671699,417936,235769,17994
