Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,College,11361260,3757361,2960829,796532,7603899,1245096,228216,640669,524454,116215,157552,95791,61761,1399547,187955,150984,410625,1469578,1619435,94241,1427667,1419385,1050193,274658,2564,91971,8281,9933593,21613571
1989:Q3,SomeCollege,4677591,1914251,1490725,423526,2763340,616306,50712,239242,196612,42631,34696,20445,14252,336677,67644,65408,108499,658009,537611,48533,755987,752968,539019,192197,848,20904,3019,3921604,18948257
1989:Q3,HS,4925197,2010932,1528054,482878,2914265,677153,73810,138556,129160,9397,73014,46158,26857,266028,72813,74962,105767,843199,533274,55688,715882,712628,463003,228662,787,20178,3254,4209315,29893093
1989:Q3,NoHS,2628708,1106805,913561,193244,1521903,417913,9904,28004,23690,4314,28603,6468,22135,88192,31779,37476,60299,511544,279301,28887,253238,251817,158941,88690,334,3852,1421,2375470,22565181
1989:Q4,College,11861210,3920490,3092535,827954,7940720,1302593,243884,664147,541513,122634,172871,109120,63751,1451405,196250,159849,440540,1543052,1667272,98857,1497477,1488649,1098478,294879,2535,92758,8828,10363733,22566796
1989:Q4,SomeCollege,4702675,1912098,1488076,424021,2790577,611274,52499,231891,189660,42231,40405,23443,16962,343570,69485,67031,110445,676287,538606,49084,759421,756349,540594,194294,794,20667,3072,3943254,19003672
1989:Q4,HS,4918307,2005971,1531785,474187,2912336,675645,70671,132791,122852,9939,73264,47305,25959,269521,74725,77941,107921,851431,522681,55745,719706,716359,465002,231193,740,19423,3348,4198601,29517842
1989:Q4,NoHS,2563304,1081341,881921,199421,1481963,410536,10183,29080,24741,4339,27963,6795,21168,87608,31171,36219,56289,496297,268267,28350,250939,249538,156508,88920,321,3789,1401,2312365,22173928
1990:Q1,College,12128051,4051696,3182475,869221,8076355,1329729,267779,672427,551172,121255,201251,135630,65621,1371948,200725,168203,450266,1605057,1704411,104558,1568108,1559441,1157981,301500,3203,96756,8667,10559944,23397817
1990:Q1,SomeCollege,4691802,1906822,1479826,426996,2784979,600938,56005,220638,181527,39111,48114,28270,19844,327817,70874,68828,107026,693735,540548,50455,764001,760963,550111,188720,947,21184,3038,3927801,19090250
1990:Q1,HS,4856747,1977007,1502396,474611,2879741,668505,69070,125894,116250,9644,73981,48819,25162,251540,75927,81025,105376,857961,513339,57121,713977,710712,471821,218985,914,18992,3265,4142770,29203955
1990:Q1,NoHS,2481727,1044442,848287,196155,1437285,401299,10805,30254,26106,4148,27897,7474,20423,82205,30468,35084,51532,481188,258096,28455,244301,242976,155486,83114,394,3982,1326,2237425,21811747
1990:Q2,College,12477467,4161988,3269613,892375,8315479,1353135,260776,707918,580961,126957,206438,139592,66846,1424026,205669,180978,463931,1663805,1741531,107270,1631135,1622421,1208187,313320,2636,98278,8715,10846331,24112998
1990:Q2,SomeCollege,4737130,1911999,1482675,429324,2825131,592949,54384,220656,181784,38872,53533,30712,22820,340068,72786,73706,105546,714306,546465,50733,771332,768280,558186,187956,754,21383,3052,3965798,19205981
1990:Q2,HS,4863036,1975220,1507184,468036,2887817,664350,63483,124466,114173,10293,73027,48579,24448,259472,77713,87636,104678,868431,508013,56548,714947,711682,476098,216315,720,18550,3264,4148090,28948475
1990:Q2,NoHS,2430005,1028342,825690,202652,1401663,393527,10312,30718,26509,4210,26890,7451,19440,82871,29953,34848,47342,468067,249540,27594,240198,238919,153446,81121,324,4027,1279,2189806,21477383
1990:Q3,College,12533662,4288232,3366382,921851,8245430,1377807,280955,744193,615656,128537,214254,146384,67870,1175507,208916,184775,459827,1712919,1775405,110872,1679692,1670995,1248189,326698,1151,94957,8697,10853970,24718704
