Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,1802300,334811,139254,195557,1467489,132471,36459,276016,175505,100511,74254,68305,5949,305340,13646,1442,22237,14873,586079,4671,45133,44667,14499,21065,361,8742,467,1757167,103864,7794570
1989:Q3,RemainingTop1,2989038,642435,479105,163330,2346603,402318,73018,228012,210313,17699,51681,39024,12658,590198,33771,12949,71628,145079,723594,14353,84766,83256,65913,5120,817,11406,1510,2904271,824835,2306199
1989:Q3,Next9,8246987,2442612,2023854,418758,5804376,1121867,147547,388724,345864,42861,127271,45793,81479,811430,106087,158737,294819,1573577,1015740,58576,481148,476403,373964,58994,1273,42172,4746,7765839,8368032,486991
1989:Q3,Next40,8849721,4179621,3425341,754280,4670100,1137173,98228,141004,130199,10805,39241,15374,23867,359532,163428,141557,256469,1620048,603924,109497,1554872,1547558,1149191,355269,1334,41764,7313,7294849,37209619,66091
1989:Q3,Bottom50,1704710,1189870,825615,364255,514840,162639,7390,12715,12034,680,1418,367,1051,23943,43260,14147,40037,128754,40285,40252,986854,984914,607588,343758,748,32819,1940,717856,46513751,
1989:Q4,TopPt1,1856666,351045,153056,197989,1505622,136465,40707,276548,177127,99421,80718,73690,7028,318828,13837,1330,21571,17539,593345,4735,43820,43308,14689,19572,351,8697,512,1812846,102687,
1989:Q4,RemainingTop1,3057103,663869,500960,162909,2393234,400578,76462,233833,213116,20717,56820,42956,13864,602047,33980,13860,74867,155508,730771,14508,90667,88960,69379,6123,785,12673,1707,2966437,828347,
1989:Q4,Next9,8389323,2486709,2070660,416049,5902614,1133602,152713,391737,346318,45419,133886,52259,81627,830446,110893,164106,308541,1591104,1025901,59685,499087,494101,386915,63280,1228,42679,4986,7890235,8378899,
1989:Q4,Next40,9016880,4218940,3445928,773011,4797941,1162900,99938,142855,130024,12831,41466,17299,24166,375403,168717,147623,268567,1672860,605956,111657,1579024,1571559,1167136,361746,1279,41399,7465,7437857,37313119,
1989:Q4,Bottom50,1725523,1199338,823713,375625,526185,166503,7417,12936,12181,755,1613,460,1154,25380,44205,14121,41648,130056,40854,41452,1014945,1012966,622464,358565,748,31190,1979,710578,46639187,
1990:Q1,TopPt1,1838695,349442,162843,186599,1489253,134564,48170,268877,176656,92222,92319,84163,8156,286986,13416,1225,20357,20233,598192,4912,42263,41802,15384,17236,437,8745,460,1796432,101616,
1990:Q1,RemainingTop1,3046151,668441,503412,165029,2377710,392217,82410,236078,213923,22155,60507,45345,15161,567223,33065,14771,75194,165140,736264,14842,96016,94491,72688,6470,970,14364,1525,2950135,831767,
1990:Q1,Next9,8385675,2477654,2048825,428830,5908020,1132566,161980,389294,343475,45819,149983,68049,81934,784016,114033,169382,310478,1601218,1033473,61598,521224,516296,408720,61263,1519,44793,4928,7864451,8391260,
1990:Q1,Next40,9117065,4245261,3447508,797753,4871804,1173295,103481,141939,128725,13214,46531,22004,24527,370599,172637,153668,266667,1720217,607039,115730,1593883,1586449,1194778,348027,1575,42069,7433,7523182,37415410,
1990:Q1,Bottom50,1770741,1239169,850396,388773,531572,167829,7618,13026,12277,749,1903,631,1272,24686,44843,14095,41503,131134,41428,43508,1037002,1035053,643829,359323,957,30943,1949,733740,46763715,
1990:Q2,TopPt1,1881280,362849,174074,188775,1518431,133219,44427,274811,184630,90181,94205,84944,9261,303669,13220,853,19294,22869,606975,4888,41181,40737,16076,15560,359,8742,444,1840099,100649,
1990:Q2,RemainingTop1,3103665,686153,521880,164272,2417513,384130,79722,247589,222079,25510,66611,50198,16413,581304,32516,15948,76292,175167,743389,14844,100743,99265,75548,7146,778,15793,1478,3002922,835101,
1990:Q2,Next9,8496435,2510191,2085198,424993,5986244,1132542,157102,401205,352800,48405,150257,68485,81773,806964,117770,183855,315674,1614431,1044365,62077,543479,538502,428539,62864,1229,45870,4977,7952956,8405052,
1990:Q2,Next40,9255631,4285809,3470775,815035,4969821,1184739,100513,146771,131362,15409,46747,22011,24736,388205,177031,162392,268421,1769854,608828,116322,1614022,1606555,1217189,346051,1261,42055,7467,7641609,37516598,
1990:Q2,Bottom50,1770627,1232548,833235,399312,538079,169331,7191,13382,12556,826,2068,697,1371,26295,45585,14121,41816,132286,41992,44013,1058187,1056244,658565,367092,808,29778,1944,712440,46887437,
1990:Q3,TopPt1,1817699,359328,186829,172499,1458371,133387,50811,280045,195028,85017,97287,86882,10404,217487,12831,962,17812,25531,617257,4960,39630,39206,16422,13990,158,8636,424,1778069,99781,
1990:Q3,RemainingTop1,3049051,693134,526606,166528,2355918,377409,84903,260176,232120,28056,72715,54986,17729,487031,31571,16668,74937,184626,750884,14998,105207,103796,78805,7970,330,16691,1411,2943845,838351,
1990:Q3,Next9,8411136,2509007,2071643,437364,5902129,1135696,165125,414872,364991,49880,152697,71042,81656,677721,120953,182214,311037,1622262,1056319,63233,559351,554339,443467,65489,529,44853,5012,7851785,8420210,
1990:Q3,Next40,9342398,4333632,3501193,832439,5008766,1199844,103416,151545,134801,16744,47593,22624,24968,355926,180955,166441,258292,1815549,610686,118520,1631612,1624122,1235906,347022,534,40660,7490,7710786,37616790,
1990:Q3,Bottom50,1823348,1283779,876455,407324,539569,171440,7326,13724,12864,860,2265,786,1479,22828,46220,14052,40652,133273,42551,45238,1079555,1077620,672666,377831,366,26758,1934,743793,47010455,
1990:Q4,TopPt1,1905621,359272,197149,162122,1546349,137311,52821,297559,206360,91199,104658,93109,11549,267979,12491,871,17187,28157,622288,5027,37980,37527,16330,12321,178,8697,453,1867641,99009,
1990:Q4,RemainingTop1,3141287,696485,528840,167645,2444802,374622,86661,278991,242659,36333,76825,57786,19039,536248,30675,17586,78572,194367,755118,15136,111812,110273,82710,8813,363,18386,1540,3029474,841520,
