Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,age70plus,3964195,1166145,1004870,161275,2798049,954231,60313,363993,310861,53132,46923,26693,20230,471603,35229,8845,14538,473268,341720,27387,103942,102390,41518,36498,366,24009,1552,3860252,13621435
1989:Q3,age55to69,8015958,2365520,1902011,463509,5650438,981987,169960,356881,312107,44774,189728,111162,78566,753803,100229,132425,190823,1700516,1016071,58016,428739,424348,292769,91039,1106,39433,4391,7587219,19197157
1989:Q3,age40to54,7781764,3146215,2473161,673054,4635549,657246,95709,240293,174265,66028,46111,27532,18579,643636,130709,157287,362344,1092225,1128801,81189,1242232,1236409,872870,300369,1620,61548,5824,6539532,24579466
1989:Q3,ageunder40,3830839,2111469,1513126,598342,1719371,363004,36662,85305,76683,8622,11104,3475,7629,221402,94025,30275,117486,216322,483030,60757,1377860,1373651,1003997,356301,1440,11913,4209,2452979,35622043
1989:Q4,age70plus,4086314,1223291,1051145,172146,2863023,971009,65454,365585,310197,55387,55561,32333,23228,477456,36885,9102,14328,485912,353383,28348,102166,100395,39786,37263,356,22990,1771,3984148,13724617
1989:Q4,age55to69,8183753,2410777,1943690,467087,5772976,988592,172319,359041,311310,47731,197990,119462,78528,790000,106824,136831,200970,1729612,1031247,59550,451807,447105,306706,99589,1092,39718,4702,7731946,19250073
1989:Q4,age40to54,7886532,3140459,2467047,673412,4746073,669571,100440,248218,181160,67058,49001,30559,18442,659090,132872,164574,377366,1133003,1129744,82192,1268871,1262903,895256,304192,1537,61918,5967,6617661,24596086
1989:Q4,ageunder40,3888897,2145373,1532435,612937,1743525,370876,39023,85065,76099,8966,11951,4309,7642,225559,95050,30533,122532,218540,482451,61946,1404700,1400491,1018833,368241,1405,12012,4208,2484198,35691463
1990:Q1,age70plus,4095086,1233226,1049868,183358,2861860,977917,73354,359873,306684,53189,71561,45049,26511,430801,37033,9352,12091,496090,363301,30488,100805,99166,40916,34506,442,23302,1640,3994281,13824828
1990:Q1,age55to69,8222645,2429677,1949265,480412,5792968,982430,179923,353184,306024,47160,211924,133331,78592,757779,111524,141063,199305,1750847,1042909,62080,472974,468267,325755,98684,1381,42447,4707,7749671,19289216
