Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,College,48.6,48.2,43,42,66.9,42.2,55.4,54.5,48.7,45.3,47.5,35,65.3
1989:Q3,SomeCollege,19.2,19.8,21.6,22.3,16.1,18.9,17.2,18.1,20.1,24,24.4,24.5,15.7
1989:Q3,HS,20.6,20.9,22.2,25.5,12.7,24.2,17.8,18,20.8,22.7,20.9,29.2,15.4
1989:Q3,NoHS,11.6,11.1,13.3,10.2,4.2,14.7,9.6,9.4,10.4,8,7.2,11.3,3.6
1989:Q4,College,49.8,49.3,44.2,43,67.4,43.3,56.8,55.6,50,46.4,48.6,36.4,66
1989:Q4,SomeCollege,18.9,19.6,21.3,22,16,19,16.8,18,19.7,23.5,23.9,24,15.6
1989:Q4,HS,20.2,20.5,21.9,24.6,12.5,23.9,17.6,17.4,20.2,22.3,20.6,28.6,14.9
1989:Q4,NoHS,11.1,10.7,12.6,10.4,4.1,13.9,8.8,9,10,7.8,6.9,11,3.5
1990:Q1,College,50.6,50.2,45.4,44.2,67.5,44.1,57.9,56.5,51.2,47.7,49.6,38.1,66.8
1990:Q1,SomeCollege,18.8,19.4,21.1,21.7,16.1,19.1,16.5,17.9,19.3,23.2,23.6,23.8,15.5
1990:Q1,HS,19.9,20.1,21.4,24.1,12.4,23.6,17.5,17,19.7,21.7,20.2,27.6,14.2
1990:Q1,NoHS,10.7,10.3,12.1,10,4,13.2,8.1,8.6,9.8,7.4,6.7,10.5,3.5
1990:Q2,College,51.3,50.9,46.1,44.8,67.6,44.8,58.7,57.2,52,48.6,50.4,39.2,67.3
1990:Q2,SomeCollege,18.8,19.3,20.9,21.5,16.1,19.2,16.3,17.9,19.1,23,23.3,23.5,15.5
1990:Q2,HS,19.6,19.8,21.3,23.5,12.3,23.4,17.5,16.7,19.4,21.3,19.9,27.1,13.8
1990:Q2,NoHS,10.4,9.9,11.7,10.2,3.9,12.6,7.5,8.2,9.5,7.2,6.4,10.2,3.5
1990:Q3,College,51.6,51.3,47,45.7,66.7,45.3,59.5,57.7,52.8,49.2,51,40.2,67.3
1990:Q3,SomeCollege,18.8,19.4,20.9,21.4,16.8,19.4,16,18,18.9,22.8,23.1,23.3,15.6
1990:Q3,HS,19.5,19.7,20.9,23.2,12.3,23.2,17.4,16.4,19,21.1,19.7,26.6,13.9
1990:Q3,NoHS,10.1,9.6,11.2,9.7,4.1,12,7,7.9,9.2,6.9,6.2,9.9,3.3
1990:Q4,College,52.4,52,47.7,46.3,66.9,45.7,60.3,58,53.6,49.6,51.3,41.1,67.6
1990:Q4,SomeCollege,18.8,19.4,20.8,21.3,16.8,19.7,15.9,18.2,18.8,22.7,23,23.1,15.6
1990:Q4,HS,19.2,19.4,20.7,22.9,12.4,23.1,17.4,16.2,18.7,20.9,19.6,26.2,13.4
1990:Q4,NoHS,9.6,9.2,10.8,9.5,3.9,11.5,6.4,7.6,8.9,6.8,6.1,9.6,3.3
1991:Q1,College,52.9,52.5,48,46.6,67.1,45.9,61,58.2,54,50.1,51.5,42.3,67.6
1991:Q1,SomeCollege,18.8,19.3,20.8,21.3,16.7,20,15.9,18.4,18.7,22.6,22.9,23.1,15.8
1991:Q1,HS,19.1,19.3,20.8,22.5,12.5,23.1,17.4,16.1,18.5,20.7,19.6,25.5,13.2
