Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,age70plus,18.9,16.8,14.6,8.5,22.6,13.6,2.3,11.5,28.4,3.3,1.9,4.7,16.5
1989:Q3,age55to69,37.1,34,27.6,24.4,36.1,48.8,31.9,34.2,35.4,13.6,13.2,11.6,28.5
1989:Q3,age40to54,32,33,35.9,35.5,30.8,31.4,51.2,38,23.8,39.4,39.5,38.3,43.8
1989:Q3,ageunder40,12,16.2,22,31.6,10.6,6.2,14.6,16.3,12.4,43.7,45.4,45.4,11.2
1989:Q4,age70plus,19.1,17,15,8.9,22.2,13.6,2.2,11.8,28.4,3.2,1.8,4.6,15.9
1989:Q4,age55to69,37.1,34,27.8,24.3,36.7,48.5,32,34.4,35.2,14,13.6,12.3,28.9
1989:Q4,age40to54,31.8,32.8,35.3,35,30.6,31.8,51.3,37.7,24,39.3,39.6,37.6,44
1989:Q4,ageunder40,11.9,16.2,21.9,31.8,10.5,6.1,14.5,16.1,12.4,43.5,45.1,45.5,11.2
1990:Q1,age70plus,19.1,16.9,15,9.3,21.2,13.6,2,12,28.6,3.1,1.7,4.4,15.6
1990:Q1,age55to69,37.1,34,27.8,24.4,37.3,48.1,31.9,34.6,35.1,14.4,13.9,12.5,29.8
1990:Q1,age40to54,31.9,32.9,35.3,34.7,31.2,32.2,51.7,37.5,24,39.3,39.7,37.2,43.3
1990:Q1,ageunder40,11.8,16.1,21.9,31.5,10.4,6,14.4,15.9,12.4,43.3,44.6,46,11.3
1990:Q2,age70plus,19.3,17.1,15.3,9.7,20.8,13.7,1.9,12.3,28.7,3,1.8,4.2,15.2
1990:Q2,age55to69,37.2,34.1,28.1,24.2,37.9,47.8,32,34.7,34.8,14.7,14.2,12.8,30.4
1990:Q2,age40to54,31.8,32.8,34.8,34.3,31,32.6,51.8,37.2,24.1,39.4,40,36.7,43.3
1990:Q2,ageunder40,11.7,16,21.8,31.8,10.2,6,14.3,15.7,12.3,42.9,44,46.2,11.2
1990:Q3,age70plus,19.2,17,15.2,9.9,18.6,13.7,1.5,12.6,28.9,2.9,1.7,4.1,14.2
1990:Q3,age55to69,37.1,34,28,24.4,38.5,47.4,31.6,34.9,34.7,14.9,14.5,13.3,30
1990:Q3,age40to54,32,33.1,35,34.4,32.8,33.1,52.5,36.9,24.3,39.5,40.2,36.2,44.9
1990:Q3,ageunder40,11.6,16,21.8,31.3,10.1,5.9,14.3,15.6,12.2,42.8,43.6,46.3,11
1990:Q4,age70plus,19.5,17.1,15.3,10.2,18.9,13.7,1.5,12.9,29,2.7,1.5,4,14
1990:Q4,age55to69,37,34,27.9,24.4,39.1,46.9,31.6,34.9,34.5,15.2,14.7,13.8,30.9
1990:Q4,age40to54,32.1,33.1,35,34.3,32,33.6,52.7,36.8,24.5,39.4,40.4,35.7,44.2
1990:Q4,ageunder40,11.4,15.8,21.8,31.1,10,5.8,14.2,15.4,12,42.6,43.4,46.5,10.9
1991:Q1,age70plus,19.7,17.3,15.6,10.6,19.6,13.7,1.5,13,29.1,2.5,1.3,3.7,13.4
1991:Q1,age55to69,36.9,34,28,24.2,39.5,46.5,31.6,35,34.1,15.4,14.9,13.9,31.3
1991:Q1,age40to54,32,33.1,34.7,34,30.9,34.1,52.7,36.9,24.7,39.6,40.6,35.3,44.1
1991:Q1,ageunder40,11.3,15.6,21.7,31.2,9.9,5.7,14.2,15.1,12,42.5,43.1,47,11.2
1991:Q2,age70plus,19.8,17.3,15.7,10.8,18.9,13.7,1.3,13.2,29.3,2.4,1.4,3.5,13
1991:Q2,age55to69,36.9,33.9,28,24.2,40.1,46.1,31.5,35.1,33.9,15.6,15.1,14.2,31.8
1991:Q2,age40to54,32.2,33.3,34.7,34,31.2,34.6,53.1,36.9,25,39.7,40.9,35,44.4
1991:Q2,ageunder40,11.2,15.5,21.6,31.1,9.8,5.6,14.1,14.9,11.8,42.2,42.6,47.3,10.8
1991:Q3,age70plus,19.7,17.3,15.6,10.9,18.9,13.7,1.3,13.3,29.5,2.5,1.5,3.4,13.4
1991:Q3,age55to69,36.8,33.9,27.9,24.3,40.5,45.6,31.4,35.1,33.6,15.8,15.1,14.4,33.3
1991:Q3,age40to54,32.5,33.5,35,34.2,30.9,35.1,53.3,37,25.2,40,41.5,34.7,42.7
1991:Q3,ageunder40,11.1,15.3,21.5,30.6,9.7,5.6,14,14.6,11.7,41.7,41.9,47.4,10.6
1991:Q4,age70plus,19.9,17.5,15.7,11.2,20,13.7,1.3,13.4,29.6,2.6,1.6,3.4,13.8
1991:Q4,age55to69,36.6,33.8,27.9,24.2,40.6,45.2,31.4,35.1,33.2,16.1,15.2,14.8,34.7
1991:Q4,age40to54,32.5,33.5,34.9,34.2,29.7,35.6,53.4,37.2,25.4,40.1,41.8,34.4,41
