Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1995:Q3,NoHS,2270669,2552232,792279,215816,121118,582030,96568,261486,482935,281562,171851,101016,8695
1995:Q4,College,14327147,16434873,3657494,992585,2989007,2203798,1111595,2039797,3440598,2107727,1538428,395129,174170
1995:Q4,SomeCollege,5920382,7134337,1955405,653030,968813,1206206,393890,714293,1242699,1213954,832854,344071,37029
1995:Q4,HS,6095358,7242183,2090002,666339,687200,1489412,466180,591005,1252045,1146825,778944,323815,44066
1995:Q4,NoHS,2226971,2510923,786347,217352,120734,566945,94904,251437,473204,283952,170282,105144,8526
1996:Q1,College,14691269,16838560,3697339,1009044,3128882,2273847,1160033,2065657,3503757,2147291,1562695,398447,186149
1996:Q1,SomeCollege,6030734,7279814,1994990,661177,987621,1227960,416214,724394,1267459,1249080,859908,349255,39917
1996:Q1,HS,6163527,7306374,2111684,670667,706844,1488462,472581,596124,1260012,1142847,786110,313225,43512
1996:Q1,NoHS,2193656,2473734,786649,221555,117245,550886,93070,240649,463680,280077,170145,101279,8653
1996:Q2,College,15064317,17256752,3757637,1024555,3287084,2347684,1194979,2100132,3544681,2192435,1591458,412288,188689
1996:Q2,SomeCollege,6127291,7418645,2038524,664227,1008426,1247895,431933,735645,1291996,1291354,885189,363358,42807
1996:Q2,HS,6193243,7345518,2116478,672228,728436,1485374,473249,602248,1267505,1152275,787370,318419,46486
1996:Q2,NoHS,2147692,2427048,788169,217807,114118,534363,90761,230097,451733,279356,168191,102514,8651
1996:Q3,College,15354398,17594823,3835096,1044405,3321249,2424496,1238387,2134309,3596881,2240425,1624412,426470,189543
1996:Q3,SomeCollege,6180265,7512060,2076220,668756,998752,1265769,449596,744784,1308183,1331794,910315,376853,44626
1996:Q3,HS,6189921,7349510,2115544,675048,724488,1480048,474871,606875,1272635,1159589,788397,322990,48202
1996:Q3,NoHS,2094162,2372353,781232,216966,108017,517456,88438,219415,440829,278192,166238,103535,8419
1996:Q4,College,15921408,18211908,3895155,1057836,3516671,2497225,1352660,2194554,3697807,2290500,1653221,444806,192473
1996:Q4,SomeCollege,6287672,7657827,2101310,673287,1024092,1277636,489459,762189,1329854,1370155,931835,392541,45779
1996:Q4,HS,6229991,7397747,2126624,673388,750493,1467999,489049,618148,1272046,1167756,789105,330957,47694
1996:Q4,NoHS,2041492,2319548,766016,223418,105746,499161,85528,210075,429604,278056,164470,105573,8013
1997:Q1,College,16171470,18495048,3954631,1078257,3582388,2580903,1374825,2265293,3658752,2323578,1678771,444491,200316
1997:Q1,SomeCollege,6310894,7701869,2126901,677698,1018550,1292917,497191,781938,1306674,1390974,948823,392604,49547
1997:Q1,HS,6231817,7383717,2126660,674558,750611,1460538,483352,631493,1256504,1151900,784510,316356,51034
1997:Q1,NoHS,1996354,2266744,755396,226532,100633,482360,83038,201304,417482,270390,161345,100724,8321
1997:Q2,College,17170632,19550404,4038117,1095689,4190692,2673424,1520808,2322790,3708885,2379772,1712509,457579,209684
1997:Q2,SomeCollege,6528458,7953035,2167328,676660,1129687,1310638,555059,795139,1318524,1424577,968954,402707,52916
1997:Q2,HS,6375085,7529248,2135837,672705,851200,1456639,516218,640048,1256601,1154163,783776,317120,53267
1997:Q2,NoHS,1963407,2231919,753887,221911,106804,466824,83161,191996,407336,268512,159348,100632,8532
1997:Q3,College,17938590,20391407,4129062,1119557,4566797,2765358,1642963,2388486,3779184,2452817,1764250,472501,216066
1997:Q3,SomeCollege,6676437,8140703,2203631,677593,1186159,1325558,601288,810208,1336266,1464266,997083,413375,53808
1997:Q3,HS,6457895,7617116,2133634,674107,906079,1450255,539265,650427,1263349,1159222,789096,319023,51103
1997:Q3,NoHS,1921592,2189303,746992,218736,107728,451144,82364,183297,399042,267711,158851,100907,7953
1997:Q4,College,18415845,20925812,4205265,1136787,4698801,2851001,1658050,2484726,3891182,2509967,1797359,489055,223553
1997:Q4,SomeCollege,6734315,8231059,2228708,681331,1189706,1334831,601887,835608,1358989,1496744,1012490,426552,57702
1997:Q4,HS,6489417,7651442,2160654,672249,915519,1438158,527172,669286,1268404,1162025,781396,325762,54867
1997:Q4,NoHS,1881659,2147990,735662,227594,103972,434629,79326,176289,390518,266331,155114,102796,8421
1998:Q1,College,19619468,22178832,4318667,1159304,5419785,2959374,1817124,2530462,3974116,2559364,1839354,488556,231454
1998:Q1,SomeCollege,6979283,8496701,2275607,681575,1310893,1355731,661015,841391,1370490,1517418,1031835,425078,60505
1998:Q1,HS,6668385,7814655,2173001,672654,1029578,1440835,559907,673362,1265318,1146270,777743,311846,56681
1998:Q1,NoHS,1861689,2121299,732395,226528,110868,422109,79078,167235,383086,259611,152513,98563,8535
1998:Q2,College,20170211,22805243,4453993,1182725,5570222,3058097,1849931,2603575,4086701,2635032,1887900,508969,238163
1998:Q2,SomeCollege,7075408,8632569,2333789,682924,1315387,1369542,670286,856769,1403872,1557161,1055816,438748,62597
1998:Q2,HS,6736890,7896761,2213432,673912,1041505,1452195,556570,685480,1273667,1159871,783400,319335,57136
1998:Q2,NoHS,1833645,2095323,736832,228147,107585,410414,77329,159809,375207,261678,152586,100692,8400
1998:Q3,College,19874138,22573705,4608485,1217325,4952991,3145609,1741157,2654958,4253180,2699567,1936844,525712,237011
1998:Q3,SomeCollege,6952495,8544662,2392969,681380,1169930,1376522,622561,863990,1437310,1592167,1079024,449603,63540
1998:Q3,HS,6591036,7760958,2226540,680946,920518,1456807,510462,691838,1273848,1169922,787873,323469,58580
1998:Q3,NoHS,1778012,2040493,741263,217078,91850,397776,73363,151818,367345,262481,152416,101935,8130
1998:Q4,College,21381106,24168087,4793762,1238547,5921866,3204910,1969162,2694091,4345749,2786981,1999068,546969,240944
1998:Q4,SomeCollege,7209383,8813404,2405619,684062,1325785,1405154,698055,849413,1445316,1604021,1082113,454260,67648
1998:Q4,HS,6803251,8006306,2255781,685227,1048070,1477770,565501,687572,1286385,1203054,808559,337013,57482
1998:Q4,NoHS,1817651,2087280,737647,225928,115626,413398,78237,153724,362720,269629,158850,103030,7749
1999:Q1,College,21708903,24562629,4965778,1265712,5987814,3252125,2032290,2689955,4368955,2853726,2053478,555943,244305
1999:Q1,SomeCollege,7205379,8806903,2418946,681955,1307101,1427245,708803,820459,1442394,1601524,1081245,449124,71155
1999:Q1,HS,6782811,8002443,2267630,692436,1021200,1492073,573109,672139,1283857,1219633,827777,337068,54788
1999:Q1,NoHS,1830419,2102940,736983,221168,124106,427918,80927,153965,357874,272521,165136,100262,7123
1999:Q2,College,22533227,25486681,5161248,1293749,6525440,3302957,2136017,2769225,4298045,2953454,2115694,574029,263731
1999:Q2,SomeCollege,7312777,8925688,2440349,684429,1376854,1451470,735823,821484,1415279,1612912,1084268,450533,78111
1999:Q2,HS,6889000,8140527,2313141,701095,1074133,1509718,593974,680563,1267903,1251527,851179,346719,53629
1999:Q2,NoHS,1871597,2151768,748746,225572,140684,443598,84593,158005,350570,280171,172550,100300,7321
1999:Q3,College,22555965,25607317,5381156,1330187,6225295,3341630,2088833,2898808,4341409,3051352,2192323,595145,263884
1999:Q3,SomeCollege,7245882,8874009,2465278,685285,1292885,1469148,704119,839982,1417312,1628127,1092816,454437,80874
1999:Q3,HS,6823761,8110173,2346716,713986,990738,1519896,569816,703090,1265932,1286412,875950,360708,49754
1999:Q3,NoHS,1890843,2179165,760021,221245,142181,457969,85547,164338,347865,288323,180170,101604,6549
1999:Q4,College,24354240,27525168,5568131,1356448,7477660,3406784,2287866,2952576,4475702,3170928,2258807,614536,297585
1999:Q4,SomeCollege,7551034,9193620,2475636,687134,1489799,1501151,769789,832698,1437414,1642586,1093385,458639,90562
1999:Q4,HS,7110916,8423507,2386184,721869,1158182,1547484,622769,704885,1282133,1312591,887627,376891,48073
1999:Q4,NoHS,1955397,2250740,766054,225642,171802,476602,91940,167454,351246,295343,184443,103555,7345
2000:Q1,College,25143159,28408090,5837905,1394823,7908987,3457746,2380277,2951880,4476471,3264931,2316968,620064,327899
2000:Q1,SomeCollege,7666591,9308344,2520671,690936,1536866,1525389,792329,807698,1434455,1641753,1088866,453220,99667
