Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1998:Q1,GenX,5.4,7.9,6.5,12.5,4.3,4.7,1.6,2,2,1.9,4.8,5.6,0.5,4.7,9.9,1.9,10.4,1.2,4.8,10.2,15.5,15.5,12.9,26.5,7.5,1.7,10.4,3.8,20355388
1998:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q2,Silent,57.4,49.3,50.9,43.6,61,66.7,69.6,76.4,77.1,75.1,85.4,85.4,85.6,61.4,35.2,55,33.8,69.2,55,43,27.7,27.7,26.4,23.5,28.8,62.1,34.8,62.1,39214881
1998:Q2,BabyBoom,37.1,42.6,42.3,43.7,34.6,28.6,29,21.6,20.9,22.9,9,8.2,13.8,33.9,54.9,42.8,56.4,29.3,39.9,46.7,56.3,56.3,60.3,49.3,64.5,36.1,54.5,34,42237409
1998:Q2,GenX,5.5,8.1,6.7,12.7,4.4,4.7,1.4,2,2,2.1,5.6,6.4,0.6,4.8,9.9,2.2,9.7,1.4,5.1,10.3,16,16,13.3,27.2,6.8,1.8,10.6,3.9,20805492
1998:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q3,Silent,57.4,48.3,49.6,44,61.5,66.3,66.9,75.2,75.7,74.3,81.1,80.3,86.5,64,34.3,56.7,36.1,68.4,54.3,42.6,27.5,27.5,26.1,23.4,28.2,63.4,33.8,62.3,38968169
1998:Q3,BabyBoom,37.3,43.2,43.1,43.6,34.7,28.9,30.9,22.8,22.5,23.5,13.1,13.2,12.7,32.5,55.9,41.5,57.9,29.9,40.4,46.9,56,56,60.2,48.9,65.2,34.7,56.2,34.3,42329502
1998:Q3,GenX,5.3,8.5,7.4,12.4,3.8,4.8,2.2,1.9,1.8,2.2,5.7,6.5,0.7,3.5,9.8,1.8,6.1,1.6,5.4,10.5,16.5,16.5,13.8,27.7,6.7,2,10,3.4,21251148
1998:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q4,Silent,55.9,48,49.5,42.9,59.3,65.1,65.4,74,74.1,73.9,81.8,81.2,85.5,60.3,34.1,51.9,32.8,66.6,54.3,41.9,26.9,26.9,25.4,22.7,29.6,64.4,33.3,60.4,38702219
1998:Q4,BabyBoom,38.1,43.1,42.8,44.1,36,29.5,32,23.9,23.9,24,12.4,12.2,14,34.5,55.1,45.6,56.9,31.8,40.4,47.3,56.1,56.1,60.3,49.2,62.4,33.5,57.4,35.3,42440906
1998:Q4,GenX,6,8.9,7.7,13,4.8,5.4,2.7,2,2,2.1,5.8,6.6,0.6,5.2,10.8,2.5,10.3,1.6,5.3,10.8,17,17,14.3,28.2,8,2.1,9.4,4.3,21692690
1998:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q1,Silent,55.2,47.4,48.7,42.4,58.6,65.3,64.1,73.8,73.3,74.8,82.2,81.9,84.5,59.8,33.8,49.8,32.3,65,54.5,41.3,26.3,26.3,24.8,22,30.7,65,33.2,59.8,38419374
1999:Q1,BabyBoom,38.6,43.3,43,44.3,36.5,29.4,32.9,23.9,24.4,23,12,11.5,15.1,34.9,54.6,47.7,56.7,33.3,40.5,47.6,56.3,56.3,60.5,49.6,60.8,32.8,55.3,35.8,42568958
1999:Q1,GenX,6.3,9.3,8.3,13.3,4.9,5.3,3.1,2.3,2.3,2.2,5.7,6.6,0.4,5.4,11.6,2.5,11,1.7,5.1,11.1,17.4,17.4,14.8,28.4,8.5,2.2,11.5,4.5,22130327
1999:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q2,Silent,54.3,46.9,48.3,41.6,57.5,65.7,65.4,73.2,72.3,74.8,82.2,82,83.5,58.2,33.6,46.7,31.3,63.5,54.2,40.6,25.7,25.6,24.1,21.3,31.9,62.5,32.9,58.8,38123269
1999:Q2,BabyBoom,39.2,43.5,43.2,44.6,37.3,29.2,32.2,24.4,25.1,23,12.2,11.5,16.2,35.8,54,50.5,56.5,34.9,40.6,48,56.6,56.6,60.6,49.9,58.7,35.4,54.8,36.4,42709873
